,title,budget,revenue,genres,production_countries,production_companies,adult,popularity,original_language,release_date,runtime,vote_average,vote_count
0,Bellator 86,0,0,,,,False,0.6,en,2013-01-24,180,0.0,0
1,Bellator 87,0,0,,,,False,0.6,en,2013-01-31,180,0.0,0
2,Cabin Fever: Outbreak,0,0,,,,False,0.6,en,,,0.0,0
3,Bellator 88,0,0,,,,False,0.6,en,2013-02-07,180,0.0,0
4,Bellator 89,0,0,,,,False,0.6,en,2013-02-14,180,0.0,0
5,Pet Sematary,21000000,112399944,"Thriller, Mystery, Horror",United States of America,"Di Bonaventura Pictures, Alphaville Films, Paramount, Room 101",False,39.346,en,2019-04-04,101,5.8,1092
6,Bellator 90,0,0,,,,False,0.6,en,2013-02-21,180,0.0,0
7,Prosecuting Casey Anthony,0,0,Drama,United States of America,,False,1.972,en,2013-01-19,85,5.2,8
8,TNA Genesis 2013,0,0,,,,False,1.101,en,2013-01-13,170,0.0,0
9,She Made Them Do It,0,0,"TV Movie, Drama, Action",Canada,Front Street Pictures,False,1.946,en,2012-12-28,90,5.5,18
10,Bosko's Dizzy Date,0,0,"Comedy, Animation",United States of America,Leon Schlesinger Studios,False,0.6,en,1932-11-19,7,5.0,1
11,The Mystery of Marriage,0,0,Documentary,United Kingdom,British Instructional Films (BIF),False,0.664,en,1932-04-17,32,5.0,1
12,The Ball Game,0,0,,,,False,0.6,en,1932-07-29,,2.0,1
13,The Goal Rush,0,0,,,,False,0.6,en,1932-10-02,,0.0,0
14,Little Geezer,0,0,"Comedy, Crime, Drama",United States of America,,False,0.651,en,1932-04-17,15,6.5,2
15,Feathered Follies,0,0,,,,False,0.6,en,1932-10-20,,5.0,1
16,Quarantine,0,0,Science Fiction,Canada,"Apple Pie Pictures, Astral Films",False,1.569,en,1990-12-04,92,4.7,3
17,Barnyard Bunk,0,0,,,,False,1.371,en,1932-09-15,7,4.0,1
18,Puppy Love,0,0,,,,False,0.841,en,1932-04-29,,0.0,0
19,Pots and Pans,0,0,,,,False,0.651,en,1932-05-13,6,4.5,2
20,Bosko's Dog Race,0,0,"Animation, Comedy",United States of America,Leon Schlesinger Studios,False,0.6,en,1932-06-25,8,6.0,1
21,Battling Bosko,0,0,"Comedy, Animation",United States of America,Leon Schlesinger Studios,False,0.672,en,1932-02-06,7,6.0,2
22,Redskin Blues,0,0,,,,False,1.162,en,1932-07-22,7,2.0,1
23,Black and White,0,0,Animation,Russia,,False,0.807,ru,1932-04-17,3,5.5,4
24,Down in Dixie,0,0,Animation,,,False,1.151,en,1932-08-15,,5.0,2
25,Hide and Seek,0,0,"Action, Thriller, Crime",United Kingdom,Albion Film Corp. (I),False,1.051,en,1964-06-01,90,6.0,3
26,Nurse Maid,0,0,,,,False,0.7,en,1932-11-25,,6.0,1
27,Big-Hearted Bosko,0,0,"Comedy, Animation",United States of America,"Leon Schlesinger Studios, The Vitaphone Corporation",False,0.721,en,1932-03-05,7,0.0,0
28,Carnival Capers,0,0,,,,False,1.091,en,1932-10-09,,0.0,0
29,Romantic Melodies,0,0,,,,False,1.341,en,1932-10-20,11,0.0,0
30,Camping Out,0,0,,,,False,0.6,en,1932-08-09,,0.0,0
31,A Man's Land,0,0,,,,False,0.6,en,1932-06-10,,0.0,0
32,Merchant of Death,0,0,Action,United States of America,Nu Image,False,0.913,en,1999-05-09,96,6.0,1
33,Pixillation,0,0,"Music, Animation",United States of America,,False,1.429,xx,1970-01-01,4,6.6,5
34,Philippe Jaroussky: Greatest Moments in Concert (La voix des rêves),0,0,,,,False,1.346,en,2012-11-19,160,0.0,0
35,Seven Journeys,0,0,Drama,Germany,Camera-Filmproduktion,False,0.991,de,1947-06-13,111,5.0,1
36,Die Paddaprins,0,0,,,,False,0.6,en,,,0.0,0
37,Aspoestertjie,0,0,,,,False,0.6,en,,,0.0,0
38,Die Gestewelde kat,0,0,,,,False,0.6,en,,,0.0,0
39,Tokyo Train Girls 4: Young Wife's Desires,0,0,Drama,Japan,Only Hearts Company,False,0.906,ja,2006-05-24,74,4.0,2
40,Die Kristal bal,0,0,,,,False,0.6,en,,,10.0,1
41,"Cheer Up, Sam",0,0,,,,False,1.344,en,2010-02-01,,0.0,0
42,Raponsie,0,0,,,,False,0.6,en,,,0.0,0
43,"Erinnere dich, wenn du kannst",0,0,Drama,Germany,,False,0.6,de,2005-02-16,,0.0,0
44,Love Bound,0,0,Drama,United States of America,Peerless Pictures,False,1.122,en,1932-03-01,60,0.0,0
45,No Man's Land,0,0,,,,False,0.6,en,2008-01-11,22,0.0,0
46,The Vatican Tapes,13000000,1784763,"Thriller, Horror",United States of America,"Lionsgate, Lakeshore Entertainment, H2F Entertainment, Pantelion Films",False,5.645,en,2015-07-24,91,4.7,371
47,The Messenger,0,0,"Action, Drama",,,False,0.914,en,1986-01-01,95,0.0,0
48,The Zombie Survival Guide,0,0,,,,False,0.84,en,,,0.0,0
49,Oculus,5000000,44030246,Horror,United States of America,"MICA Entertainment, Intrepid Pictures, Blumhouse Productions, WWE Studios, Lasser Productions",False,8.458,en,2014-04-03,104,6.4,1785
50,Sultan,0,0,,,,False,1.34,en,1987-02-24,91,0.0,0
51,Beverly Hills Cox,0,0,,United States of America,,True,0.6,en,1985-12-31,85,6.0,1
52,The Wicked Hollows,0,0,,,,False,0.6,en,2016-10-31,,0.0,0
53,Dead by Dawn,0,0,,,,False,0.6,en,,,0.0,0
54,Them,0,0,,,,False,0.6,en,,,0.0,0
55,Aile Pansiyonu,0,0,,,,False,0.661,en,1987-01-20,82,3.0,1
56,"Home Sweet Home, the World Over",0,0,,,,False,0.6,en,1932-04-17,,0.0,0
57,Family Honour,0,0,Drama,Turkey,Arzu Film,False,2.783,tr,1976-09-07,95,7.6,11
58,Tropical Ceylon,0,0,,,,False,0.841,en,1932-04-17,,0.0,0
59,Ali Baba and the Forty Thieves,0,0,"Fantasy, Comedy, Adventure",Turkey,,False,1.749,tr,1972-01-12,84,6.3,4
60,The Temple of Love,0,0,,,,False,0.841,en,1932-04-17,,0.0,0
61,The Last Empress,0,0,,"China, Hong Kong",,False,0.6,zh,1987-11-05,89,6.0,1
62,"Germany, Bitter Home",0,0,Drama,Turkey,Gülşah Film,False,1.377,tr,1979-03-05,84,0.0,0
63,Poetry in Motion,0,0,Documentary,Canada,,False,1.164,en,1982-01-01,91,0.0,0
64,Rodney Dangerfield: Nothin' Goes Right,0,0,Comedy,United States of America,Paper Clip Productions,False,1.11,en,1988-08-10,83,9.3,3
65,Romantic Argentina,0,0,,,,False,0.6,en,1932-04-17,,0.0,0
66,Jak się pozbyć czarnego kota?,0,0,,Poland,,False,0.84,pl,1984-01-01,,5.0,1
67,Min mamma hade 14 barn,0,0,,,,False,1.4,sv,2000-01-01,,5.0,2
68,Rodney Dangerfield: Opening Night at Rodney's Place,0,0,Comedy,United States of America,Paper Clip Productions,False,1.455,en,1989-05-06,87,6.0,1
69,Ireland 'The Melody Isle',0,0,,,,False,0.6,en,1932-04-17,,0.0,0
70,Colorful Jaipur,0,0,,,,False,1.091,en,1932-04-17,,0.0,0
71,Killing Obsession,0,0,,United States of America,,False,0.913,en,1994-07-20,95,4.5,1
72,A Bachelor's Life Abroad,0,0,Drama,Poland,Agencja Produkcji Filmowej,False,0.873,pl,1992-01-01,108,4.0,1
73,Germania,0,0,,,,False,1.376,en,2013-02-21,75,5.0,1
