,title,budget,revenue,genres,production_countries,production_companies,adult,popularity,original_language,release_date,runtime,vote_average,vote_count
0,Rabbit Ears -  Noah and the Ark,0,0,,,Rabbit Ears Productions,False,0.6,en,1991-09-14,,0.0,0
1,Egg Lady,0,0,Documentary,Latvia,Kaupo Filma,False,0.909,en,2000-12-22,26,7.0,2
2,Rabbit Ears - Parables That Jesus Told,0,0,,,Rabbit Ears Productions,False,0.6,en,1991-09-14,,0.0,0
3,Rabbit Ears -  Pinocchio,0,0,,,Rabbit Ears Productions,False,0.6,en,1991-09-14,,0.0,0
4,Rabbit Ears - Princess Scargo and the Birthday Pumpkin,0,0,,,Rabbit Ears Productions,False,0.6,en,1991-09-14,,0.0,0
5,Rabbit Ears - Rip Van Winkle,0,0,,,Rabbit Ears Productions,False,0.6,en,1991-09-14,,0.0,0
6,Rabbit Ears - Squanto and the First Thanksgiving,0,0,,,Rabbit Ears Productions,False,0.6,en,1991-09-14,,0.0,0
7,Rabbit Ears - The Boy Who Drew Cats,0,0,,,Rabbit Ears Productions,False,0.6,en,1991-09-14,,0.0,0
8,Rabbit Ears -  The Bremen Town Musicians,0,0,,,Rabbit Ears Productions,False,0.6,en,1991-09-14,,0.0,0
9,Rabbit Ears - The Creation,0,0,,,Rabbit Ears Productions,False,0.6,en,1991-09-14,,0.0,0
10,Rabbit Ears - The Firebird,0,0,,,Rabbit Ears Productions,False,0.6,en,1991-09-14,,0.0,0
11,Rabbit Ears -  The Gingham Dog and the Calico Cat,0,0,,,Rabbit Ears Productions,False,0.6,en,1991-09-14,,0.0,0
12,Rabbit Ears - The Lion and the Lamb,0,0,Family,,Rabbit Ears Productions,False,0.6,en,1996-03-20,30,0.0,0
13,Rabbit Ears -  The Night Before Christmas,0,0,,,Rabbit Ears Productions,False,0.6,en,1991-09-14,,0.0,0
14,Half Wet,0,0,Animation,United Kingdom,,False,0.6,en,2014-10-31,7,0.0,0
15,GTO: The Graduation Special,0,0,Comedy,Japan,"Kansai Telecasting Corporation, Media Mix Japan Company (MMJ)",False,0.6,ja,2013-04-02,,0.0,0
16,Rabbit Ears - The Talking Eggs,0,0,,,Rabbit Ears Productions,False,0.6,en,1991-09-14,,0.0,0
17,Rabbit Ears -  The White Cat,0,0,,,Rabbit Ears Productions,False,0.6,en,1991-09-14,,0.0,0
18,Rabbit Ears -  Tom Thumb,0,0,,,Rabbit Ears Productions,False,0.6,en,1991-09-14,,0.0,0
19,Snow White,0,0,"Music, Family, Animation, Fantasy",United States of America,Golden Films,False,2.418,en,1990-09-14,48,5.8,8
20,La clinique du docteur H,0,0,"Thriller, Crime, Drama, Mystery",,,False,0.607,fr,2015-09-12,,0.0,0
21,The Cuatro Man,0,0,,,,False,0.6,en,2015-09-17,14,0.0,0
22,The Sarkeesian Effect: Inside the World of Social Justice Warriors,0,0,Documentary,United States of America,J042 Productions,False,0.639,en,2015-09-14,156,0.0,0
23,Aurora,0,0,"Family, Drama",Puerto Rico,Do More Productions,False,0.744,es,2015-04-11,21,6.0,2
24,Goldfish,0,0,,,,False,1.176,en,2015-09-19,12,0.0,0
25,The English Teacher,0,0,,,,False,0.601,es,2015-09-17,16,0.0,0
26,Party Girl,0,0,,,,False,0.636,en,2015-09-16,11,0.5,1
27,Stay,0,0,,,,False,0.84,en,2015-09-14,23,0.0,0
28,"Lorenza, the Radio and You",0,0,,,,False,0.6,es,2015-09-22,12,0.0,0
29,Pendulum,0,0,,,,False,0.6,en,2015-09-17,72,0.0,0
30,Kristen,0,0,"Thriller, Horror",Netherlands,Amsterdam Zoetrope,False,0.748,nl,2015-09-28,83,6.1,4
31,Rose and the Soldier,0,0,,,,False,0.6,fr,2015-09-24,90,7.0,1
32,The Resort,0,0,,,,False,1.138,en,2015-05-14,16,0.0,0
33,Boxeadora,0,0,Documentary,,,False,0.6,en,2015-03-14,15,0.0,0
34,Alto Vista,0,0,,Aruba,,False,0.6,en,2015-09-23,5,0.0,0
35,Sixteen,0,0,,,,False,0.6,en,2015-09-21,7,0.0,0
36,"Three Billboards Outside Ebbing, Missouri",15000000,158526998,"Crime, Drama","United Kingdom, United States of America","Blueprint Pictures, Cutting Edge Group, Fox Searchlight Pictures, Film4 Productions",False,16.631,en,2017-11-10,115,8.2,5572
37,Denis,0,0,,,,False,0.601,en,2015-09-16,60,0.0,0
38,The Enemy,0,0,Documentary,Cuba,Escuela Internacional de Cine y Televisión de San Antonio de los Baños,False,0.811,es,2015-09-23,26,0.0,0
39,Trafficked,0,0,,,,False,0.6,en,2015-09-16,72,0.0,0
40,The Youth,0,0,,,,False,0.6,en,2015-09-21,16,0.0,0
41,The Fall Guys,0,0,"Comedy, Crime",New Zealand,Certain Scenes Productions,False,0.6,en,2012-11-24,93,6.0,1
42,Agnes,0,0,Drama,Germany,,False,1.115,de,2016-06-02,100,2.5,5
43,In the Leeward of Time,0,0,Documentary,Bosnia and Herzegovina,Sutjeska Film,False,1.127,bs,1966-01-01,15,0.0,0
44,The Tough Ones,0,0,"War, Drama",Serbia,"Kino Klub Beograd, Avala Film",False,0.6,sr,1968-01-01,92,5.0,1
45,Mommy Water,0,0,,,,False,0.6,fr,2014-10-29,25,0.0,0
46,Gnadenlose Bräute,0,0,Crime,Germany,,False,0.727,de,2001-09-25,,0.0,0
47,we are not alone,0,0,,,,False,0.84,en,2012-03-15,,0.0,0
48,Une jolie vallée,0,0,,,,False,1.085,fr,2019-04-03,54,0.0,0
49,Vaterherz,0,0,"TV Movie, Drama",Germany,,False,0.6,de,2007-01-17,,6.0,1
50,Die schönsten Jahre,0,0,,Germany,,False,1.131,de,2006-05-17,,3.0,1
51,"No Petrol, No Diesel",0,0,"Comedy, Drama",New Zealand,Dark Horse Films,False,0.721,en,2009-08-01,104,5.0,1
52,National.Geographic.Science.of.Babies,0,0,,,,False,0.6,zh,,,0.0,0
53,Gimp,0,0,Comedy,,,False,0.6,en,2012-03-07,8,0.0,0
54,Naked Bar Sports,0,0,Comedy,United States of America,K.B. Releasing,False,0.6,en,1995-01-01,60,0.0,0
55,American Dream/American Knightmare,0,0,"Documentary, Music",United States of America,Mythology Entertainment,False,0.808,en,2018-12-21,85,7.5,2
56,Of All the Things,0,0,"Music, Documentary",United States of America,,False,0.6,en,2008-03-08,,0.0,0
57,Shining Time Station: One of the Family,0,0,,,,False,0.6,en,1995-09-23,57,0.0,0
58,Anatole,0,0,,,,False,0.633,en,1962-09-14,,0.0,0
59,How to Win on the Thruway,0,0,,,,False,0.6,en,1962-09-14,,0.0,0
60,Human Zoo,0,0,Animation,Japan,,False,0.6,ja,1962-09-14,3,2.0,1
61,Rainbow on the River,0,0,Music,United States of America,"Sol Lesser Productions, Bobby Breen Productions Inc.",False,1.122,en,1936-12-18,87,0.0,0
62,The Lion Guard: Return of the Roar,250,27,"TV Movie, Animation, Family",United States of America,Walt Disney Television Animation,False,8.185,en,2015-11-22,44,5.9,102
63,Women Seeking Women 120,0,0,,United States of America,Girlfriends Films,True,1.139,en,2015-08-28,120,0.0,0
64,Tormenta en el ring,0,0,,,,False,0.6,en,1963-06-07,85,0.0,0
65,Muamba,0,0,,,,False,0.84,pt,2010-09-15,77,0.0,0
66,"HIV: Si Heidi, Si Ivy at Si V",0,0,Drama,Philippines,Exogain,False,0.728,en,2010-12-04,,0.0,0
67,Once There is a Heart,0,0,Drama,Philippines,"Available Light, Regal Entertainment",False,0.6,tl,2001-05-09,90,0.0,0
