,title,budget,revenue,genres,production_countries,production_companies,adult,popularity,original_language,release_date,runtime,vote_average,vote_count
0,Grand Canyon Tour Package,0,0,,,,False,0.6,en,2005-01-01,,0.0,0
1,Sarhad Paar,0,0,,,Nimbus Motion Pictures,False,0.842,en,2006-11-23,,0.0,0
2,Scribble Jam #9,0,0,,,,False,0.6,en,,,0.0,0
3,Secret NASA Transmissions: Martyn Stubbs Live at Leeds University,0,0,,,,False,0.6,en,,,0.0,0
4,Secret of the Shaolin Poles,0,0,Action,Taiwan,Jowell Film Production (H.K.) Co.,False,0.706,zh,1977-04-28,95,6.0,1
5,Hair: Let the Sun Shine In,0,0,Music,,,False,0.6,en,2007-01-01,52,0.0,0
6,Hilario Duran and His Latin Jazz Big Band: From the Heart,0,0,,,,False,0.6,en,2008-01-01,,0.0,0
7,Union Pacific Turbines of the Wasatch,0,0,Documentary,United States of America,Pentrex,False,0.6,en,1992-12-11,60,0.0,0
8,Workin' on the Railroad,0,0,Documentary,United States of America,Pentrex,False,0.6,en,1999-12-11,95,0.0,0
9,Effa,0,0,,,,False,0.6,en,,,0.0,0
10,The Founder,25000000,23964782,"Drama, History",United States of America,"Speedie Distribution, FilmNation Entertainment, Faliro House Productions, The Combine, The Weinstein Company",False,12.759,en,2016-09-13,115,7.0,2156
11,Hilary Duff: Learning to Fly,0,0,,,,False,1.529,en,2004-11-16,31,0.0,0
12,Seven Signs of Christ's Return,0,0,,,,False,0.6,en,,,0.0,0
13,Shunka,0,0,,,,False,0.6,en,,,0.0,0
14,Six Feet Under: Maximum Video,0,0,,,,False,0.6,en,1999-09-08,,0.0,0
15,Solomon & Sheba: Biography,0,0,,,,False,0.6,en,,,0.0,0
16,Spice Girls: Unauthorized,0,0,,,,False,0.6,en,2005-02-15,,0.0,0
17,Springtime in Vienna: Vienna Symphonic Orchestra: Vol. 3,0,0,,,,False,0.6,en,,,0.0,0
18,Strega Nona ... and More Stories About Magic,0,0,,,,False,0.6,en,,,0.0,0
19,Stunt Masters,0,0,,,,False,0.6,en,,,0.0,0
20,Hiphopmovie.Com: Vol. 1,0,0,,,,False,0.6,en,2002-01-01,,0.0,0
