,title,budget,revenue,genres,production_countries,production_companies,adult,popularity,original_language,release_date,runtime,vote_average,vote_count
0,Swing It,0,0,Music,United States of America,RKO Radio Pictures,False,1.4,en,1936-06-30,16,5.0,1
1,Muscle Tussle,0,0,,,,False,1.336,en,1953-04-18,7,6.5,4
2,As Ilhas Encantadas,0,0,Drama,"France, Portugal","Produções Cunha Telles, Fundo do Cinema Nacional, Les Films Number One",False,0.6,pt,1965-03-15,98,7.8,2
3,Nightbreaker,0,0,"Drama, TV Movie",United States of America,,False,0.84,en,1989-03-08,99,9.0,1
4,Grand Départ,0,0,Comedy,France,"StudioCanal, Move Movie",False,1.719,fr,2013-09-04,83,5.1,7
5,Mystery Plane,0,0,"Crime, Adventure",United States of America,Monogram Pictures,False,0.925,en,1939-03-08,60,0.0,0
6,Gifts in Rhythm,0,0,,,,False,1.091,en,1936-10-22,,0.0,0
7,The Brain Busters,0,0,,,,False,0.6,en,1936-01-09,,0.0,0
8,Ten Thousand Bedrooms,0,0,"Comedy, Romance",United States of America,Metro-Goldwyn-Mayer,False,2.674,en,1957-04-03,114,6.0,3
9,Catching Trouble,0,0,Documentary,United States of America,"Paramount, Grantland Rice Sportlight",False,0.6,en,1936-05-08,10,1.0,3
10,The Scold's Bridle,0,0,"Crime, Drama, TV Movie",United Kingdom,BBC,False,1.176,en,1998-07-01,147,10.0,2
11,I Feel Like a Feather in the Breeze,0,0,,,,False,1.091,en,1936-03-26,7,0.0,0
12,Intimate Parts,0,0,"Drama, Romance",Russia,"Vita Aktiva, Lemon Films Studio, Focus Plus Cinema",False,2.258,ru,2013-09-11,73,4.9,9
13,Lazy Bones,0,0,,,,False,1.4,en,1934-04-12,9,0.0,0
14,La Bonne Copine,0,0,Comedy,,,False,1.286,fr,2005-11-22,,4.6,8
15,Reaching for the Moon,0,0,"Music, Animation",United States of America,Fleischer Studios,False,1.091,en,1933-02-24,,0.0,0
16,Never Should Have Told You,0,0,,,,False,1.4,en,1937-01-28,8,0.0,0
17,Midsummer's Equation,0,0,"Crime, Drama, Mystery",Japan,,False,1.794,ja,2013-06-28,129,6.0,8
18,Red Nichols & His World Famous Pennies,0,0,,,,False,1.091,en,1936-01-03,,0.0,0
19,Harry Reser and His Eskimos,0,0,,,,False,1.091,en,1936-09-25,,0.0,0
20,Kill Your Idols: More.,0,0,"Documentary, Music",,,False,0.652,en,2006-08-11,57,7.5,2
21,Jimmie Lunceford and His Dance Orchestra,0,0,,,,False,0.6,en,1936-12-18,10,0.0,0
22,Nut Guilty,0,0,Comedy,United States of America,"The Vitaphone Corporation, Warner Bros. Pictures",False,0.6,en,1936-11-21,11,0.0,0
23,The Border Patrolman,0,0,Western,United States of America,Sol Lesser Productions,False,0.668,en,1936-06-20,60,5.5,1
24,The Scapegoat,0,0,Drama,France,"Bidibul Productions, Chapter 2, Nexus Factory",False,4.025,fr,2013-10-16,92,6.1,70
25,The Strike,0,0,Drama,Czech Republic,Československý státní film,False,0.6,cs,1947-04-10,77,5.0,1
26,Tragic Hunt,0,0,"Drama, Action",Italy,"Dante Film, Associazione Nazionale Partigiani d'Italia (ANPI)",False,0.84,it,1947-11-04,89,5.5,2
27,Montecassino nel cerchio di fuoco,0,0,"Drama, War",,,False,0.655,it,1946-11-20,,0.0,0
28,Eugenia Grandet,0,0,,Italy,,False,0.967,en,1946-09-10,,8.0,3
29,Pian delle stelle,0,0,"War, Drama",Italy,Corpo Volontari della Libertà (CVL),False,0.6,it,1946-09-17,100,0.0,0
30,Arrival from the Darkness,0,0,"Fantasy, Horror",Czechoslovakia,Rex-Film GmbH,False,0.624,cs,1921-10-14,60,6.0,1
31,Suzanne Vega - Live at Montreux 2004,0,0,Music,,,False,0.872,it,2006-09-18,78,7.0,1
32,Fortress,0,0,Documentary,Czech Republic,,False,0.6,cs,2012-09-30,70,0.0,0
33,The Intruder Within,0,0,"Thriller, TV Movie, Horror, Science Fiction",United States of America,Furia/Oringer Productions,False,1.259,en,1981-02-20,91,7.0,2
34,Alfons Zitterbacke,0,0,"Adventure, Family, Comedy",Germany,DEFA,False,0.992,de,1966-02-24,68,7.1,4
35,Nadine,0,0,,,,False,1.053,nl,2007-10-25,,6.0,3
36,Sensitive Pornograph,0,0,Animation,Japan,"Kitty Media, Media Blasters, Phoenix Entertainment",True,0.992,ja,2004-12-20,31,1.0,1
37,Nucingen House,0,0,Horror,"Chile, France, Romania","Margo Films, MACT Productions, Centre National de la Cinématographie",False,1.019,fr,2008-06-30,94,9.0,1
38,Houdini,0,0,Drama,,,False,0.797,en,1998-12-06,99,5.0,3
39,Falling for Scratte,0,0,,,,False,0.992,en,2009-10-27,9,5.3,3
40,Zelig Circus: Svisti e mai Visti - vol.1,0,0,,,,False,0.6,it,2003-07-29,,6.8,3
41,Zelig Circus: Svisti e mai Visti - vol.2,0,0,,,,False,0.6,it,,,0.0,0
42,Zelig Circus: Svisti e mai Visti - vol.2,0,0,Comedy,,,False,0.6,it,2003-07-29,,6.7,3
43,Jon Reep: Metro Jethro,0,0,Comedy,United States of America,Warner Bros. Pictures,False,0.844,en,2009-10-20,59,0.0,0
44,Billy Budd,0,0,Music,United Kingdom,"Opus Arte, Glynbourne, The Monument Trust, BBC",False,0.624,en,2011-04-25,200,10.0,1
45,Purple Darts,0,0,"Action, Adventure",Taiwan,"Union Film Company, Shaw Brothers",False,0.6,zh,1969-01-23,87,7.5,2
46,"Fuse, Memoirs of the Hunter Girl",0,0,"Action, Animation, Drama, History",Japan,"Asmik Ace, TMS Entertainment",False,8.933,ja,2012-10-20,110,8.4,9
47,Downhill They Ride,0,0,"Action, Adventure",Hong Kong,Shaw Brothers,False,1.091,zh,1966-02-04,104,0.0,0
48,Matthew Bourne's Christmas,0,0,Music,United Kingdom,Channel 4 Television,False,0.922,en,2011-12-01,48,10.0,1
49,Diary of Seduction,0,0,"Drama, Thriller",United States of America,MRG Entertainment,False,1.4,en,2004-03-15,,0.0,0
50,Anything for Alice,0,0,Comedy,France,"Siam Movies, Jerico, Vendôme Production",False,5.726,fr,2014-01-21,99,5.4,91
51,Profile Of A Killer,0,0,Thriller,,,False,0.6,en,2012-11-18,108,0.0,0
52,Invisible Ones,0,0,Comedy,France,Chic Films,False,3.529,fr,2013-09-18,98,5.3,41
53,Jean Michel Jarre Rendez-vous Houston: A City in Concert,0,0,Music,United States of America,Francis Dreyfus Musique,False,0.661,en,1986-04-05,53,10.0,1
54,Find the Way,0,0,,,,False,0.6,fr,2013-09-18,,0.0,0
55,Cyberstalker,0,0,,,,False,0.613,en,1996-10-22,96,4.0,2
56,Wild Brian Kent,0,0,Western,United States of America,"Sol Lesser Productions, 20th Century Fox",False,0.6,en,1936-11-05,57,0.0,0
57,Fernando Rocha - Portugal Laugh in Times of Crisis,0,0,Comedy,,,False,0.627,pt,2009-06-11,,7.5,1
