,title,budget,revenue,genres,production_countries,production_companies,adult,popularity,original_language,release_date,runtime,vote_average,vote_count
0,Organica,0,0,,Germany,BerlinStar Film,True,0.6,en,2009-10-20,112,0.0,0
1,Rank,0,0,,United States of America,Factory Video Productions,True,0.6,en,2001-10-20,75,0.0,0
2,Afternoon Off,0,0,"TV Movie, Drama",United Kingdom,London Weekend Television (LWT),False,0.6,en,1979-02-03,63,0.0,0
3,Three Legionnaires,0,0,,,,False,0.6,en,1937-07-10,,0.0,0
4,Plutonium,0,0,,,,False,0.84,de,1978-06-25,,0.0,0
5,Here Is Germany,0,0,"War, Documentary",,,False,1.164,en,1945-12-31,52,7.0,2
6,Prisoner of War,0,0,,United States of America,MEN.com,True,0.6,en,2014-10-20,100,0.0,0
7,I Will Only Love You Once,0,0,"Drama, Romance",Philippines,"Moviestars Production, Star Cinema – ABS-CBN Film Productions",False,0.6,en,1994-01-01,90,0.0,0
8,Tapang Sa Tapang,0,0,Action,Philippines,Star Cinema – ABS-CBN Film Productions,False,0.6,en,1997-01-01,,0.0,0
9,Genius Erps,10000000,20000000,,,,True,0.6,en,,123,0.0,0
10,The Boat Builder,0,0,"Drama, Family",United States of America,"Reunion Films, Blue Creek Pictures",False,1.791,en,2015-11-06,88,8.0,3
11,Heera Lal Panna Lal,0,0,,,,False,0.6,en,1999-01-01,,0.0,0
12,Tatlo... Magkasalo,0,0,Drama,Philippines,"Reyna Films, Regal Entertainment, Star Cinema – ABS-CBN Film Productions",False,0.633,en,1998-09-30,86,0.0,0
13,Carter Cruise Wide Open,0,0,,,,True,0.6,en,2015-07-15,133,7.5,2
14,Pause of the Clock,0,0,"Drama, Comedy",United States of America,,False,0.6,en,2015-11-07,78,0.0,0
15,Everything's for People,0,0,Comedy,Serbia,Čaplin,False,0.6,sr,2001-11-12,91,0.0,0
16,"The MonkeyDoos: Gallop, Hop and Stomp",0,0,Family,,,False,0.6,en,,28,0.0,0
17,The Marines Come Thru,0,0,"War, Action",United States of America,"Grand National Pictures, George A. Hirliman Productions",False,0.6,en,1938-08-04,65,0.0,0
18,Cameriera senza... malizia,0,0,"Adventure, Drama",Italy,"Panam di Troisi Anna, Ma.Gi. Cinematografica",True,1.71,it,1980-12-23,83,0.0,0
