,title,budget,revenue,genres,production_countries,production_companies,adult,popularity,original_language,release_date,runtime,vote_average,vote_count
0,Anaganaga O Dheerudu,3800000,5400000,"Adventure, Fantasy, Action, Family",India,"Disney World Cinema, A Bellyful of Dreams Entertainment, Arka Media Works",False,0.997,te,2011-01-14,133,5.0,6
1,Night Market Hero,0,0,Drama,,,False,0.609,zh,2011-01-28,124,6.4,5
2,Shotgun Love,0,0,"Drama, Comedy, Romance",South Korea,M-Line Distribution,False,1.869,ko,2011-03-10,112,6.8,5
3,"Josee, the Tiger and the Fish",0,0,,Japan,Asmik Ace,False,2.496,ja,2003-12-13,116,6.8,18
4,Human Experiments,0,0,"Horror, Crime",United States of America,"Jaguar Video, World of Video 2000",False,1.806,en,1979-10-19,82,2.9,5
5,Boat People,0,0,Drama,Hong Kong,Bluebird Movie Enterprises,False,1.861,cn,1982-10-13,109,7.8,8
6,The Last Run,0,0,"Action, Drama, Crime, Thriller",United States of America,Metro-Goldwyn-Mayer,False,1.638,en,1971-07-07,95,7.3,9
7,Star Wars: A Musical Journey,0,0,Music,United States of America,Lucasfilm,False,0.98,en,2005-05-03,71,6.6,6
8,The Carey Treatment,0,0,"Crime, Mystery, Thriller",United States of America,"Geoffrey Productions, Metro-Goldwyn-Mayer",False,1.757,en,1972-03-29,101,7.0,6
9,A Jungle Story,0,0,,United States of America,Handheld Pictures,True,0.843,en,2007-07-23,140,0.0,0
10,All Star,0,0,,United States of America,Digital Playground,True,0.6,en,2000-10-30,85,0.0,0
11,All Star 2,0,0,,United States of America,Digital Playground,True,0.6,en,2010-03-02,108,8.0,1
12,All Star Big Boobs,0,0,,United States of America,Digital Playground,True,0.6,en,2010-01-19,124,9.5,1
13,All Star POV,0,0,,United States of America,Digital Playground,True,0.6,en,2010-10-26,145,8.0,1
14,Walking Tall Part II,0,0,"Action, Adventure, Drama, Crime",United States of America,"Bing Crosby Productions, Cinerama Productions Corp.",False,2.349,en,1975-09-28,109,5.3,13
15,Team Spirit 2,0,0,"Comedy, Family, Romance",Belgium,,False,0.658,en,2003-12-10,105,5.0,1
16,Look at What the Light Did Now,0,0,"Music, Documentary",,,False,0.6,en,2010-01-01,77,5.0,1
17,Bobby Thompson - The Little Waster,0,0,Comedy,,,False,0.62,en,1992-12-18,78,7.5,1
18,Harry in Your Pocket,0,0,"Comedy, Crime, Drama",United States of America,,False,1.613,en,1973-09-23,103,6.1,9
19,Floored by love,0,0,,,,False,0.6,en,2005-01-01,60,4.5,2
20,Do I Love You?,0,0,"Comedy, Drama, Romance",United Kingdom,,False,0.812,en,2002-10-20,73,5.3,3
21,Take a Deep Breath,0,0,Drama,Serbia,Norga Investment,False,1.308,sr,2004-11-08,80,5.5,4
22,Without Me,0,0,Drama,France,Elzévir Films,False,0.999,fr,2007-10-10,90,3.6,4
23,Private Lessons,0,0,Drama,"France, Belgium",Haut et Court,False,2.616,fr,2008-11-11,105,5.2,13
24,More Than Just a Game,0,0,Drama,South Africa,,False,0.661,en,2007-11-22,89,3.0,2
25,National Geographic Drugs Inc Marijuana,0,0,Documentary,United States of America,,False,0.764,en,2010-07-12,,7.0,2
26,Thunder Over the Plains,0,0,"Western, Action, War, Romance",United States of America,Warner Bros. Pictures,False,0.636,en,1953-10-27,82,6.0,1
27,Carson City,0,0,Western,United States of America,Warner Bros. Pictures,False,2.036,en,1952-06-13,87,4.8,6
28,Belle Starr,0,0,Western,United States of America,20th Century Fox,False,1.495,en,1941-09-12,82,5.8,6
29,Fort Worth,0,0,Western,United States of America,Warner Bros. First National,False,0.895,en,1951-07-14,80,5.0,1
30,The Story of Molly X,0,0,"Crime, Drama",United States of America,Universal International Pictures,False,0.6,en,1949-11-01,79,3.3,3
31,Sesame Street: All-Star Alphabet,0,0,Family,,,False,1.94,en,2005-09-06,48,0.0,0
32,Texas Killing Fields,0,957240,"Drama, Thriller, Crime, Mystery",United States of America,"QED International, Block / Hanson, Watley Entertainment, Anchor Bay Films, Blue Light, Forward Pass, Gideon Productions",False,7.312,en,2011-10-14,105,5.8,242
