,title,budget,revenue,genres,production_countries,production_companies,adult,popularity,original_language,release_date,runtime,vote_average,vote_count
0,Axel Rudi Pell: One Night Live,0,0,,,,False,0.6,en,2003-09-23,,0.0,0
1,Deep Purple: Made In Japan,0,0,,,,False,0.661,en,1972-04-30,,10.0,1
2,As the Flames Rose,0,0,,Portugal,Blackmaria,False,0.6,pt,2012-04-26,27,5.0,1
3,I tromboni di Fra' Diavolo,0,0,,"Italy, Spain","Ágata Films S.A., Produzione Dario Sabatello",False,2.985,it,1962-10-11,,5.3,3
4,Umwege zu Dir,0,0,Romance,,,False,1.124,de,1944-11-21,,5.0,1
5,Iced Earth: [2011] Wacken Open Air,0,0,,,,False,1.463,en,2011-08-01,,0.0,0
6,The Igman March,0,0,"Drama, War","Serbia, Slovenia","Viba Film, Centar film, Zastava Film",False,1.4,sr,1983-06-26,97,7.0,1
7,Teufelsbraten,0,0,,Germany,ARD,False,0.664,de,2007-11-09,,4.0,1
8,Karramarro uhartea,0,0,,,Irusoin,False,0.636,eu,2000-10-03,,8.0,1
9,The Doctor,0,0,,United States of America,"Mile High Media, Sweet Sinner",True,0.6,en,2010-06-01,104,0.0,0
10,Kamelot: Ghost Opera,0,0,,,,False,0.6,en,,,0.0,0
11,Satyricon: The P3 Sessions,0,0,,,,False,0.6,en,2007-09-23,,0.0,0
12,Blind Guardian: Wacken 2011,0,0,Music,,,False,0.6,en,2011-01-01,46,5.3,2
13,Tom Thumb in the Land of the Giants,0,0,"Horror, Adventure, Fantasy, Comedy",Denmark,,False,0.782,en,1999-06-14,4,4.5,4
14,Ecstasy in Entropy,0,0,,,,False,2.464,en,1999-01-01,17,3.7,3
15,Screen Test 98,0,0,Drama,United States of America,"Penetration Films, Curb Yr Dog Filmwurks",False,0.6,en,1998-01-01,16,3.5,2
16,The Swan Song,37,0,,India,,False,0.6,en,2013-02-27,8,8.0,1
17,Whoregasm,0,0,,,,False,0.6,en,1988-01-01,12,4.5,2
18,Police State,0,0,,,,False,0.65,en,1987-01-01,18,4.5,2
19,Combat Tour Live: The Ultimate Revenge,0,0,Music,,,False,0.6,en,1985-04-03,,0.0,0
20,Kiss Me Goodbye,0,0,,,,False,0.6,en,1986-01-01,3,4.5,2
21,Lord of the Cockrings,0,0,,,,False,1.374,en,2002-01-01,19,7.0,1
22,Thus Spake Zarathustra,0,0,,,,False,0.621,en,2001-03-06,18,3.0,1
23,Demi Ucok,0,0,,Indonesia,,False,0.846,id,2013-01-03,75,0.0,0
24,Blind Guardian: Wacken 1998,0,0,,,,False,0.6,en,1998-01-01,,0.0,0
25,Blind Guardian: Wacken 2007,0,0,Music,,,False,0.6,en,2007-01-01,89,4.0,2
26,The Princess and The Pea,0,0,,,seven sept 517,False,0.6,en,2006-01-01,,4.0,1
27,Destruction ‎– A Savage Symphony: The History of Annihilation,0,0,"Documentary, Music",Germany,"AFM Records, Roax Films",False,1.344,en,2010-01-29,210,0.0,0
28,Hood,0,0,,,,False,0.6,fr,,,0.0,0
29,A Near Death Experience,0,0,"TV Movie, Mystery, Drama, Horror","Canada, United States of America",Incendo Productions,False,1.099,en,2008-01-06,89,6.6,5
30,Doro: Hellfest 2011,0,0,,,,False,0.6,en,2011-08-25,,0.0,0
31,Exodus: Double Live Dynamo,0,0,,,,False,0.6,en,2008-04-29,,0.0,0
32,Thor the Conqueror,0,0,"Fantasy, Adventure",Italy,Abruzzo Cinematografica,False,1.942,it,1983-02-05,91,4.0,11
33,Iced Earth: Ilosaarirock 2011,0,0,,,,False,0.6,en,,,0.0,0
34,His Nickname Is Beast,0,0,"Action, Drama, Crime",Soviet Union,Mosfilm,False,0.919,ru,1990-06-06,88,1.0,1
35,Lava Kusa,0,0,,India,,False,0.734,te,1963-03-28,165,10.0,2
36,Prestige,0,0,Adventure,United States of America,RKO Radio Pictures,False,0.6,en,1932-01-22,71,5.5,2
37,Prikazano Vzyat Zhivym,0,0,,Russia,Gorky Film Studios,False,0.627,ru,1983-06-06,87,0.0,0
38,Dangerous Corner,0,0,Mystery,United States of America,RKO Radio Pictures,False,0.6,en,1934-12-04,66,5.7,3
39,I'll Take Romance,0,0,"Music, Romance",United States of America,Columbia Pictures,False,0.6,en,1937-11-17,90,4.0,1
40,Ricochet,0,0,Action,"Russia, Moldova",Moldova Film,False,1.4,ru,1997-06-06,105,0.0,0
41,Fast Company,0,0,"Drama, Romance, Comedy, Mystery",United States of America,Metro-Goldwyn-Mayer,False,1.146,en,1938-07-08,75,5.9,4
42,Lord Montagu,0,0,Documentary,,,False,0.668,en,2013-04-04,79,8.0,1
43,The Toy Wife,0,0,Drama,United States of America,Metro-Goldwyn-Mayer,False,0.74,en,1938-06-10,96,5.3,3
44,Fateful Sunday,0,0,"Drama, Action",Russia,Mosfilm,False,1.904,ru,1983-05-03,86,7.6,5
45,Il marito in collegio,0,0,Comedy,Italy,Italian International Film,False,1.483,it,1977-05-30,,5.8,2
