,title,budget,revenue,genres,production_countries,production_companies,adult,popularity,original_language,release_date,runtime,vote_average,vote_count
0,Yes Nurse! No Nurse!,0,0,"Comedy, Music",Netherlands,,False,1.979,nl,2002-09-06,102,7.4,11
1,SportsCentury Greatest Athletes: Wayne Gretzky,0,0,Documentary,,,False,0.6,en,2000-11-10,48,0.0,0
2,Shifty,0,0,Thriller,United Kingdom,,False,2.134,en,2009-04-24,85,5.9,19
3,Shabd,2500000,3100000,"Drama, Romance",India,,False,2.119,en,2005-02-04,140,3.8,5
4,Gupt: The Hidden Truth,0,0,"Action, Romance, Thriller",India,Trimurti Films Pvt. Ltd.,False,3.504,hi,1997-07-04,175,6.7,21
5,I Sell the Dead,0,0,"Comedy, Drama, Horror",United States of America,Glass Eye Pix,False,4.346,en,2008-08-07,85,6.2,83
6,Booty Call,0,20060051,Comedy,United States of America,Columbia Pictures,False,4.098,en,1997-02-26,79,5.4,50
7,Richard Pryor: Here and Now,0,0,Comedy,United States of America,,False,1.688,en,1983-10-28,95,7.0,18
8,Sea Beast,0,0,"Horror, Science Fiction, TV Movie, Thriller",United States of America,"Insight Film Studios, CineTel Films, Sci-Fi Channel",False,2.091,en,2008-01-01,87,4.4,13
9,Richard Pryor: Live on the Sunset Strip,0,0,Comedy,United States of America,"Columbia Pictures Corporation, Rastar Pictures",False,4.096,en,1982-03-12,82,7.6,34
10,Naqoyqatsi,3000000,13308,"Documentary, Drama, Music, Thriller",United States of America,"Santa Fe Institute for Regional Education, Qatsi Productions, IRE Productions, Miramax",False,3.989,en,2002-09-02,89,6.4,66
11,Dark Corners,0,0,"Horror, Thriller",United Kingdom,"Matador Pictures, Regent Capital, Shoreline Entertainment",False,2.249,en,2006-05-10,92,5.5,25
12,IMAX - The Magic of Flight,0,0,Documentary,"United States of America, Canada",MacGillivray Freeman Films,False,0.685,en,1996-01-01,40,5.9,6
13,The Compass,0,0,Documentary,,,False,1.347,en,2009-01-01,90,0.0,0
14,Gamera,0,0,"Action, Horror, Science Fiction",Japan,"Daiei Motion Picture Co., Ltd.",False,2.932,ja,1965-11-27,80,5.2,33
15,Pluk van de Petteflet,0,0,Adventure,Netherlands,BosBros,False,1.864,en,2004-11-17,90,5.7,9
16,The Haunting Hour: Don't Think About It,3000000,0,"Fantasy, Horror, Family",United States of America,"The Hatchery, Universal Studios Home Entertainment Family Productions",False,2.898,en,2007-09-04,87,5.9,48
17,UFC 102: Couture vs. Nogueira,1285000,1920000,,United States of America,,False,1.035,en,2009-08-29,180,5.6,4
18,Alive 2007,0,0,"Drama, Action, Thriller, Science Fiction",,,False,0.6,en,1900-01-01,,0.0,0
19,"Harder, Better, Faster, Stronger - Live from Alive 2007",0,0,,,,False,0.6,en,2007-01-01,,0.0,0
20,Lee Evans: XL Tour Live 2005,0,0,Comedy,United Kingdom,Off The Wall Productions,False,1.885,en,2005-11-28,141,7.2,6
21,I Want You,0,0,"Romance, Comedy",Italy,,False,5.056,en,2007-03-09,106,4.7,209
22,Counter Investigation,0,0,Thriller,France,Pathé Renn Productions,False,5.235,fr,2007-03-07,85,7.0,156
