,title,budget,revenue,genres,production_countries,production_companies,adult,popularity,original_language,release_date,runtime,vote_average,vote_count
0,It's a Complex World,0,0,,,,False,0.6,en,1992-02-28,81,0.0,0
1,Murderous Maids,0,0,Drama,France,,False,1.993,en,2000-11-22,94,7.1,15
2,The Fantasticks,10000000,0,"Comedy, Music, Romance",United States of America,"Sullivan Street Productions, Michael Ritchie Productions, Radmin Company, The",False,2.365,en,1995-12-27,86,5.4,16
3,Raiders of the Lost Ark: The Adaptation,5000,0,"Action, Adventure",United States of America,,False,2.579,en,1989-01-01,100,6.7,9
4,The Strangler's Wife,0,0,Thriller,United States of America,"Film Shack, CityScape Motion Picture Education",False,0.6,en,2002-02-01,84,0.0,0
5,Big Bang in Tunguska,0,0,Documentary,Germany,Halbtotal Film,False,0.653,es,2008-06-01,50,8.5,2
6,Link,0,0,"Horror, Thriller",United Kingdom,"Thorn EMI Screen Entertainment, Cannon Group",False,2.827,en,1986-03-19,103,6.5,31
7,Blood Diner,0,0,"Horror, Comedy",United States of America,"Vestron Pictures, PMS Filmworks",False,4.141,en,1987-07-24,88,5.3,41
8,Wild Target,0,0,"Drama, Comedy, Crime",France,"M6 Films, Les Films Pelléas, Locofilms",False,1.3,fr,1993-08-18,87,6.8,8
9,Paparazzi,0,0,Comedy,France,"Rigolo Films 2000, TF1 Films Production, Canal+",False,2.872,fr,1998-04-29,109,5.2,27
10,Short Order,0,0,"Drama, Comedy, Romance",,,False,0.825,en,2005-01-01,97,4.5,4
11,Май,0,195000,,Russia,,False,0.6,ru,2007-04-19,,5.0,2
12,Tripod vs The Dragon,0,0,"Action, Comedy",,,False,0.6,en,2011-02-03,176,10.0,1
13,Teagan's Juice,0,0,,United States of America,Digital Playground,True,0.872,de,2006-08-31,113,8.5,1
14,Six Bend Trap,0,0,"Crime, Comedy",United Kingdom,Ironopolis Media,False,1.128,en,2011-04-16,135,4.0,1
15,Unmasked with George Carlin,0,0,"Comedy, Documentary",,,False,1.509,en,2007-09-25,80,5.3,2
16,Diary,0,0,"Drama, Documentary, War",,,False,0.6,en,2010-10-19,20,0.0,0
17,Sugar Boxx,0,0,"Action, Adventure, Thriller",United States of America,,False,1.876,en,2009-09-05,86,3.6,5
18,The Wrong Box,0,0,"Crime, Comedy, Adventure",United Kingdom,Salamander Film Productions,False,2.725,en,1966-06-19,105,6.3,20
19,"Den Gode, den Onde og Drengen der kunne blive til en Pige",0,0,,Denmark,,False,1.129,en,2012-04-01,,0.0,1
20,Tommy Emmanuel - Center Stage,0,0,Music,,,False,0.6,en,2008-01-22,,5.8,3
21,The Firm - Live At Hammersmith,0,0,,,,False,0.6,en,1984-12-09,130,0.0,0
22,Clash of Empires,0,0,"Action, Adventure",Malaysia,,False,1.621,en,2011-03-10,109,4.6,12
23,Champagnegalopp,0,0,,,,False,0.96,sv,1975-02-17,93,0.0,0
24,De Pernas Pro Ar,0,0,Comedy,Brazil,"Paris Filmes, Downtown Filmes, Globo Filmes, Morena Films",False,6.977,pt,2010-12-31,89,6.5,148
25,Pink Floyd: Momentary Lapses - The True Story of Pink Floyd,0,0,"Documentary, Music",,,False,0.886,en,2010-03-08,76,6.0,3
26,My Charlotte,2500,0,,,,False,0.6,en,,7,0.0,0
27,Buppah Rahtree 3.1,0,0,"Horror, Comedy",Thailand,,False,1.407,th,2009-04-09,90,5.4,5
28,Beny: Back to the Wild,0,0,Documentary,France,,False,0.853,fr,2011-03-30,90,5.0,6
29,Brave,185000000,538983207,"Animation, Adventure, Comedy, Family, Action, Fantasy",United States of America,Pixar,False,23.992,en,2012-06-21,93,6.9,8336
30,The Unseen Beatles,0,0,Documentary,United Kingdom,BBC,False,0.6,es,2007-01-01,,4.8,2
31,Neil Young In Concert 1971 BBC,0,0,Music,United Kingdom,,False,0.84,en,1971-02-23,28,6.0,3
32,Plop Gaat Trouwen,0,0,"Comedy, Family, Adventure",Belgium,Studio 100,False,0.807,nl,2011-06-08,,0.0,0
33,Devilman - Volume 1: The Birth,0,0,"Action, Fantasy, Horror, Animation",Japan,Dynamic Planning,False,2.394,ja,1987-11-01,50,5.7,17
34,Devilman Volume 3: Devilman Apocalypse,0,0,"Animation, Fantasy, Horror",Japan,,False,1.823,ja,2000-04-24,46,7.0,13
