,title,budget,revenue,genres,production_countries,production_companies,adult,popularity,original_language,release_date,runtime,vote_average,vote_count
0,Trouble Down Below,0,0,,United States of America,Love Productions,True,0.6,en,1981-01-01,52,0.0,0
1,The Price of Success,0,0,,United States of America,Columbia Pictures,False,0.6,en,1925-08-15,50,0.0,0
2,Fighting the Flames,0,0,,United States of America,Columbia Pictures,False,0.6,en,1925-08-23,55,0.0,0
3,The New Champion,0,0,,United States of America,Columbia Pictures,False,0.6,en,1925-09-01,50,0.0,0
4,Sealed Lips,0,0,,United States of America,Columbia Pictures,False,0.6,en,1925-09-15,56,0.0,0
5,Battle of the Sexes in Art and Culture,0,0,"Documentary, TV Movie",Germany,"Telekult Film- und Medienproduktion, Mitteldeutscher Rundfunk, ARTE",False,0.6,de,2019-04-28,52,6.0,1
6,Surviving R. Kelly : The Impact,0,0,,,,False,0.6,en,,,0.0,0
7,The Great Sensation,0,0,Drama,United States of America,Columbia Pictures,False,0.826,en,1925-10-01,50,0.0,0
8,Steppin' Out,0,0,,United States of America,Columbia Pictures,False,0.6,en,1925-10-15,57,0.0,0
9,When Husbands Flirt,0,0,,United States of America,Columbia Pictures,False,0.6,en,1925-11-01,57,0.0,0
10,A Fight to the Finish,0,0,,United States of America,Columbia Pictures,False,0.6,en,1925-11-01,50,0.0,0
11,The Fate of a Flirt,0,0,,United States of America,Columbia Pictures,False,0.6,en,1925-11-15,57,0.0,0
12,Shear Chaos 25,0,0,,United States of America,ChaosMen,True,0.6,en,2018-01-01,246,0.0,0
13,UBER xXx 2,0,0,Fantasy,,HotBoys,True,0.6,pt,2018-05-04,,0.0,0
14,The Handsome Brute,0,0,,United States of America,Columbia Pictures,False,0.6,en,1925-12-01,50,0.0,0
15,A Snail Can Take Down a Starfish,200,0,Drama,United States of America,Room 330,False,0.6,en,,5,0.0,0
16,The Lure of the Wild,0,0,,,,False,0.6,en,1925-12-12,58,0.0,0
17,Bruce,0,0,Comedy,United States of America,Comedy Dynamics,False,0.823,en,2018-01-27,70,0.0,0
18,Mazzaropi - A Carrocinha,0,0,,,,False,0.876,pt,,,0.0,0
19,21: The Story Behind The NFL's Longest Winning Streak,0,0,,,,False,0.6,en,,300,0.0,0
20,Shear Chaos 26,0,0,,United States of America,ChaosMen,True,0.6,en,2018-01-01,200,0.0,0
21,Christy in the Wild,0,0,,,,True,0.6,en,1993-05-18,73,0.0,0
22,Exodus,0,0,,,,False,0.839,fa,2019-04-26,77,0.0,0
23,The Unholy Child,0,0,"Drama, Horror",United States of America,Turner Films,True,0.6,en,1975-01-01,57,0.0,0
24,Nelson Cavaquinho: MPB Especial,0,0,Documentary,,,False,0.876,en,1973-05-05,52,0.0,0
25,When a Woman Calls,0,0,Drama,"France, United States of America","Les Films du Havre, Tania Productions",True,0.6,en,1975-05-27,86,0.0,0
26,S.O.S. Perils of the Sea,0,0,,United States of America,Columbia Pictures,False,0.6,en,1925-11-01,58,0.0,0
27,The Thrill Hunter,0,0,,,Columbia Pictures,False,0.6,en,1926-02-01,57,0.0,0
28,Eterna Passione,0,0,,,,True,0.6,en,1990-08-16,79,0.0,0
29,Ladies of Leisure,0,0,,United States of America,Columbia Pictures,False,0.6,en,1926-03-01,57,0.0,0
30,Breakpoint: A Counter-History of Progress,0,0,"Documentary, History","Belgium, France","ARTE, Cinéphage Productions, Les Films du Tambour de soie, Stenola Productions, Mucem, Radio Télévision Belge Francophone, CNRS Images, Radio Télévision Suisse (RTS)",False,2.408,fr,2019-07-14,99,0.0,1
31,Full Moon Bay,0,0,,,,True,0.6,en,1993-10-18,79,0.0,0
32,#Malam Jumat The Movie,0,0,Horror,Indonesia,"Blue Water Films, Dee Company",False,0.968,id,2019-05-16,,6.5,1
33,The False Alarm,0,0,,United States of America,Columbia Pictures,False,0.6,en,1926-09-20,57,0.0,0
34,Sweet Rosie O'Grady,0,0,,United States of America,Columbia Pictures,False,0.6,en,1926-09-26,69,0.0,0
35,When the Wife's Away,0,0,,,Columbia Pictures,False,0.6,en,1926-10-20,57,0.0,0
36,Obey the Law,0,0,,,Columbia Pictures,False,0.6,en,1926-11-05,57,0.0,0
37,The Truthful Sex,0,0,,,Columbia Pictures,False,0.6,en,1926-11-20,58,0.0,0
38,Carl's Motel,0,0,"Drama, Family","Canada, United States of America",,False,0.6,en,,15,10.0,1
39,A French Woman,0,0,,,,False,0.6,ko,2019-05-03,89,0.0,0
40,The Better Way,0,0,,,Columbia Pictures,False,0.6,en,1926-12-05,58,0.0,0
41,Remember,0,0,,United States of America,Columbia Pictures,False,0.6,en,1926-12-20,57,0.0,0
42,Charro a la fuerza,0,0,,,,False,0.6,es,1948-06-10,,0.0,0
43,My Life in Scenes Part 2,0,0,Documentary,,,False,0.6,en,2019-05-05,7,0.0,0
44,Exchange Diary,0,0,Documentary,"South Korea, Japan",,False,0.6,ko,2019-05-05,64,0.0,0
45,Tiptoeing,0,0,Documentary,South Korea,,False,0.6,ko,2019-05-06,90,0.0,0
46,Roda-roda,0,0,,,,False,0.6,en,1985-01-01,75,0.0,0
47,Séquelles,0,0,Horror,Switzerland,JCG Production,False,0.84,en,2014-09-24,88,0.0,0
48,A Season To Believe,0,0,,,,False,0.6,en,,,0.0,0
49,Roma Morte,0,0,"Documentary, History",,Filmes do Asilo Febril,False,0.6,pt,2019-02-08,31,0.0,0
50,Stolen Pleasures,0,0,,,Columbia Pictures,False,0.6,en,1927-01-05,58,0.0,0
51,Wandering Girls,0,0,,,Columbia Pictures,False,0.6,en,1927-01-20,58,0.0,0
52,The Wreck,0,0,,,Columbia Pictures,False,0.6,en,1927-02-05,56,0.0,0
53,The Bachelor's Baby,0,0,,,Columbia Pictures,False,0.6,en,1927-02-20,56,0.0,0
54,Ich bin die Leander - das muss reichen…,0,0,Documentary,,,False,0.6,de,1974-12-31,,0.0,0
55,The Wind,0,0,"Animation, Documentary, War, History","France, Lebanon, Syrian Arab Republic",Teir el Akhdar,False,0.6,ar,2015-09-13,4,0.0,0
56,Για μια Χούφτα Τουρίστριες,0,0,Comedy,Greece,ΑΡΤ ΦΙΛΜ,False,0.6,el,1971-07-14,,0.0,0
57,Once Over Lightly,0,0,Comedy,,Metro-Goldwyn-Mayer,False,0.6,en,1938-12-17,19,0.0,0
58,Рейк,0,0,"Drama, Crime",Russia,,False,1.4,ru,2019-04-22,,0.0,0
59,Pulsar,0,0,"Horror, Science Fiction, Drama",United Kingdom,,False,1.393,en,2018-05-02,17,0.0,0
60,Первая Республика,0,0,"Drama, Romance, History",Russia,,False,1.4,ru,2019-03-17,,0.0,0
61,The Kights of the Ku Klux Klan,0,0,Documentary,,,False,0.843,en,2009-01-01,50,0.0,0
62,A Home On the Clouds,0,0,Documentary,Italy,,False,0.6,it,,83,0.0,0
63,5 Dirhams Each,0,0,Documentary,"France, Morocco",,False,0.811,ar,2019-04-30,30,0.0,0
64,The Arrangement,0,0,,United States of America,Kiss & Kill See,False,1.285,en,2019-04-10,4,0.0,0
65,In the Name of the Brother,0,0,Documentary,Morocco,,False,0.6,ar,2013-06-04,50,0.0,0
66,145-ый км,3000,0,"Comedy, Crime",Russia,Alina Polichuk Company,False,0.958,ru,2014-12-20,,4.0,1
67,Ghost Strata,0,0,,,,False,1.653,en,2019-07-12,45,0.0,0
68,Harold Buttleman: Daredevil Stuntman,0,0,,,,False,0.6,en,2003-05-08,,0.0,0
69,The Price of Honor,0,0,,,Columbia Pictures,False,0.6,en,1927-03-05,57,0.0,0
70,Paying the Price,0,0,,,Columbia Pictures,False,0.6,en,1927-04-05,58,0.0,0
71,Pleasure Before Business,0,0,,,Columbia Pictures,False,0.6,en,1927-04-20,55,0.0,0
72,Poor Girls,0,0,,United States of America,Columbia Pictures,False,0.6,en,1927-05-05,58,0.0,0
73,Кастинг,0,0,Comedy,Russia,Alina Polichuk Company,False,0.6,ru,2012-12-10,,8.0,1
74,Rich Men's Sons,0,0,,,Columbia Pictures,False,0.6,en,1927-05-20,57,0.0,0
75,The Romantic Age,0,0,,,Columbia Pictures,False,0.6,en,1927-06-05,56,0.0,0
76,The Kid Sister,0,0,,,Columbia Pictures,False,0.6,en,1927-07-05,58,0.0,0
77,O Cortiço,0,0,Drama,,Cinédia,False,0.655,pt,1945-07-16,,0.0,0
78,The Nest,0,0,"Horror, Drama",Italy,"Colorado Film Production, Vision Distribution, Prem1ere Film, Film Commission Torino Piemonte",False,1.674,it,2019-08-14,,0.0,0
79,The Confession of Julien Donkey-Boy,0,0,,,,False,0.6,en,,15,0.0,0
80,Além do Rio das Mortes,0,0,,,,False,0.6,pt,1961-10-30,,0.0,0
81,Ludwig,0,0,,,,False,0.6,de,2019-05-02,55,0.0,0
