,title,budget,revenue,genres,production_countries,production_companies,adult,popularity,original_language,release_date,runtime,vote_average,vote_count
0,SHAZNA - Dear Heart,0,0,,,,False,1.091,ja,1999-04-28,,0.0,0
1,SHAZNA - Silent Beauty,0,0,,,,False,0.841,ja,1998-01-01,,0.0,0
2,"Wunderschönes Unterfranken mit Wein, Kultur und Musikanten",0,0,Documentary,,,False,0.6,de,2014-07-10,,0.0,0
3,Se7en Signs - A Travelling Film,0,0,Documentary,,,False,0.6,en,2013-11-01,46,0.0,0
4,Gair Kanooni,0,0,"Drama, Action, Comedy",India,"Glamour Color Labs [IN], S.M.S. Productions [IN], Gemini Studios [IN], AVM Recording Centre [IN], Anand Recording Studios [IN]",False,0.665,hi,1989-03-17,150,0.0,0
5,Rainbow,0,0,,,,False,0.6,en,2008-07-01,,0.0,0
6,Dirty Politics,0,0,"Drama, Thriller",India,B.M.B Music & Magnetics Ltd.,False,0.715,en,2015-03-06,129,4.5,2
7,Hey Bro,0,0,"Action, Comedy, Drama",,Pushpa Krishna Creations,False,0.6,hi,2015-03-06,113,6.0,1
8,The Two Ronnies Old Fashioned Christmas Mystery,0,0,"Mystery, Comedy",United Kingdom,BBC,False,0.6,en,1973-12-26,59,0.0,0
9,Life,0,0,,,,False,0.6,en,2014-01-04,145,0.0,0
10,Badmashiyaan,0,0,,,,False,0.6,en,2015-03-06,,0.0,0
11,The Best of The Two Ronnies,0,0,Comedy,,BBC,False,0.914,en,1971-03-18,85,0.0,0
12,Oru Kudumba Chithram,0,0,,,,False,0.6,ml,2012-12-07,145,0.0,0
13,The Death of the Gorilla,0,0,,United States of America,,False,1.091,en,1966-01-01,16,0.0,0
14,My Dear Mummy,0,0,,,,False,1.348,ml,2014-03-18,145,0.0,0
15,Bloody Border,0,0,,,,False,0.6,en,2013-10-31,92,0.0,0
16,The Kanto Scarlet Cherry Gang,0,0,"Action, Crime",Japan,"Toei Company, Ltd.",False,0.6,ja,1972-03-04,102,0.0,0
17,Andar Baahar,0,0,"Music, Action, Thriller",India,Uttam Chitra,False,0.6,hi,1984-09-07,138,0.0,0
18,Santa Claus in Baghdad,0,0,,,,False,0.6,en,2008-08-09,,0.0,0
19,Farishtay,0,0,,,,False,1.09,en,1991-02-22,,0.0,0
20,Neither Day Nor Night,0,0,,,,False,0.6,en,2009-01-01,,0.0,0
21,Keeping Up with the Joneses,40000000,29918745,"Action, Comedy",United States of America,"Parkes+MacDonald Image Nation, Fox 2000 Pictures",False,11.297,en,2016-10-20,105,6.0,1162
22,Uttar Dakshin,0,0,,,,False,1.09,en,1987-11-13,,0.0,0
23,Patron Saint,0,0,Documentary,Canada,,False,0.6,en,2015-03-28,71,0.0,0
24,Lakshmi Raave Maa Intiki,0,0,,India,,False,0.671,en,2014-12-05,145,5.0,1
25,Dance the Past Into The Future,0,0,,,,False,0.6,en,2014-08-31,65,0.0,0
26,Suffering Cassandra,0,0,,,,False,0.846,en,2013-01-01,,0.0,0
27,Pesarattu,0,0,,,,False,1.1,en,2015-02-06,145,0.0,0
28,Message of Greetings: Prix suisse / My Thanks / Dead or Alive,0,0,Documentary,France,,False,0.88,fr,2015-03-13,5,5.0,1
29,Vital Signs,0,0,"Drama, TV Movie",,,False,1.206,en,1986-02-11,100,0.0,0
30,Hoodlum Soldier,0,0,"Action, War, Comedy",Japan,"Daiei Motion Picture Co., Ltd.",False,0.6,ja,1965-03-18,103,0.0,0
31,H.G. Wells and the War of the Worlds: A Documentary,0,0,Documentary,United States of America,Delta Entertainment Corporation,False,0.6,en,2005-01-01,87,0.0,0
32,Birdie's Message,0,0,,,,False,0.6,en,2012-01-01,,0.0,0
33,Club Lingerie,0,0,"Comedy, Horror, Mystery",,,False,0.6,en,2014-11-02,82,0.0,0
34,Unlucky Woman's Blues,0,0,,,,False,0.6,ja,2014-01-01,,0.0,0
35,Kindred Moon Paranormal Ellis Library,0,0,,,,False,0.6,en,2014-11-30,,0.0,0
36,Kindred Moon Paranormal Sallie's House,0,0,,,,False,0.6,en,2014-01-01,,0.0,0
37,100 Days Of Love,0,0,Romance,India,Singapore Coliseum,False,1.882,ml,2015-03-20,153,5.8,15
38,Sententia: Inside Afghanistan,0,0,,,,False,0.6,en,2014-01-01,,0.0,0
39,Stonp or Die 3,0,0,,,,False,0.6,en,2015-01-01,,0.0,0
40,Light Years Away,0,0,,,,False,0.6,en,2014-11-13,,0.0,0
41,Demon Exorcism: The Devil Inside Maxwell Bastas,0,0,,,,False,0.6,en,2013-02-19,,1.0,1
42,The Junkyard Willie Movie: Lost in Transit,0,0,,,,False,0.6,en,2008-09-09,,0.0,0
43,Heavenly Match,0,0,"Drama, TV Movie",,,False,0.6,en,2014-10-12,,4.0,1
44,The Ruby Princess Runs Away,0,0,"Adventure, Family, Fantasy",,Where We Live Productions LLC,False,0.6,en,2001-01-04,44,0.0,0
45,Honoring a Father's Dream: Sons of Lwala,0,0,,,,False,0.6,en,2011-01-09,,0.0,0
46,Locked in Limbo,0,0,,,,False,0.6,en,2011-01-01,,0.0,0
47,Kindred Moon Paranormal The Grand Theater,0,0,,,,False,0.6,en,2014-11-27,,0.0,0
48,On The Road To Christ,0,0,,,,False,0.6,en,2014-11-18,,0.0,0
49,Wissahickon Moods,0,0,,,,False,0.6,en,2015-01-05,,0.0,0
50,The monster machine and the girl of my dreams,0,0,"Comedy, Science Fiction, Romance",Argentina,,False,1.275,es,2012-06-22,84,5.3,2
51,"Goodnight, Gloria",0,0,,,,False,0.6,en,2015-03-01,,0.0,0
52,Da Sean Caddy Show Documentary,0,0,,,,False,0.6,en,2014-01-01,,0.0,0
53,Hablar,0,0,"Drama, Comedy",Spain,"Sabre Producciones, Canal+ España, Aquí y Allí Films",False,1.301,es,2015-06-12,,6.7,8
54,Expose,0,0,Thriller,,,False,1.121,en,1997-10-13,78,4.0,1
55,The Jetfighters in Australia,0,0,,,,False,0.6,en,2014-01-01,,0.0,0
56,Weaving with Spanish Threads: An Immigrant's Tale,0,0,,,,False,0.6,en,2015-05-15,,0.0,0
57,Innocent Killers,0,0,"Thriller, Drama",Spain,"Áralan Films S.L., RTVE, Canal Sur Televisión",False,1.491,es,2015-07-03,95,5.6,13
58,Playing with Dolls: Bloodlust,0,0,Horror,United States of America,,False,2.244,en,2016-01-21,,4.3,6
59,Jerseyboy Hero,0,0,,,,False,0.6,en,2011-04-07,,0.0,0
60,Requirements to Be a Normal Person,0,0,Comedy,Spain,A Contracorriente Films,False,3.993,es,2015-06-04,90,6.6,70
61,Bluegrass Roots,0,0,,,,False,0.6,en,1964-01-01,,0.0,0
62,Maybe Baby,0,0,"TV Movie, Comedy",,,False,0.674,en,1988-12-05,88,6.0,1
63,The Darkling Incident,0,0,,,,False,0.6,en,2013-01-01,,0.0,0
64,Kindred Moon Paranormal Lemp Mansion,0,0,,,,False,0.6,en,,,0.0,0
65,The Heroes of Evil,0,0,Drama,Spain,Pokeepsie Films,False,4.123,es,2015-09-11,98,6.8,33
