,title,budget,revenue,genres,production_countries,production_companies,adult,popularity,original_language,release_date,runtime,vote_average,vote_count
0,Little Moritz demande Rosalie en mariage,0,0,Comedy,France,Pathé Frères,False,0.6,fr,1911-10-12,6,0.0,0
1,Normal work,0,0,,,,False,0.842,en,2007-01-01,13,0.0,0
2,L'année de l'Algérie,0,0,,,,False,0.656,en,2009-01-01,17,0.0,0
3,The Dawn Guard,0,0,War,United Kingdom,"Ministry of Information, Charter Film Productions",False,1.341,en,1941-01-01,5,0.0,0
4,Joan Does Dynasty,0,0,,,,False,0.716,en,1986-01-01,32,1.7,3
5,In the Valley of the Wupper,0,0,Documentary,,,False,0.881,en,1994-02-11,96,0.0,0
6,Nightcats,0,0,,,,False,0.655,en,1956-01-01,8,0.0,0
7,Zone Moment,0,0,,,,False,0.916,en,1956-01-01,3,0.0,0
8,The Rodeo,0,0,,,,False,0.6,en,1929-03-24,,0.0,0
9,The Big Shot,0,0,"Crime, Comedy",United States of America,RKO Radio Pictures,False,1.254,en,1937-07-23,60,5.0,1
10,The Americans Come,0,0,,,,False,0.84,en,1930-07-25,,0.0,0
11,Self-portrait as a Dead Stick Insect,0,0,,,,False,0.6,en,2015-01-26,3,0.0,0
12,Formales Gewissen,0,0,,,,False,0.6,en,2015-01-22,20,0.0,0
13,Second Hand Kisses,0,0,,,,False,0.6,en,1931-03-29,,0.0,0
14,Home Alone Mice,0,0,Animation,Japan,Ôishi Kôsai Eiga-sha,False,0.871,ja,1931-01-18,1,5.0,1
15,Rock Poet: Jim Morrison,0,0,Documentary,"United Kingdom, United States of America","Cardinal Releasing, Emperor Media Ltd",False,0.656,it,2010-07-18,,0.0,0
16,The Unlucky Butterfly,0,0,,Japan,,False,0.6,ja,1931-01-18,8,5.0,1
17,Last Conversation,0,0,Drama,Netherlands,"Rob Vermeulen, Holland Harbour Productions",False,0.6,nl,2009-09-10,80,0.0,0
18,The Tenor - Lirico Spinto,500,0,"Music, Drama","South Korea, Japan, Serbia","Voice Factory, Basara Pictures, Morein Group, Social Capital, Viktorija Film",False,0.6,ko,2014-10-11,114,0.0,0
19,The National Anthem Kimigayo,0,0,Animation,Japan,,False,0.6,ja,1931-04-30,3,3.0,2
20,Il tacchino prepotente,0,0,,,,False,0.6,en,1939-12-01,7,6.0,1
21,La vispa Teresa,0,0,,,,False,0.84,en,1939-12-01,7,7.0,1
22,Inauguracion Casino de Vina del Mar,0,0,,,,False,0.6,en,1931-01-18,,5.7,3
23,Sunrise Trail,0,0,Western,United States of America,Trem Carr Pictures,False,0.6,en,1931-02-07,65,0.0,0
24,Listen to My Heart,0,0,,Japan,,False,0.844,ja,2009-11-10,119,0.0,0
25,Olympic Games on Dankichi Island,0,0,Animation,Japan,,False,0.6,ja,1932-01-18,,0.0,0
26,The Plane Cabby's Lucky Day,0,0,Animation,Japan,,False,0.6,ja,1932-01-18,10,0.0,0
27,Cinema in Sudan: Conversations with Gadalla Gubara,0,0,Documentary,"Sudan, United Kingdom",,False,0.6,en,2008-09-01,52,0.0,0
28,The Larks' Moving Day,0,0,Animation,Japan,,False,0.6,ja,1933-01-31,,0.0,0
29,The Places of a Fugue,0,0,Drama,France,,False,0.623,fr,1978-07-06,41,5.0,1
30,The Long Road to Cabo,0,0,"Music, Documentary",,,False,0.673,en,2003-09-23,90,8.5,1
31,A Village Almost Perfect!,5000000,0,Comedy,France,"SND, Miroir Magique",False,4.159,fr,2014-11-15,98,5.5,71
32,Sanko and the Octopus: A Fight Over a Fortune,0,0,Animation,Japan,,False,0.662,ja,1933-01-18,16,5.0,1
33,Momotaro's Underwater Adventure,0,0,Animation,Japan,,False,1.415,ja,1932-01-26,2,0.0,0
34,Ugokie kori no tatehiki,0,0,"Fantasy, Comedy, Animation",Japan,P.C.L. Manga-bu,False,0.6,ja,1933-12-31,12,7.5,2
35,Wallace & Gromit - The Complete Collection,0,0,"Animation, Comedy, Family",United Kingdom,"Hit Entertainment, Aardman Animations, Lionsgate",False,0.978,en,2009-09-22,,8.8,6
36,Il sergente Rompiglioni,0,0,Comedy,Italy,"National Cinematografica, Flora Film",False,1.03,it,1973-01-01,,5.7,3
37,Kewashi,0,0,,Japan,,False,0.633,ja,2002-02-09,113,0.0,0
38,Finders Keepers,0,0,Documentary,United States of America,"Exhibit A Pictures, World Records Headquarters",False,3.947,en,2015-06-22,82,6.6,32
39,"CR NO: 89 (u/s 323,324,379 IPC, section 4,r/w 25(1)(b)of arms act 1959)",0,0,"Crime, Thriller",India,Pace Productions,False,0.956,en,2013-12-07,79,7.0,1
40,The Boat to Heaven,0,0,,Japan,,False,0.6,ja,2003-09-13,109,0.0,0
41,Varoo,0,0,,,,False,0.6,en,2004-01-01,,0.0,0
42,Private 2nd Class Norakuro: The Drill,0,0,Animation,Japan,,False,0.884,ja,1933-06-13,9,0.0,0
43,Randu,0,0,,,,False,0.6,en,2009-01-01,,0.0,0
44,Planning,0,0,,,,False,0.6,en,2007-01-01,,0.0,0
45,Thattumporathappan,0,0,,,,False,0.6,en,2010-02-01,,0.0,0
46,Private 2nd Class Norakuro: The Training,0,0,Animation,Japan,,False,0.6,ja,1933-01-18,9,0.0,0
47,Corporal Norakuro,0,0,Animation,Japan,,False,0.84,ja,1934-03-09,10,3.0,1
48,Il notturno di Chopin,0,0,"Drama, Thriller",,CG Homevideo,False,0.84,it,2012-06-18,,0.0,0
49,Run Ichiro Run,0,0,,Japan,,False,1.091,ja,2001-04-28,105,0.0,0
50,La Place est Bonne!,0,0,Comedy,France,,False,0.6,fr,1930-01-01,,0.0,0
51,Soundtrack,0,0,,Japan,,False,1.341,ja,2002-03-09,92,0.0,0
52,Station to Station,0,0,Drama,,,False,2.203,en,2014-12-31,71,7.6,5
53,Tracing Jake,0,0,Animation,,,False,0.6,ja,2004-01-01,113,0.0,0
54,Sankichi the Monkey: The Storm Troopers,0,0,"Comedy, Animation, War",Japan,Nihon Manga Film Kenkyu-jo,False,0.841,ja,1934-03-24,3,0.0,0
55,Gregorian - Moments of Peace in Ireland,0,0,,,,False,0.6,de,2001-12-03,,0.0,0
56,A Bolt from the Blue,0,0,"Drama, Comedy",Japan,,False,0.6,ja,2014-05-24,96,6.3,3
57,The Royal Road,0,0,Documentary,,,False,0.723,en,2015-01-23,65,6.5,2
58,Hyoei and Heibei's Tengu Hunt,0,0,"Comedy, Animation, Action",Japan,Chiyogami Eiga-sha,False,0.6,ja,1934-01-18,8,4.0,1
59,The 2010 Ryder Cup: Official Film,0,0,Documentary,United Kingdom,Lace,False,0.6,en,2010-11-22,149,8.0,1
60,Gregorian - The Masterpieces - Live from Prague,0,0,,,,False,0.6,de,2005-09-30,,0.0,0
61,Hinomaru Hatanosuke Takes Down the Inazuma Gang,0,0,Animation,Japan,,False,0.6,ja,1935-01-18,,0.0,0
62,Hatanosuke and the Haunted House,0,0,Animation,Japan,,False,0.6,ja,1935-01-18,,0.0,0
63,Man van staal,0,0,"Fantasy, Drama, Family",Belgium,,False,0.624,nl,1999-10-13,,6.5,1
64,Ein Feigenblatt für Kuhle Wampe,0,0,"Documentary, Drama",,DEFA,False,0.6,de,1975-05-02,63,0.0,0
65,Momotaro's Sky Adventure,0,0,Animation,Japan,,False,1.4,ja,1931-09-30,10,6.0,1
66,Sugarcane Shadows,0,0,,Mauritius,,False,0.6,en,2014-11-01,88,5.0,1
67,Taiiku day,0,0,,,,False,0.6,en,1932-01-18,,0.0,0
68,Midnight Whispers,0,0,Drama,Hong Kong,Genesis Films Limited,False,0.6,cn,1988-12-01,96,0.0,0
69,Tommy Tiernan Stray Sod,0,0,Comedy,,,False,0.6,en,2014-06-01,132,0.0,0
70,Tiny Chibisuke's Big Adventure,0,0,Animation,Japan,,False,1.133,ja,1935-01-18,9,0.0,0
71,Belly Drum Dance at Shojoji Temple,0,0,Animation,Japan,Ban'no Shôten,False,0.874,ja,1935-01-18,1,6.0,1
72,Frankenstein vs. The Mummy,0,0,Horror,United States of America,Ruthless Pictures,False,3.028,en,2015-02-10,90,4.5,19
73,Ta-chan's Underwater Adventure,0,0,Animation,Japan,Masaoka Eiga Bijutsu Kenkyu-jo,False,0.841,ja,1935-03-26,1,0.0,0
74,Why Is the Sea Water Salty?,0,0,Animation,Japan,,False,0.627,ja,1935-01-18,10,0.0,0
75,Over a Drink,0,0,Animation,Japan,,False,1.124,ja,1936-06-05,,4.0,1
76,Boundary,0,0,,Latvia,,False,0.6,en,2009-01-01,16,8.0,1
77,Of Girls and Horses,92000,0,Drama,Germany,Hyena Films,False,1.311,de,2014-12-04,82,5.3,6
78,Stjerneskud,0,0,Comedy,Denmark,ASA,False,0.6,da,1947-12-01,,6.0,1
79,Lost Souls,0,0,"Comedy, Fantasy",Hong Kong,Paragon Films Ltd.,False,0.6,cn,1989-08-09,88,0.0,0
80,The Sun and the Frogs,0,0,Animation,Japan,,False,0.6,ja,1936-01-18,1,0.0,0
81,The Monkey Fleet,0,0,"War, Animation",Japan,Yokohama Cinema Shokai,False,0.823,en,1936-01-18,1,6.0,1
82,The Sparrows' Lodge,0,0,Animation,Japan,,False,0.915,ja,1936-01-18,10,0.0,0
83,Sangham,0,0,"Drama, Action",India,K.R.G. Movies International,False,1.07,ml,1988-05-17,130,6.5,1
84,Claudio Arrau: The Emperor,0,0,,,,False,0.6,en,1987-01-01,,0.0,0
85,Say That You Love Me,0,0,"Romance, Comedy, Drama",Philippines,MAQ Productions,False,0.84,en,2005-07-19,,0.0,0
86,Sehti Murad,0,0,,,,False,0.84,en,1979-01-01,,0.0,0
87,Secrets of the Dead: D-Day: The Ultimate Conflict,0,0,,,,False,0.6,en,2004-10-26,,0.0,0
88,Shaavukaru,0,0,,,,False,0.6,en,1950-04-06,,0.0,0
89,Shadows of Desire,0,0,"Thriller, Drama",United States of America,The Königsberg Company,False,0.84,en,1994-09-20,96,0.0,0
90,Siri Sampadalu,0,0,,,,False,0.6,en,1962-01-01,,0.0,0
91,Soggadu,0,0,,,,False,0.6,en,1975-01-01,,0.0,0
92,Shakatak: In Concert: Ohne Filter,0,0,,,,False,0.6,en,2004-10-26,,0.0,0
93,Shri Krishnanjaneya Yuddham,0,0,,,,False,0.6,en,1972-01-01,,0.0,0
94,Dead End Massacre,0,0,,,,False,0.6,en,2004-07-13,,0.0,0
95,Njangalude Veettile Athidhikal,0,0,Drama,India,Galaxy Films,False,0.849,ml,2014-10-30,131,0.0,0
96,Southern Heart,0,0,,,,False,0.6,en,1999-10-22,,0.0,0
97,Streetball,0,0,,,,False,0.6,en,2010-10-24,,0.0,0
98,Final Shot: The Hank Gathers Story,0,0,,,,False,0.84,en,1992-03-29,92,0.0,0
99,Srimanthudu,0,0,,,,False,0.6,en,1971-01-01,,0.0,0
100,Gangsta King: Raymond Lee Washington,0,0,,,,False,0.6,en,2003-07-22,,8.0,1
101,Sumathi Yen Sundari,0,0,,,,False,0.6,en,1971-01-01,,0.0,0
102,The Passions of Howard Hughes,0,0,,,,False,0.6,en,2004-10-07,,0.0,0
103,Thobuttuvulu,0,0,,,,False,0.6,en,1963-01-01,,0.0,0
104,Thodi Kodallu,0,0,,,,False,0.6,en,1957-01-01,,0.0,0
105,Heading Home,0,0,Drama,United States of America,,False,0.6,en,1995-04-08,,0.0,0
106,Hum Se Hai Zamana,0,0,,,,False,0.6,en,1983-01-01,,0.0,0
107,Tiger Ramudu,0,0,,,,False,0.6,en,1962-03-08,,0.0,0
108,ISPR Investigates: Ghosts of England and Belgrave Hall,0,0,,,,False,0.6,en,1999-06-01,60,0.0,0
109,Ustad,0,0,,,,False,0.6,en,1957-01-01,,0.0,0
110,Uyyaala Jampaala,0,0,,,,False,0.6,en,1965-01-01,,0.0,0
111,Velugu Needalu,0,0,,,Vijaya Pictures,False,0.627,en,1961-01-05,,0.0,0
112,Guna 369,0,0,"Romance, Action",India,"Sprint Films, Gnapika Entertainments",False,0.631,te,,,0.0,0
113,Latino Beginnings,0,0,,,,False,0.6,en,2005-10-11,,7.0,1
114,Transworld Motocross: Crush,0,0,Documentary,,,False,0.84,en,2003-01-01,,0.0,0
115,Vox Lumiere: The Hunchback of Notre Dame,0,0,,,,False,0.6,en,2008-09-12,,0.0,0
116,Young & Restless in China,0,0,,,,False,0.6,en,,,0.0,0
117,The Photocopier,0,0,Drama,Philippines,"Amor Olaguer Production, Cinema One Originals, Ledge Productions, National Commission for Culture and the Arts, VitalStrats Creative Solutions",False,0.697,en,2006-11-24,107,5.5,2
118,Tamacha,0,0,,,,False,0.6,en,1988-03-26,,0.0,0
119,Sound Test for Blackmail,0,0,,,,False,0.882,en,1929-01-01,1,6.9,7
120,Vintage Model,0,0,,,,False,0.6,en,1992-09-04,,6.0,1
121,Vio-Lence: Blood and Dirt,0,0,,,,False,0.6,en,2006-08-08,,0.0,0
122,Zolar,0,0,Science Fiction,,,False,0.913,en,2004-05-01,96,1.0,2
123,50 Cent: Real Money,0,0,,,,False,0.6,en,2008-05-13,,0.0,0
124,A Wing and a Prayer,0,0,,,,False,0.6,en,1998-04-22,,0.0,0
125,Hansel Vs. Gretel,0,0,Horror,United States of America,The Asylum,False,3.257,en,2015-01-20,87,3.4,15
126,All the Way from Michigan Not Mars,0,0,,,,False,0.6,en,2009-10-26,,0.0,0
127,An Evening with Plácido Domingo,0,0,,,,False,0.6,en,1987-02-18,,0.0,0
128,Pictures from Life's Other Side,0,0,Documentary,United States of America,,False,1.34,en,1971-01-01,46,0.0,0
129,Apostolic Fathers: Handing On the Faith,0,0,,,,False,0.6,en,2007-10-08,,0.0,0
130,El pendiente,0,0,Crime,Argentina,,False,0.805,en,1951-01-01,72,0.0,0
131,Computer Animation Adventure,0,0,Animation,,,False,0.6,en,2001-12-18,45,0.0,0
132,Consciousness,0,0,,,,False,0.6,en,2005-01-01,,0.0,0
133,Dinosaurs: Inside and Out,0,0,,,,False,0.6,en,1997-01-01,,0.0,0
134,The Slim Shady Show Uncut,0,0,"Animation, Comedy",,,False,0.6,en,2001-09-16,57,7.0,1
135,Gene Simmons: Speaking in Tongues,0,0,,,,False,0.6,en,2004-08-10,,0.0,0
136,Germany at War: 1943-1945,0,0,,,,False,0.6,en,2006-01-01,,0.0,0
137,Illusions of Sin,0,0,Mystery,,,False,0.805,en,1997-01-01,88,0.0,0
138,Heavy Gear: The Dragon's Shadow,0,0,,,,False,0.6,en,2002-01-01,,0.0,0
139,History of World War II: Vol. 3,0,0,,,,False,0.6,en,2006-01-01,,0.0,0
140,Hollywood Singing & Dancing: A Musical History - 1970's,0,0,,,,False,0.6,en,2009-01-01,,0.0,0
141,Jataka Tales: Elephant Stories,0,0,,,,False,0.6,en,2009-01-01,,0.0,0
142,Linton Kwesi Johnson: Live in Paris,0,0,,,,False,0.6,en,2004-01-01,,0.0,0
143,Peter Maffay: Tattoos - Live,0,0,Music,,,False,0.84,de,2010-10-01,,10.0,1
144,Marilyn at the Movies,0,0,,,,False,0.6,en,1951-01-01,,0.0,0
145,Danskernes egen historie - Oplevelser fra nordjylland,0,0,,,,False,0.6,da,2004-01-20,,0.0,0
146,Robert McGinnis: Painting the Last Rose of Summer,0,0,Documentary,,,False,0.6,en,2008-12-31,78,0.0,0
147,Danskernes egen historie - Oplevelser fra Midt- Og Vestjylland.,0,0,,,,False,0.6,da,2004-01-20,,0.0,0
148,Modern Marvels: Aquariums: Windows on a Watery World,0,0,,,,False,0.6,en,1997-01-01,,0.0,0
149,Modern Marvels: The Telephone,0,0,,,,False,0.6,en,1995-01-01,,0.0,0
150,Car Park,0,0,Drama,Hungary,Katapult Film,False,1.124,hu,2015-01-22,90,9.7,3
151,Morricone Conducts Morricone,0,0,,,,False,0.6,en,2004-01-01,,0.0,0
152,Mr. Bing and L'Art Nouveau,0,0,,,,False,0.6,en,2004-01-01,,0.0,0
153,Danskernes egen historie - Oplevelser fra østjylland,0,0,,,,False,0.6,da,2004-01-20,,0.0,0
154,National Lampoon Live: New Faces: Vol. 1,0,0,,,,False,0.6,en,2004-01-01,,0.0,0
155,Danskernes egen historie - Oplevelser fra Syd- og Sønderjylland,0,0,,,,False,0.6,da,2004-01-20,,0.0,0
156,North Starr,0,0,Drama,United States of America,"Cinelever, Fat Bessy Films",False,0.603,en,2008-01-01,115,0.0,0
157,Danskernes egen historie - Oplevelser fra Århus,0,0,,,,False,0.6,da,2004-01-20,,0.0,0
158,Paul Rodriguez: Live from the Alamo,0,0,,,,False,0.6,en,2005-01-01,,0.0,0
159,Pictoplasma: Characters in Motion: Vol. 1,0,0,,,,False,0.6,en,,,0.0,0
