,title,budget,revenue,genres,production_countries,production_companies,adult,popularity,original_language,release_date,runtime,vote_average,vote_count
0,Noah,0,0,,United States of America,,False,0.687,en,1998-10-11,120,4.5,2
1,Bad Santa,0,0,,"Sweden, Denmark",Magma,True,0.6,de,2008-12-10,,0.0,0
2,Bellas durmientes,0,0,Drama,Spain,Off Films S.L.,False,0.895,es,2001-11-09,100,0.0,0
3,Andrea Bocelli: A Child Destined to Sing,0,0,,,,False,0.6,en,2007-01-01,60,0.0,0
4,Checkin' in with Goofy,0,0,Animation,United States of America,Walt Disney Pictures,False,0.824,en,2011-02-16,2,6.0,1
5,Kick Me,0,0,Animation,United States of America,,False,0.6,en,1975-01-01,8,0.0,0
6,The Man from Bitter Ridge,0,0,Western,United States of America,Universal International Pictures,False,2.311,en,1955-04-12,80,4.7,8
7,Bengal Brigade,0,0,"War, Adventure, History",United States of America,Universal International Pictures,False,0.971,en,1954-11-06,87,4.9,5
8,Cortazar in love,0,0,Drama,Argentina,Channel 4 Television,False,0.675,en,2018-12-05,88,0.0,0
9,Buscant l'home perfecte,0,0,,Spain,,False,0.6,es,2008-05-09,90,0.0,0
10,Los Hombres las prefieren viudas,0,0,,Spain,,False,0.6,en,1970-08-17,85,0.0,0
11,The Elevator,0,0,"Comedy, Romance",United States of America,,False,1.344,en,2011-03-26,15,0.0,0
12,Son Contento,0,0,Comedy,Italy,Hera International Film,False,0.732,it,1983-11-09,,6.0,3
13,L'elefante bianco,0,0,,"Italy, Germany, France",,False,0.877,en,1998-04-06,180,0.0,0
14,Wiseguy,0,0,,United States of America,,False,0.84,en,1996-05-02,95,6.0,2
15,Al alcance de su mano,0,0,Drama,Spain,"Continental Producciones, Zeppelin TV S.A, Linze TV S.A, 3 Koma 93",False,0.6,en,2002-01-01,88,0.0,0
16,Much Ado About Nothing: Shakespeare's Globe Theatre,0,0,"Comedy, Drama",,,False,1.206,en,2012-10-09,167,10.0,1
17,Othello: Shakespeare's Globe Theatre,0,0,Drama,,,False,1.132,en,2008-03-25,195,6.0,1
18,Henry IV Part 1: Shakespeare's Globe Theatre,0,0,"Comedy, Drama, History, War",United Kingdom,Shakespeare's Globe,False,0.917,en,2012-05-27,167,10.0,1
19,Maid To Ass Fuck,0,0,,,,True,0.7,de,2013-07-28,,9.8,2
20,Henry IV Part 2: Shakespeare's Globe Theatre,0,0,"Comedy, Drama, History",United Kingdom,Shakespeare's Globe,False,0.827,en,2012-06-25,171,10.0,1
21,Windham Hill: Water's Path,0,0,,,,False,0.804,en,1984-01-01,55,0.0,0
22,Terzo canale - Avventura a Montecarlo,0,0,"Comedy, Music",Italy,SAN MARCO Cin.ca,False,0.6,it,1970-07-28,100,0.0,0
23,Windham Hill: Winter,0,0,Music,United States of America,"LaserDisc Corporation, Windham Hill, DreamVideo Inc.",False,0.84,en,1985-01-01,55,0.0,0
24,The Dancer,0,0,Documentary,Sweden,"SVT Drama, Svenska Filminstitutet",False,0.6,sv,1994-09-09,100,0.0,0
25,It's Me It's Me,0,0,"Comedy, Drama, Science Fiction",Japan,"Dub, J Storm",False,2.141,ja,2013-05-24,119,6.1,6
26,80 Meters Below the Summit,0,0,Documentary,,,False,0.6,sk,1997-01-01,57,0.0,0
27,The Street Stops Here,0,0,,,,False,0.6,en,2010-03-31,82,0.0,0
28,London Orbital,0,0,,,,False,1.345,en,2002-08-30,77,0.0,0
29,The Terror of the Steppes,0,0,"Adventure, Action, Drama",Italy,,False,0.805,it,1964-01-29,,0.0,0
30,Sure Death,0,0,,Japan,"Shochiku Co., Ltd., Asahi Broadcasting Corporation",False,0.6,ja,1984-06-16,123,5.0,1
31,Ecuador,0,0,Documentary,,,False,0.6,en,2012-11-14,72,0.0,0
32,Prelude to Fame,0,0,Drama,United Kingdom,"Two Cities Films, Aquila Cinematografica",False,0.6,en,1950-05-02,78,6.5,1
33,Look,0,0,,,,False,0.6,en,2001-07-28,11,0.0,0
34,Sailing Along,0,0,,United Kingdom,Gaumont British Picture Corporation,False,0.674,en,1938-04-15,80,8.0,1
35,Caddyshack: The 19th Hole,0,0,"Documentary, Comedy",United States of America,Warner Home Video,False,0.913,en,1999-05-05,32,7.0,1
36,Rhodes of Africa,0,0,"Drama, History",United Kingdom,Gaumont British Picture Corporation,False,0.6,en,1936-06-30,90,6.0,1
37,Passage West,0,0,Western,United States of America,"Paramount, Pine-Thomas Productions",False,1.212,en,1951-10-01,80,6.0,1
38,Love 600,0,0,,Germany,,False,0.6,de,1970-05-06,95,0.0,0
39,Feel,0,0,,United States of America,,False,1.022,en,2006-12-01,90,6.5,2
40,Plunderers of Painted Flats,0,0,Western,United States of America,"Albert C. Gannaway Productions, Republic Pictures",False,0.6,en,1959-01-23,77,0.0,0
41,The Second Wife,0,0,"Comedy, Romance",Italy,Cecchi Gori Group Tiger Cinematografica,False,3.578,it,1998-11-05,,6.5,4
42,No Turning Back,0,0,"Action, Adventure, Drama","United States of America, Spain",,False,0.6,en,2002-06-21,101,0.0,0
43,33 Teeth,0,0,"Comedy, Drama",United States of America,,False,1.4,en,2011-09-22,8,6.0,2
44,Gudgudee,0,0,Romance,,Plus Films,False,0.6,hi,1997-04-04,144,0.0,0
45,Os Três da Vida Airada,0,0,"Music, Comedy, Romance",Portugal,Lisboa Filme,False,0.6,pt,1952-08-21,98,6.5,2
46,I Am Because We Are,0,0,Documentary,United States of America,Semtex Films,False,0.781,en,2008-04-24,90,9.5,4
47,Battlefield Death Tales,0,0,"War, Horror",United Kingdom,"Jinx Media, Amber Pictures",False,1.616,en,2012-08-13,87,2.9,5
48,Magic Kisa,30,0,,,,False,0.6,en,2008-10-12,,10.0,1
49,"Peep ""TV"" Show",0,0,"Documentary, Drama",Japan,,False,0.902,ja,2003-10-01,98,3.5,2
50,Yoddha,0,0,"Adventure, Comedy, Fantasy, Action",India,Saga Films,False,2.996,ml,1992-09-03,149,7.4,14
51,Up Her Asshole 3,0,0,,,,True,0.6,en,2013-02-01,256,0.0,0
52,Maniacts,0,0,,,,False,1.646,en,2001-12-06,92,5.8,4
53,Mapping Perception,0,0,,,,False,0.662,en,2002-07-28,37,5.0,1
54,Linkin Park - Rock am Ring 2012,0,0,,,,False,0.6,en,,120,0.0,0
55,Rosa de Alfama,0,0,"Drama, Comedy",Portugal,Lisboa Filme,False,0.6,pt,1953-07-03,,7.0,1
56,Fallout,0,0,"Documentary, History",Australia,"Film Victoria, Screen Australia, Rough Trade Pictures",False,0.84,en,2013-07-26,86,6.0,1
57,Mean Barbara,0,0,Animation,Czech Republic,,False,1.12,cs,1987-07-28,16,9.0,1
58,Walk the Talk,0,0,,,,False,0.662,en,2000-09-09,111,8.0,1
59,Meriel the Ghost Girl,0,0,,,,False,0.84,en,1976-09-28,60,0.0,0
60,18 Weapons of Kung Fu,0,0,"Drama, Action",Taiwan,,False,0.6,zh,1977-10-07,89,0.0,0
61,The Green Dragon Inn,0,0,"Action, Drama, Adventure",Taiwan,,False,1.4,zh,1977-07-01,93,0.0,0
62,Of Cooks and Kung Fu,0,0,,"Taiwan, Hong Kong",,False,0.911,cn,1979-01-01,90,7.0,1
63,A,0,3,,,,False,1.099,en,1998-02-12,140,8.8,4
64,Byl jednou jeden polda III - Major Maisner a tančící drak,0,0,,,,False,0.6,cs,1999-01-27,,2.5,2
65,Scooby-Doo! Adventures: The Mystery Map,0,0,Family,,,False,1.446,en,2013-07-22,42,5.8,8
66,Johan Glans: World Tour of Skandinavien,0,0,Comedy,,,False,0.6,sv,2013-11-05,,0.0,0
67,Se lo scopre Gargiulo,0,0,"Crime, Comedy",Italy,"Titanus, A.M.A. Film, Reteitalia",False,0.654,it,1988-05-15,114,0.0,0
