,title,budget,revenue,genres,production_countries,production_companies,adult,popularity,original_language,release_date,runtime,vote_average,vote_count
0,Tisza: Autumn Sketches,0,0,,,,False,0.6,en,1963-01-01,17,0.0,0
1,Married 2 Malcolm,0,0,,,,False,0.6,en,2000-01-01,,0.0,0
2,Homage to Old Ladies,0,0,Documentary,Hungary,MAFILM Riport és Dokumentum Filmstudió,False,1.192,hu,1971-01-01,37,8.3,3
3,American Punks,0,0,,,,False,0.6,en,1997-01-01,,0.0,0
4,The Wind,0,0,Animation,Hungary,Pannónia Filmstúdió,False,0.6,xx,1986-05-01,7,0.0,0
5,Appointment in Tokyo,0,0,"Documentary, War",United States of America,U.S. Army Signal Corps,False,0.841,en,1945-01-01,56,0.0,0
6,The Luncheon,0,0,,,,False,0.6,en,1980-01-01,5,7.0,1
7,BBOY for LIFE,0,0,,,,False,0.6,en,2012-12-30,,0.0,0
8,Being Captain Zero,0,0,,,,False,0.6,en,2009-01-01,68,4.0,1
9,Western,0,0,"Western, Animation",,,False,0.6,en,1990-06-01,2,8.0,1
10,Up With Me,0,0,,,,False,0.6,en,2008-03-08,,0.0,0
11,Zénó és a Hírek,0,0,,,,False,0.6,en,1985-01-01,2,6.0,1
12,Bill's Gun Shop,0,0,,,,False,0.665,en,2001-01-01,,0.0,0
13,Bob Truax: US Navy's Rocket Man,0,0,,,,False,0.6,en,2008-01-01,,0.0,0
14,The Dinah Girls,0,0,,,,False,0.6,en,2011-06-03,,0.0,0
15,Country Music Classics: Marty Robbins and Ernest Tubbs,0,0,,,,False,0.6,en,1992-01-01,,0.0,0
16,La figliastra (Storia di corna e di passioni),0,0,"Comedy, Romance",Italy,Austerity Film,False,1.546,it,1976-07-29,88,6.5,2
17,Los salvajes,0,0,,,,False,0.6,it,1958-03-04,,0.0,0
18,"Flying at 'Ya, Android Kikaider",0,0,"Action, Adventure, Science Fiction",Japan,"Ishinomori Productions, Toei Company, Ltd.",False,0.6,ja,1973-03-16,33,0.0,0
19,Timeline,0,0,Romance,Thailand,Sahamongkolfilm,False,0.6,th,2014-02-13,135,6.7,3
20,Au Pere Lachaise,0,0,,,,False,0.6,en,1986-05-21,13,0.0,0
21,Crop Circles: What Do They Mean?,0,0,,,,False,0.6,en,2009-01-01,,0.0,0
22,Siringo,0,0,"TV Movie, Western",United States of America,"Rysher Entertainment, Rattlesnake Productions",False,0.673,en,1995-05-16,90,5.0,1
23,Cruzando,0,0,,,,False,0.6,en,2009-04-01,,0.0,0
