,title,budget,revenue,genres,production_countries,production_companies,adult,popularity,original_language,release_date,runtime,vote_average,vote_count
0,Drug Bust Doody,0,0,"Animation, Horror",,,False,0.6,en,2013-05-19,3,5.0,1
1,Country Hotel,0,0,"Crime, Drama",Thailand,Hanuman Film,False,0.624,th,1957-01-01,138,5.0,1
2,Chumpae,0,0,"Action, Adventure",Thailand,Santisucha Phaphayon Productions,False,0.87,en,1976-06-26,145,5.5,1
3,Summer Fantasy,0,0,,,,False,0.6,en,1984-05-25,120,0.0,0
4,Going for the Gold: The Bill Johnson Story,0,0,,,,False,0.6,en,1985-05-08,,0.0,0
5,The Chord,0,0,Crime,Egypt,United Brothers,False,1.025,ar,2011-09-15,,6.5,2
6,Raw Talent,0,0,"Action, Drama",United States of America,"Scarlet Productions, Old Virginia Company, Fantasy Films",True,0.6,en,1984-08-15,82,4.0,1
7,A Girl at the Window,0,0,Drama,Canada,Palomar,False,2.061,fr,2002-01-31,90,6.3,3
8,Home is Where the Hart Is,0,0,Comedy,Canada,Téléfilm Canada,False,0.953,en,1987-06-13,94,5.0,2
9,The Bounty Killer,0,0,Western,United States of America,"Premiere Productions, Embassy Pictures Corporation",False,1.132,en,1965-07-30,96,5.8,6
10,Annie Lennox: Live in Central Park,0,0,,,,False,0.6,en,1995-01-01,90,0.0,0
11,The Bathers,0,0,Drama,France,,False,0.6,fr,2003-01-22,83,5.0,1
12,Material Witness OR A Liquid Cop,0,0,,,,False,0.6,en,2012-03-14,19,0.0,0
13,The Perfect Boyfriend,0,0,"TV Movie, Crime, Mystery, Thriller",,,False,0.706,en,2013-07-04,85,4.8,2
14,The Searching Wind,0,0,"Drama, War",United States of America,Hal Wallis Productions,False,0.841,en,1946-08-09,108,0.0,0
15,Stalin,0,0,"Drama, Action",India,,False,1.115,te,2006-12-14,151,6.0,4
16,Perfect Killer,0,0,"Action, Comedy",,CM Film Co.,False,0.6,en,2005-07-21,,0.0,0
17,Untamed Love,0,0,"Drama, TV Movie",United States of America,"Hearst Entertainment Productions, Carroll Newman Productions",False,1.065,en,1994-08-03,92,5.9,6
18,"Isle of Man Tourist Trophy 2013, The TT Experience",0,0,Documentary,,"Duke Marketing, North One Television",False,0.847,en,2013-07-21,246,0.0,0
19,The Glass House,0,0,Drama,United States of America,Tomorrow Entertainment Inc.,False,0.612,en,1972-02-04,90,4.8,2
20,The Good Fight,0,0,Drama,,,False,0.6,en,1992-12-15,91,6.0,1
21,My Inlaw,0,0,,,,False,0.6,en,2010-01-01,122,0.0,0
22,Karaoke!,0,0,,,,False,0.711,en,2013-04-03,12,8.0,1
23,Los Niños Invisibles,0,0,Science Fiction,,,False,1.052,es,2001-10-27,90,5.3,9
24,Beauty and the Bandit,0,0,"Romance, Western",United States of America,Monogram Pictures,False,1.208,en,1946-11-09,69,0.0,0
25,The Gay Cavalier,0,0,"Romance, Western",United States of America,Monogram Pictures,False,1.208,en,1946-03-30,64,0.0,0
26,The Great Outdoors,0,0,,,,False,0.655,en,2002-12-02,41,0.0,0
27,South of Monterey,0,0,"Romance, Western",United States of America,Monogram Pictures,False,0.6,en,1946-06-15,63,0.0,0
28,Riding the California Trail,0,0,"Romance, Western",United States of America,Monogram Pictures,False,0.841,en,1947-01-11,58,0.0,0
29,Robin Hood of Monterey,0,0,"Romance, Western",United States of America,Monogram Pictures,False,0.707,en,1947-09-06,56,5.5,1
30,The Great Outdoors: Another Perfect Season,0,0,,,,False,0.805,en,2004-12-05,58,0.0,0
31,Soul Of A Demon,0,0,Drama,Taiwan,,False,1.72,zh,2008-06-13,122,6.4,6
32,The Great Outdoors: The Constant War,0,0,,,,False,1.172,en,2005-12-04,59,0.0,0
33,The Great Outdoors: Industrial Strength,0,0,,,,False,0.6,en,2006-11-20,61,0.0,0
34,Mr. Reckless,0,0,,,,False,0.601,en,1948-03-26,66,4.0,2
35,Federal Man-Hunt,0,0,"Crime, Drama",United States of America,Republic Pictures,False,1.125,en,1938-12-27,53,6.5,1
36,Door to the Night,0,0,"Romance, Mystery",,,False,1.938,ko,2013-11-06,95,4.3,2
37,Grandma Moses,0,0,Documentary,United States of America,Falcon Films Inc.,False,0.6,en,1950-10-23,21,7.0,1
38,My Country 'Tis of Thee,0,0,"History, Documentary",United States of America,Warner Bros. Pictures,False,0.627,en,1950-12-01,19,0.0,0
39,Woman Wanted,0,0,"Comedy, Crime, Drama",United States of America,Metro-Goldwyn-Mayer,False,0.956,en,1935-08-02,67,6.7,3
40,Grandad of Races,0,0,,,,False,0.6,en,1950-09-02,9,5.0,2
41,Blaze Busters,0,0,,,Warner Bros. Pictures,False,0.627,en,1950-12-30,10,0.0,0
42,Wrong Way Butch,0,0,Comedy,United States of America,Metro-Goldwyn-Mayer,False,0.6,en,1950-09-02,10,0.0,0
43,Trouble Indemnity,0,0,,,,False,0.6,en,1950-09-14,6,6.0,1
44,Why Korea?,0,0,,,,False,0.621,en,1951-01-01,30,5.0,1
45,The Fight: Science Against Cancer,0,0,,Canada,National Film Board,False,0.6,en,1950-01-01,21,6.0,1
46,The Stairs,0,0,,,,False,0.6,en,1950-01-01,10,0.0,0
47,Balzac,0,0,"Documentary, History",France,Les Films du Compas,False,0.6,fr,1951-01-01,24,0.0,0
48,Danger Under the Sea,0,0,,,,False,0.6,en,1951-01-01,12,0.0,0
49,World of Kids,0,0,Documentary,,,False,0.6,en,1951-06-23,10,0.0,0
50,Ridin' the Rails,0,0,,,,False,0.6,en,1951-11-02,10,0.0,0
51,Sisters on the Road,0,0,Drama,South Korea,㈜디엔에이엔터테인먼트,False,0.6,ko,2008-10-22,96,7.3,2
52,The Story of Time,0,0,,,,False,0.6,en,1951-01-01,10,7.0,2
53,Benjy,0,0,,,,False,0.66,en,1951-01-01,10,7.0,2
54,One Who Came Back,0,0,,,,False,0.6,en,1951-01-01,21,0.0,0
55,The Seeing Eye,0,0,,,,False,0.6,en,1951-12-01,20,0.0,0
56,Bridge of Time,0,0,,,,False,0.6,en,1950-04-01,17,0.0,0
57,Devil Take Us,0,0,Drama,United States of America,Theatre of Life Productions,False,0.616,en,1955-06-16,21,0.0,0
58,"Entführ' mich, Liebling!",0,0,Comedy,,,False,0.6,de,2006-11-28,,5.3,2
59,Thar She Blows!,0,0,,,,False,0.6,en,1952-12-01,20,0.0,0
60,Light in the Window,0,0,,,,False,0.6,en,1952-09-01,10,6.5,2
61,Athletes of the Saddle,0,0,,,,False,0.6,en,1952-01-01,10,0.0,0
62,Royal Scotland,0,0,,,,False,0.6,en,1952-01-01,10,7.0,1
63,Madeline,0,0,,,,False,1.039,en,1952-11-27,8,6.0,3
64,Pink and Blue Blues,0,0,,,,False,0.6,en,1952-08-18,5,5.0,1
65,The Romance of Transportation in Canada,0,0,,,,False,1.415,en,1952-01-01,12,6.3,4
66,The Garden Spider,0,0,,,,False,0.6,en,1952-01-01,10,0.0,0
67,Man Alive!,0,0,,,,False,0.6,en,1952-01-01,12,0.0,0
68,Floating Free,0,0,,,,False,0.6,en,1978-10-01,11,0.0,0
69,Notes on the Popular Arts,0,0,,,,False,0.6,en,1978-10-01,20,0.0,0
70,Spaceborne,0,0,,,,False,0.6,en,1977-10-01,14,0.0,0
71,Gravity Is My Enemy,0,0,,,,False,0.6,en,1977-10-01,26,7.0,1
72,"Agueda Martinez: Our People, Our Country",0,0,,,,False,0.621,en,1977-01-01,16,0.0,0
73,First Edition,0,0,,,,False,0.6,en,1977-01-01,30,0.0,0
74,Deep Red,0,0,,,,False,0.6,en,2013-01-28,7,0.0,0
75,Family,0,0,Thriller,,,False,0.722,en,2006-01-11,95,2.5,2
76,"Of Time, Tombs and Treasures",0,0,,,,False,0.654,en,1977-01-01,29,0.0,0
77,The Shetland Experience,0,0,Documentary,United Kingdom,Jane Balfour Films,False,0.706,en,1977-01-01,27,0.0,0
78,Teenage Father,0,0,,,,False,0.6,en,1978-01-01,25,7.0,1
79,A Different Approach,0,0,,,,False,0.665,en,1978-01-01,21,0.0,0
80,The Window,0,0,Animation,South Korea,Studio Dadashow,False,0.6,ko,2012-11-01,28,5.0,1
81,Mandy's Grandmother,0,0,,,,False,0.6,en,1978-01-01,30,0.0,0
82,Strange Fruit,0,0,,,,False,0.6,en,1979-10-01,33,0.0,0
83,The Flight of the Gossamer Condor,0,0,,,,False,0.6,en,1978-10-01,27,6.0,4
84,The Divided Trail: A Native American Odyssey,0,0,,,,False,0.6,en,1977-10-01,33,0.0,0
85,An Encounter with Faces,0,0,,,,False,0.6,hi,1978-01-01,21,0.0,0
86,Goodnight Miss Ann,0,0,,,,False,0.6,en,1978-10-01,28,0.0,0
87,Squires of San Quentin,0,0,,,,False,0.6,en,1978-01-01,30,0.0,0
88,The Treasure of Painted Forest,3,0,"Adventure, Family",,,False,0.632,en,2006-06-23,92,1.0,1
89,Kalimannu,0,0,Drama,India,Cherummuttadathu Films,False,0.738,ml,2013-08-22,119,5.0,3
90,Speed Boys,0,0,Comedy,United States of America,Century Films,False,0.6,en,1924-11-12,16,0.0,0
91,Huckleberry Finn,0,0,"Drama, Comedy",,,False,0.6,en,1920-02-29,70,0.0,0
92,A Different Story,0,0,"Romance, Drama",United States of America,"Petersen Company, The",False,0.6,en,1978-05-10,108,5.0,1
93,Freckles,0,0,Drama,,,False,1.211,en,1960-10-19,83,0.0,0
94,Land Beyond the Law,0,0,,,,False,1.176,en,1937-03-13,54,7.0,1
95,Marihuana radioactiva interplanetaria,0,0,"Science Fiction, Comedy",,,False,1.381,es,2010-02-17,78,0.0,0
96,Forest of the Dancing Spirits,0,0,Documentary,,,False,0.6,en,2013-11-29,104,7.0,1
97,A Guerra dos Vizinhos,0,0,Comedy,Brazil,,False,0.6,pt,2010-01-01,,0.0,0
98,Bas Konduktor,0,0,Comedy,,,False,1.34,ms,1986-01-01,,0.0,0
99,Jorge Amado - O Menino Grapiúna,0,0,,Brazil,,False,0.6,pt,2011-12-27,,0.0,0
100,Top Gun,0,0,Western,United States of America,"United Artists, Edward Small Productions",False,1.861,pt,1955-12-01,73,6.0,3
101,Brichos: A Floresta é Nossa,0,0,"Animation, Comedy",Brazil,Tecnokena,False,0.631,pt,2012-12-25,,7.0,1
102,Ziraldo - O Eterno Menino Maluquinho,0,0,Documentary,Brazil,,False,0.842,pt,2007-01-01,,0.0,0
103,Pandora's Box,0,0,Drama,Japan,Cinegriot,False,0.6,ja,2009-10-10,94,7.5,1
104,Margaret Mee and the Moonflower,0,0,Documentary,Brazil,,False,0.6,pt,2013-04-26,,0.0,0
105,"Didi, o Cupido Trapalhão",0,0,"Romance, Comedy, Family",Brazil,"Xuxa Produções, Columbia Pictures do Brasil, Diler & Associados, Globo Filmes, Labo Cine do Brasil Ltda., Quanta Centro de Produções Cinematográficas, Renato Aragão Produções Cinematográficas, Teleimage",False,2.25,pt,2003-04-27,86,5.0,21
106,A Family Is a Family Is a Family: A Rosie O'Donnell Celebration,0,0,Documentary,United States of America,,False,0.6,en,2010-01-31,41,4.5,2
107,Valsa para Bruno Stein,0,0,,Brazil,,False,0.6,pt,2007-08-12,,6.5,1
108,"Nick Vujicic: No Arms, No Legs, No Worries!",0,0,Documentary,,,False,1.882,en,2010-05-30,122,0.0,0
109,Capital Games,0,0,Romance,United States of America,"G.A. Hauser Collection, Ad Hoc Productions",False,2.034,en,2013-07-12,97,6.0,7
110,Pink Punch,0,0,Drama,,"Dejarme Disfrutar Films, Instituto Mexicano de Cinematografía, Plural Entertainment, Televicine S.A. de C.V., Televisa Cine, Videocine",False,0.948,es,2004-03-22,,2.2,3
111,My Town,0,0,,,,False,0.92,en,1986-05-25,60,0.0,0
112,Nerone,0,0,Comedy,Italy,Capital Films,False,1.732,it,1977-01-02,,5.1,4
113,Step Up All In,45000000,86165646,"Romance, Drama, Music",United States of America,"Summit Entertainment, Offspring Entertainment",False,11.466,en,2014-07-16,112,6.8,1246
114,"Men, Women & Children",0,461162,"Drama, Comedy",United States of America,"Right of Way Films, Paramount",False,7.122,en,2014-10-17,116,6.5,523
115,From The Furnace,40,0,"Mystery, Thriller",Norway,,False,0.6,en,2013-12-18,5,4.0,2
116,Poltergeist,35000000,95437994,"Horror, Thriller",United States of America,"TSG Entertainment, Ghost House Pictures, Vertigo Entertainment, Metro-Goldwyn-Mayer",False,14.973,en,2015-05-20,93,5.1,1468
117,The Marathon,0,0,Comedy,United States of America,Rolin Films,False,0.776,en,1919-05-25,10,5.3,3
118,Phenomenal and the Treasure of Tutankamen,0,0,Science Fiction,Italy,Industrie Cinematografiche Artistiche Romane (I.C.A.R.),False,0.641,it,1968-03-04,95,6.0,1
119,Midnight Rider: The Gregg Allman Story,0,0,"Drama, Music",United States of America,"Film Allman LLC, Unclaimed Freight Productions",False,0.6,en,,,10.0,1
120,A House Is Not a Home,0,0,"Horror, Thriller",,,False,0.6,en,2015-09-07,,2.0,1
121,По дороге с облаками,0,0,Animation,Soviet Union,"TO ""Ekran""",False,0.6,ru,1984-12-17,,0.0,0
122,Il magnate,0,0,Comedy,Italy,"Italian International Film, Medusa Produzione, Princeps Produzioni Cinematografiche e Televisive",False,0.63,it,1973-03-02,101,6.5,1
123,Chatterbox,0,0,Animation,Soviet Union,Soyuzmultfilm,False,0.6,ru,1980-12-30,,0.0,0
124,Rough Cut,0,0,"Horror, Documentary",United Kingdom,Cornerhouse Artist Film,False,1.172,en,2013-12-06,90,0.0,0
125,Endrendrum Punnagai,0,0,"Comedy, Romance",India,,False,1.465,ta,2013-12-20,155,6.6,7
126,JK Enum Nanbanin Vaazhkai,0,0,,India,,False,0.664,ta,2016-06-24,,0.0,2
127,A Life Without Pain,0,0,Documentary,"United States of America, Norway, Germany",,False,0.842,en,2005-03-12,73,0.0,0
128,Night of the Hunter,0,0,,,,False,1.036,en,1991-05-04,100,6.2,6
129,Ossessione fatale,0,0,,,,False,0.644,it,1991-12-16,,0.0,0
130,Mr. Quilp,0,0,Music,United Kingdom,Reader's Digest Films Ltd.,False,1.426,en,1975-11-07,118,0.0,0
131,Clutch: Live at the 9:30,0,0,Music,,,False,1.131,en,2010-05-11,90,0.0,0
132,How've You Bean?,0,0,,,,False,0.6,en,1933-06-24,,0.0,0
133,Crisis in Morality,0,0,,,,False,0.6,en,1962-01-01,26,0.0,0
134,The Pendulum,360,0,"Mystery, Thriller, Horror",,,False,0.6,en,2014-02-28,19,0.0,0
135,Sins of the Father,0,0,,,,False,0.673,en,2002-01-05,90,7.0,1
136,Stone Cold Killers,0,0,Drama,,,False,0.6,en,2004-02-09,99,0.0,0
137,The Swing Girls,8000000,0,Drama,Italy,Casanova Multimedia,False,0.6,it,2010-09-26,210,6.5,2
138,Jaloux comme un tigre,0,0,Comedy,,,False,0.6,fr,1964-06-16,,0.0,0
139,Mein süßes Geheimnis,0,0,"Comedy, TV Movie","Austria, Germany",,False,0.6,de,2006-02-18,,4.0,1
140,August Burns Red: Foreign & Familiar,0,0,Documentary,,,False,0.6,en,2013-12-03,120,4.3,2
141,Beste Bescherung,0,0,"Comedy, TV Movie",Germany,,False,1.46,de,2013-12-15,,0.0,0
142,Nuhr 2013 - Der Jahresrückblick,0,0,Comedy,Germany,ARD,False,0.6,de,2013-12-15,,0.0,0
143,Y2K,0,0,Science Fiction,,,False,1.079,de,1999-12-22,,4.3,2
144,Absturz in die Todeszone,0,0,,Germany,"Pro7, Two Oceans Production",False,0.6,de,2001-12-27,,0.5,1
145,Airboss III,0,0,"Adventure, Action",Canada,"Sultan Films, Jet Combat L.P.",False,1.167,en,2000-01-20,92,8.0,1
146,Stepanych Thai Voyage,0,0,Comedy,Russia,WSB,False,0.6,ru,2005-12-01,92,1.0,1
147,No Stranger Than Love,0,0,"Romance, Comedy",Canada,"Wernham Entertainment, Pangaea Pictures",False,2.577,en,2015-04-30,89,4.2,32
148,Capt. Grant's Family,0,0,Adventure,"Russia, Soviet Union",Mosfilm,False,2.162,ru,1936-06-06,83,6.4,5
149,После жизни,0,0,Drama,,,False,0.6,ru,2008-01-17,,0.0,0
150,Shibuya,0,0,Drama,,,False,0.6,ja,2010-01-09,78,0.0,0
151,"Welcome Home, Hayabusa",0,0,Drama,Japan,"Shochiku Co., Ltd.",False,0.6,ja,2012-03-10,114,0.0,0
152,Tooku no Sora,0,0,Drama,,,False,0.6,ja,2010-09-25,84,0.0,0
153,Agent Beetle,0,0,Action,,,False,0.667,en,2013-01-01,,5.5,2
154,As You See,0,0,Documentary,Germany,,False,0.6,en,1986-01-01,72,7.0,3
155,Night People,0,0,"Crime, Drama",Japan,Production HANASHIRO,False,0.6,ja,2013-01-26,90,0.0,0
156,South Bound,0,0,"Comedy, Drama",South Korea,"Gummy, FilmTrain",False,1.192,ko,2013-02-07,121,7.5,2
157,Yami Douga 4,0,0,,,,False,0.807,en,2012-01-01,82,0.0,0
158,Yami Douga 5,0,0,,,,False,0.6,en,2013-01-01,76,0.0,0
159,Yami Douga 6,0,0,Horror,Japan,,False,0.6,en,2013-01-01,66,0.0,0
160,Yami Douga 7,0,0,,,,False,0.6,ja,2013-01-01,68,0.0,0
161,Dancing Cat,0,0,,,,False,0.6,ko,2011-11-17,76,0.0,0
162,Dead Prison: Woman Hunting,0,0,,,,False,0.728,ja,2011-01-01,75,0.0,0
163,Concrete-Encased High School Girl Murder Case,0,0,"Crime, Horror, Thriller",,,False,4.344,en,1995-01-01,68,6.5,2
164,The Two Little Bears,0,0,"Fantasy, Comedy",United States of America,20th Century Fox,False,0.6,en,1961-11-01,81,6.0,1
165,Jitsuroku! Noroi no Douga,0,0,,,,False,0.6,en,2011-01-01,63,0.0,0
166,Jitsuroku! Norowareta Toshi Densetsu Onnen Shouwa no Toshi Densetsu Shuu,0,0,,,,False,0.6,en,2007-01-01,,0.0,0
167,Kowai Douga Noroi no Toshi Densetsu & Shinrei Toukou Zenshuu,0,0,,,,False,0.6,en,2011-01-01,73,0.0,0
168,The Assassination of President Kennedy,0,0,Documentary,,,False,0.613,en,2013-11-15,120,7.5,4
169,Kyou <Magamagashi> Shi Yuushuu,0,0,,,,False,0.6,en,2012-01-01,56,0.0,0
170,Romeo & Julio,500,0,"Comedy, Music",Croatia,Kino Klub Split,False,1.166,hr,2009-10-19,75,4.0,1
171,Kyou <Magamagashi> Ni Hyou Rei,0,0,,,,False,0.6,en,2012-01-01,51,0.0,0
172,Kyou <Magamagashi> San Renkan,0,0,,,,False,0.6,en,2012-01-01,53,0.0,0
173,Gold Dust Gertie,0,0,Comedy,United States of America,"The Vitaphone Corporation, Warner Bros. Pictures",False,0.627,en,1931-06-27,65,0.0,0
174,Home Minister,0,0,Drama,India,,False,0.6,en,2012-12-14,82,0.0,0
175,Alone Yet Not Alone,7000000,0,"History, Action, Drama",United States of America,Enthuse Entertainment,False,1.927,en,2013-09-01,103,5.7,7
176,Cleaver's Destiny,0,0,,United States of America,,False,0.6,en,2013-09-27,92,0.0,0
177,Kamasutra 3D,35000000,0,"Drama, Romance, Documentary","United States of America, India",,False,8.813,en,,,0.0,0
178,In the Dark,0,0,"Crime, Drama",United States of America,Forewarned Films,False,1.125,en,2006-04-29,89,4.5,1
179,Sexual Tension: Violetas,0,0,"Drama, Romance, Comedy",Argentina,"TLA Releasing, Swift Productions",False,1.381,es,2013-03-13,90,7.6,11
180,Urge to Build,0,0,,,,False,0.6,en,1981-01-01,27,0.0,0
181,Rudderless,5000000,58293,"Music, Drama, Comedy",United States of America,"Amberdale Productions, Unified Pictures, Tee Rob Pictures, Dog Pond Productions",False,6.993,en,2014-10-17,105,7.3,153
182,A Shocking Accident,0,0,,,,False,1.4,en,1982-10-01,25,7.0,1
183,Ballet Robotique,0,0,,,,False,0.6,en,1982-10-01,8,0.0,0
184,The Silence,0,0,,,,False,0.6,en,1982-01-01,30,0.0,0
185,Split Cherry Tree,0,0,,,,False,0.848,en,1982-01-01,26,0.0,0
186,All's Fair,0,0,Comedy,United States of America,,False,0.6,en,1989-01-01,89,0.0,0
187,Sredni Vashtar,0,0,,,,False,0.6,en,1981-09-01,27,0.0,0
188,Jackals,0,0,"Action, Crime",United States of America,Hunter/MFG Production,False,0.742,en,1986-01-01,97,7.0,1
189,If You Love This Planet,0,0,,Canada,,False,0.667,en,1982-10-01,26,7.0,2
190,A Gift from Heaven,0,0,,,,False,0.826,en,1995-01-01,,0.0,0
