,title,budget,revenue,genres,production_countries,production_companies,adult,popularity,original_language,release_date,runtime,vote_average,vote_count
0,Playing Burton,0,0,,,,False,1.096,en,2013-05-10,,0.0,0
1,The Misfit,0,0,,,,False,0.84,en,1924-03-22,,0.0,0
2,What You Will,0,0,,,,False,0.6,en,,92,0.0,0
3,Cheer Up,0,0,,,,False,0.6,en,1924-09-27,,0.0,0
4,Death Haunts Monica,0,0,"Crime, Mystery, Thriller, Horror",Spain,Arturo González P.C.,False,0.65,es,1976-01-02,80,5.5,2
5,The Hollywood Kid,0,0,Comedy,United States of America,Mack Sennett Comedies,False,0.6,en,1924-04-19,20,0.0,0
6,WCW The Great American Bash 1996,0,0,Action,United States of America,World Championship Wrestling (WCW),False,0.841,en,1996-06-16,180,0.0,0
7,Empire Me: New Worlds Are Happening!,0,0,Documentary,,,False,0.685,en,2011-10-28,100,6.0,3
8,My Mummy is in America and She Met Buffalo Bill,0,0,Animation,"France, Luxembourg","Melusine Productions, Label Anim, StudioCanal",False,1.104,fr,2013-06-11,75,7.5,6
9,"Marcus Miller in Gdansk, on the Festival of Solidarity of Arts",0,0,Music,,,False,0.655,it,2011-08-12,,3.8,2
10,En pige uden lige,0,0,Comedy,Denmark,ASA Film Production,False,0.6,da,1943-08-01,,8.0,2
11,Blinde liefde,0,0,,,,False,0.6,nl,2013-10-12,,0.0,0
12,Sx_Tape,600000,0,Horror,United States of America,"Aeroplano, La.Lune Entertainment",False,2.98,en,2013-10-10,85,3.6,47
13,Messalina,0,0,,,,False,0.696,en,1924-01-12,,4.0,2
14,Dance Macabre,0,0,Horror,Netherlands,,False,1.34,en,1986-01-01,22,0.0,0
15,Hide and Go Kill,0,0,Horror,Japan,,False,1.4,en,2008-07-18,75,1.0,1
16,Pascal Sellem  Ses caméras cachées les + bonnes,0,0,Comedy,France,Universal Pictures,False,0.6,fr,2005-02-01,,7.5,1
17,Pascal Sellem fait vraiment n'importe quoi,0,0,Comedy,France,Universal Pictures,False,0.6,fr,2006-03-21,,1.0,1
18,KWAK or Kassandra with a K,0,0,,,,False,0.846,en,2013-05-03,92,0.0,0
19,The Ass Party 6,0,0,,,,True,0.6,en,2013-10-08,295,0.0,0
20,The Karate Kid XXX: a Dreamzone Parody,0,0,,,,True,0.6,en,2013-01-02,82,10.0,1
