,title,budget,revenue,genres,production_countries,production_companies,adult,popularity,original_language,release_date,runtime,vote_average,vote_count
0,The Sage Hunter,0,0,,,,False,0.6,en,,,0.0,0
1,Phoney Express,0,0,Animation,,Walter Lantz Productions,False,0.915,en,1962-05-14,7,0.0,0
2,Perry Popgun,0,0,,,,False,0.841,en,1962-01-08,,0.0,0
3,Shishkabugs,0,0,,,,False,0.711,en,1962-12-08,7,6.3,4
4,Tragic Magic,0,0,Animation,,Walter Lantz Productions,False,0.946,en,1962-07-02,6,5.5,2
5,The Slick Chick,0,0,Animation,United States of America,Warner Bros. Pictures,False,0.6,en,1962-07-20,7,6.0,2
6,Fish and Chips,0,0,Animation,,Walter Lantz Productions,False,0.901,en,1962-01-08,6,5.0,2
7,The Hole,0,0,Animation,United States of America,"Brandon Films, Storyboard Studios",False,1.492,en,1962-11-08,15,5.8,8
8,Good Noose,0,0,Animation,United States of America,Warner Bros. Pictures,False,0.901,en,1962-11-10,6,6.0,2
9,Rock-a-Bye Gator,0,0,Animation,,Walter Lantz Productions,False,0.651,en,1962-01-08,6,6.5,2
10,The Jet Cage,0,0,,,,False,1.521,en,1962-09-21,6,6.5,2
11,Zoom at the Top,0,0,,,,False,1.099,en,1962-06-29,6,6.8,5
12,Nureta sai no me,0,0,,Japan,Wakamatsu Production,False,0.6,ja,1974-09-01,,0.0,0
13,Fish and Slips,0,0,,,,False,1.4,en,1962-03-10,6,6.5,2
14,The Wall,0,0,Documentary,United States of America,"U.S. Information Agency, Hearst Metrotone News",False,0.662,en,1962-11-08,9,6.0,1
15,The True World of Lesbian,0,0,,Japan,Nikkatsu Corporation,False,0.621,ja,1974-08-28,74,0.0,0
16,Junction,0,0,Thriller,United States of America,"Pâté Productions, Movie Ranch Entertainment, Choice Films",False,1.459,en,2012-07-14,91,5.7,3
17,Modern Prostitution: Lust Under a Uniform,0,0,Drama,Japan,Nikkatsu Corporation,False,0.84,ja,1974-08-28,68,0.0,0
18,Occult Sex,0,0,,Japan,Watanabe Production,False,1.96,ja,1974-08-03,67,7.3,3
19,Chocolate,0,0,Comedy,India,Anantha Visions,False,2.37,ml,2007-07-23,122,6.6,9
20,The Long Island Railroad Massacre: 20 Years Later,0,0,Documentary,United States of America,,False,0.847,en,2013-12-07,90,0.0,0
21,Speciesism: The Movie,0,0,Documentary,United States of America,,False,0.993,en,2013-09-18,90,6.3,3
22,LolliPop,0,0,"Comedy, Romance",India,A B S Combines,False,2.261,ml,2008-12-21,136,4.3,6
23,Carousel Maki: Yoru wa watashi o nurasu,0,0,,Japan,Nikkatsu Corporation,False,0.85,ja,1974-08-03,72,0.0,0
24,The Elephant Keeper,0,0,Drama,Thailand,,False,0.6,th,1987-01-01,136,5.0,1
25,Nihon fûzokushi: Zoku: Kantsû,0,0,,Japan,,False,0.6,en,1974-07-01,67,0.0,0
26,Affairs in a Housing Complex,0,0,,Japan,Nikkatsu Corporation,False,0.6,ja,1974-07-20,71,0.0,0
27,Maya,0,0,Drama,,,False,0.6,hi,2001-09-07,105,0.0,0
28,Semi-dokyumento: Kinpatsu-gari,0,0,,Japan,"Prima Kikaku Co., Ltd.",False,0.654,en,1973-06-01,64,0.0,0
29,The End of One Night Wives,0,0,,Japan,Nikkatsu Corporation,False,0.6,ja,1974-06-22,64,0.0,0
30,"UHNT-002 - Adesão a uma viagem de 24 horas, esposa imoral na casa de banho",0,0,,,,True,0.6,pt,2013-03-25,,0.0,0
31,Amateur Crook,0,0,"Comedy, Thriller",United States of America,Victory Company,False,0.874,en,1937-12-10,59,1.0,1
32,Man & Woman Sexology: Private Lessons,0,0,,Japan,Nikkatsu Corporation,False,1.34,en,1974-06-08,,0.0,0
33,PT-58,0,0,,,,True,0.6,pt,2010-10-20,,0.0,0
34,Taku no chonchon,0,0,,Japan,Nikkatsu Corporation,False,0.6,ja,1974-06-08,69,0.0,0
35,Campus porno: Pierrot no chibusa,0,0,,Japan,Nikkatsu Corporation,False,0.6,en,1974-08-08,,0.0,0
36,Oh Wonderful Utamaro!,0,0,,Japan,"Toei Company, Ltd.",False,0.84,ja,1974-06-01,87,0.0,0
37,Nick & Noel,0,0,,,Film Roman Productions,False,1.289,en,1993-11-25,30,6.0,4
38,STARG 003 - Mulher sendo massageada enquanto o outro assiste tudinho,0,0,,,,True,0.6,pt,,,0.0,0
39,As You Were,0,0,Comedy,United States of America,"R & L Productions, Lippert Pictures",False,1.125,en,1951-10-05,57,0.0,0
40,Dokyumento poruno: Zoku toruko tekkuniku daizenshû,0,0,,Japan,Nikkatsu Corporation,False,0.6,en,1974-04-01,67,0.0,0
41,SDMT 987,0,0,,Japan,SOD Create,True,0.6,pt,2013-08-22,,0.0,0
42,Kuruizaki,0,0,,Japan,Wakamatsu Production,False,0.664,en,1974-03-01,74,0.0,0
43,Office Lady Journal: Ruined Lust,0,0,,Japan,Nikkatsu Corporation,False,1.346,ja,1974-03-13,63,0.0,0
44,Offshore Incorporated,0,0,Documentary,United Kingdom,,False,0.661,en,2015-06-27,,6.5,2
45,I-Be Area,0,0,,,,False,1.167,en,2007-09-08,108,0.0,0
46,Henry's Romance,0,0,Drama,"Switzerland, France, Germany","Condor Films, Groupe Expand Images, Osby Films",False,1.324,en,1993-12-20,110,8.0,1
47,Urmel aus dem Eis,0,0,Family,Germany,"Augsburger Puppenkiste, Hessischer Rundfunk",False,2.008,de,1969-11-10,,7.0,7
48,Like the Wind,110,0,Drama,Italy,,False,0.903,it,2013-11-10,,7.0,6
49,Se chiudo gli occhi non sono più qui,0,0,,,,False,1.4,en,2013-11-11,110,6.3,4
50,The Rolling Stones: Sweet Summer Sun - Hyde Park Live,0,0,Music,,,False,0.847,en,2013-11-07,118,6.8,6
51,Anders,0,0,Comedy,Denmark,"DuckPower, ArtPeople",False,1.707,da,2013-11-11,127,6.9,8
52,Bastille: iTunes Festival 2013,0,0,Music,United Kingdom,,False,0.687,en,2013-09-08,57,6.2,3
53,Uncle Vanya,0,0,Drama,United States of America,,False,0.6,en,1957-12-13,98,0.0,0
54,The Great Jesse James Raid,0,0,Western,United States of America,Jezebel Productions (II),False,1.002,en,1953-07-17,73,4.5,2
55,Serie noire,0,0,,,,False,0.852,fr,1955-03-07,,0.0,0
56,Son of God,22000000,67800064,Drama,United States of America,"Hearst Entertainment Productions, LightWorkers Media",False,6.374,en,2014-02-28,138,6.4,124
57,Idol on Parade,0,0,Comedy,United Kingdom,Warwick Film Productions,False,1.904,en,1959-03-24,88,6.7,3
58,Eleven Eleven,0,0,,,,False,0.957,en,2011-09-21,13,0.0,0
59,One Last Joke,0,0,,Greece,,False,0.6,en,2013-11-06,83,6.0,1
60,The Indestructible Jimmy Brown,0,0,Comedy,,,False,0.666,en,2011-09-27,19,6.0,1
61,Addicted,0,0,"Drama, Thriller",United States of America,"Lionsgate, Codeblack Films",False,7.22,en,2014-10-10,105,5.3,104
62,India Blues: Eight Feelings,0,0,,Germany,Cornelsen Films,False,1.418,en,2013-09-23,73,4.0,2
63,Succor,0,0,,,,False,1.095,en,2012-03-14,12,0.0,0
64,Port Au Prince,0,0,Documentary,,,False,1.347,en,2013-10-02,6,0.0,0
65,Nyôbô no Wananaki,0,0,,Japan,,False,1.34,en,1975-12-01,,0.0,0
66,Arrowhead,0,0,,,,False,1.133,en,2013-04-18,5,0.0,0
