,title,budget,revenue,genres,production_countries,production_companies,adult,popularity,original_language,release_date,runtime,vote_average,vote_count
0,Los Caraduros,0,0,Comedy,Spain,"X Y Z DESARROLLOS, S.A.",False,1.123,es,1983-10-20,85,6.0,1
1,Queens of Country,0,0,,,,False,1.1,en,2012-03-31,,0.0,0
2,Sewer,0,0,Drama,Philippines,"Salida Productions, Cinema One Originals",False,0.84,tl,2008-10-20,212,7.3,3
3,Sons of Ingmar,0,0,Drama,Sweden,Svenska Biografteatern AB,False,0.6,sv,1919-01-01,207,0.0,0
4,James Benning: Circling the Image,0,0,,Germany,,False,1.128,en,2003-11-30,84,0.0,0
5,A Promise to the Dead: The Exile Journey of Ariel Dorfman,0,0,Documentary,Canada,White Pine Pictures,False,0.874,en,2007-09-08,91,0.0,0
6,The Brick and the Mirror,0,0,Drama,Iran,Studio Golestan,False,0.6,fa,1965-11-30,131,8.5,4
7,Landscape After Battle,0,0,"Romance, Drama, History",Poland,"Polish Corporation for Film Production, Film Polski",False,1.854,pl,1970-09-08,109,5.2,5
8,Lost Song,0,0,Drama,Canada,,False,0.719,en,2008-09-06,102,6.0,2
9,At River's Edge,0,0,"Drama, History",Japan,,False,0.6,ja,2011-08-02,104,7.0,1
10,"Lemmings, Part 1 – Arcades",0,0,,"Germany, Austria","Österreichischer Rundfunk, Schönbrunn-Film, Sender Freies Berlin",False,0.879,de,1979-05-02,113,5.0,1
11,"Lemmings, Part 2 – Injuries",0,0,,"Germany, Austria","Österreichischer Rundfunk, Schönbrunn-Film, Sender Freies Berlin",False,1.123,de,1979-05-03,107,5.0,1
12,Les Hautes Solitudes,0,0,Documentary,France,,False,1.598,fr,1974-12-15,83,7.4,10
13,Mourning for Anna,0,0,Drama,Canada,"Coop Vidéo de Montréal, ACPAV",False,0.605,en,2010-08-13,,7.0,1
14,Dead Inside,0,0,Horror,United States of America,"DMN Films, Compound B, Teo Ward Productions",False,2.159,en,2011-11-10,79,3.8,8
15,Berta's Motives,0,0,Drama,Spain,P.C. Guerín,False,1.231,es,1984-09-01,115,6.7,3
16,Melody for a Street Organ,0,0,Drama,Ukraine,Sota Cinema Group,False,0.718,ru,2009-06-21,153,5.4,5
17,A Place in the World,0,0,Drama,Russia,,False,1.632,ru,2001-06-12,126,4.5,8
18,"Harvest: 3,000 Years",0,0,Drama,Ethiopia,Haile Gerima,False,0.7,am,1976-04-06,150,7.3,3
19,Mix-Up,0,0,Documentary,France,France 2 (FR2),False,1.176,fr,1986-09-12,62,7.5,4
20,A Lover in Pawn,0,0,Drama,Sweden,Svensk Filmindustri,False,0.988,sv,1920-10-11,116,6.7,3
21,Invitation to a Suicide,0,0,,,,False,0.6,en,2004-11-09,85,0.0,0
22,Playboy: Cyber Girls,0,0,,,,False,0.6,en,2002-01-01,56,0.0,0
23,Soy Charro de Levita,0,0,,,,False,0.6,en,1949-06-16,110,7.5,2
24,Mudflow,0,0,,,,False,0.6,en,2003-01-01,,0.0,0
25,Supernatural,0,0,,,,False,1.264,en,1996-10-19,100,5.0,7
26,A Necklace for My Beloved,0,0,"Romance, Drama","Georgia, Soviet Union",Georgian-Film,False,0.6,ka,1971-09-09,75,4.5,2
27,A Nest of Gentry,0,0,Romance,"Russia, Soviet Union",Mosfilm,False,2.169,ru,1969-01-01,111,5.7,3
28,Let Fury Have the Hour,0,0,,,,False,0.6,en,2012-12-14,100,0.0,0
29,Taste of Vengeance,0,0,Western,"Spain, Italy","Copercines, Cooperativa Cinematográfica, Metheus Film",False,0.893,it,1968-04-02,119,0.0,0
30,Las Aventuras de Pito Pérez,0,0,,,,False,1.491,es,1957-02-23,94,5.0,1
31,Ms. Scrooge,0,0,"Drama, Fantasy, TV Movie",United States of America,"Power Pictures, Wilshire Court Productions, USA Network",False,1.274,en,1997-12-10,87,4.0,4
32,Tormento,0,0,Drama,Italy,"Titanus, Labor Film",False,1.351,it,1950-02-11,87,7.0,4
33,Kvaska,0,0,"Comedy, Music",Czech Republic,,False,0.715,cs,2007-02-22,106,6.5,2
34,The Pink Phink,0,0,"Animation, Comedy, Family",United States of America,DePatie-Freleng Enterprises (DFE),False,1.734,en,1964-12-18,7,6.9,19
35,The Third Wish,0,0,,,,False,0.625,zh,2012-03-23,94,6.0,1
36,Po hlavě do prdele,0,0,Comedy,Czech Republic,"Marcel Bystroň - Film, Motion Pictures Agency, Jan Juřica - Jukon, Studio Virtual, i/o post, Cyberdyne Technologies",False,0.965,cs,2006-11-23,,5.5,2
37,Once Upon a Time,0,0,"Animation, Family, Fantasy","Germany, Italy","Rolf Kauka Film, Gamma Film",False,0.798,de,1973-12-12,78,4.4,4
38,Matusalem II: le dernier des Beauchesne,0,0,"Adventure, Family, Fantasy",Canada,,False,1.521,fr,1997-12-05,98,4.0,2
39,The Hook of Woodland Heights,0,0,,,,False,0.664,en,1990-01-01,40,0.0,0
40,Hookers in a Haunted House,0,0,"Horror, Comedy",,,False,0.841,en,1999-01-01,86,0.0,0
41,UFO Files: Hangar 18: The UFO Warehouse,0,0,,,A+E Studios,False,0.6,en,2008-07-17,50,0.0,0
42,François Damiens - Tour de France,0,0,Comedy,Belgium,RTL-TVi,False,1.269,fr,2007-01-30,,6.5,3
43,"What Have We Learned, Charlie Brown?",0,0,Animation,United States of America,,False,1.981,en,1983-05-30,23,5.7,6
44,The Princess and the Pea,0,0,"Romance, Family, Fantasy",Russia,Gorky Film Studios,False,1.069,ru,1976-11-01,89,7.0,4
45,"Robinsonade, or My English Grandfather",0,0,Comedy,"Georgia, Soviet Union",Georgian-Film,False,0.943,ka,1987-09-27,76,6.0,3
46,Stardust Stricken - Mohsen Makhmalbaf: A Portrait,0,0,Documentary,,,False,0.84,en,1996-10-19,70,0.0,0
47,Ruslan and Ludmila,0,0,"Adventure, Family, Fantasy","Russia, Soviet Union",Mosfilm,False,1.367,ru,1972-10-12,150,6.5,4
48,The Fairy of Solbakken,0,0,Drama,"Norway, Sweden",,False,0.6,sv,1919-10-20,111,0.0,0
49,Sea Cadet of Northern Fleet,0,0,"War, Drama",Soviet Union,Киностудия им. М.Горького,False,0.6,en,1974-01-01,,6.5,2
50,whisper & SHOUT,0,0,"Documentary, Music",East Germany,DEFA,False,0.694,de,1989-02-15,120,7.7,3
51,Buddha Bless America,0,0,,Taiwan,,False,0.6,zh,1996-07-20,118,5.0,1
52,Savage Hunt of King Stakh,0,0,"Thriller, Drama, Horror, Mystery","Belarus, Soviet Union","Belarusfilm, Satra, Sovexportfilm",False,0.851,ru,1979-12-02,105,7.0,3
53,The Hijacking of 'Savoy',0,0,"Adventure, Family","Bulgaria, Poland, Russia, Soviet Union","Boyana Film, Gorky Film Studios",False,1.287,ru,1979-01-01,92,4.3,4
54,Jonathan Lambert n'est pas couché,0,0,Comedy,,,False,0.701,fr,2008-12-09,,8.0,1
55,Chris,0,0,,Switzerland,,False,0.6,de,2007-06-11,87,0.0,0
56,Der Frankfurter Auschwitz-Prozess,0,0,,Germany,,False,0.6,de,,,0.0,0
57,Enid Is Sleeping,0,0,"Comedy, Crime",United States of America,"Vestron Pictures, Davis Entertainment",False,1.27,en,1991-05-17,105,3.5,2
58,Gloriously Wasted,0,0,,,,False,2.118,fi,2012-12-28,85,5.2,5
59,Baby on Board,0,0,,,,False,1.525,en,1992-12-28,90,3.3,3
60,The Point of Least Resistance,0,0,Drama,Switzerland,T&C Film AG,False,0.84,de,1981-01-01,30,0.0,0
61,Pactar amb el gat,0,0,,Spain,,False,0.754,ca,2007-09-07,,4.0,1
62,"Concepción Arenal, la visitadora de cárceles",0,0,,,,False,2.116,en,2012-01-01,80,8.8,5
63,Usted puede ser un asesino,0,0,"Comedy, Crime, Mystery",Spain,As Films Producción,False,0.6,es,1961-05-20,96,7.0,1
64,Where the Truth Lies,0,0,Thriller,United States of America,,False,0.967,es,1999-09-13,91,10.0,1
65,Manila Skies,0,0,Drama,"Philippines, United States of America","Ignite Media, PelikulaRed",False,0.631,en,2009-10-19,,0.0,0
66,Hush,0,0,Thriller,,,False,0.6,fi,2012-07-13,,6.5,1
67,Ninja Silent Assassin,0,0,,Hong Kong,IFD Films & Arts Company,False,0.6,en,1987-08-02,90,5.3,3
68,The Wind Rises,30000000,117932401,Animation,Japan,"Touchstone Pictures, Toho Company, Ltd., Studio Ghibli, Hakuhodo DY Media Partners, KDDI Corporation, Nippon Television Network (NTV), Mitsubishi Motors Corporation",False,12.935,ja,2013-07-20,126,7.8,1318
69,The Tale of the Princess Kaguya,49300000,24186232,"Animation, Drama, Fantasy",Japan,"Studio Ghibli, Hakuhodo DY Media Partners, KDDI Corporation, Mitsubishi Shoji, Gkids",False,7.63,ja,2013-11-23,137,8.1,682
70,Addicted to Acting,0,0,,Germany,,False,0.6,de,2004-07-03,,7.0,3
71,Jim,0,0,Science Fiction,United States of America,,False,0.6,en,2010-10-08,101,0.0,0
72,New Hope,0,0,Drama,United States of America,R-Squared Productions,False,0.715,en,2012-02-10,124,5.0,4
73,Gloria Estefan: The Evolution Tour Live In Miami,0,0,Music,,,False,1.091,en,1996-07-14,116,0.0,0
74,Yoga Is: A Transformational Journey,0,0,,United States of America,,False,0.6,en,2012-10-25,64,0.0,0
75,Eugene Mirman: An Evening of Comedy in a Fake Underground Laboratory,0,0,Comedy,United States of America,,False,1.132,en,2012-12-21,60,7.0,1
76,Sade: Live in Munich,0,0,,,,False,0.6,en,,48,0.0,0
77,The Scam,0,0,,,,False,0.6,ru,2001-01-01,,1.0,1
78,The School Waltz,0,0,"Family, Romance, Drama",Russia,Gorky Film Studios,False,0.71,ru,1977-06-26,96,6.0,4
79,Two Lives,0,0,"Drama, Thriller","Germany, Norway","Helgeland Film, Zinnober Film- und Fernsehproduktion, B&T Film",False,2.111,de,2012-10-19,97,6.4,30
80,The Secret of the Iron Door,0,0,"Adventure, Family, Fantasy","Russia, Soviet Union",Gorky Film Studios,False,1.542,ru,1970-01-01,69,7.1,7
81,The Red Ball Express,0,0,"War, Drama",,Universal International Pictures,False,2.134,en,1952-05-24,83,6.0,1
82,Superstition,0,0,"Horror, Thriller","Luxembourg, Netherlands, United Kingdom","Movie Masters, Delux Productions, Woodline Productions, Innocap",False,1.785,en,2001-10-13,,4.5,4
83,The Deserter and the Nomads,0,0,Drama,"Czechoslovakia, Italy","Ultra Film, Slovenská filmová tvorba Koliba (SFT)",False,2.665,sk,1968-12-06,103,6.8,4
84,"The Tyrant's Heart, or Boccaccio in Hungary",0,0,Drama,Hungary,Mafilm Audio Kft.,False,0.84,hu,1981-10-26,96,0.0,0
85,Frodo Is Great... Who Is That?!!,0,0,Documentary,New Zealand,Midnight Film Productions Limited,False,1.181,en,2004-07-23,60,6.0,1
86,"Amy Winehouse: T In The Park, V Festival and Bestival",0,0,,,,False,0.6,en,,,0.0,0
87,Talking to Strangers,0,0,Drama,United States of America,,False,0.966,en,1988-09-14,90,7.7,3
88,Bryan Adams: So Far So Good,0,0,,,,False,0.6,en,2002-04-01,,0.0,0
89,Augsburger Puppenkiste - Der Räuber Hotzenplotz,0,0,Family,Germany,Augsburger Puppenkiste,False,0.665,de,1967-08-24,,0.0,0
