,title,budget,revenue,genres,production_countries,production_companies,adult,popularity,original_language,release_date,runtime,vote_average,vote_count
0,Angels Crest,0,0,Drama,"Canada, United Kingdom",Process Film,False,2.276,en,2011-12-30,92,5.8,27
1,My Tomorrow,0,0,Drama,Italy,Film Kairòs,False,0.6,it,2011-11-04,88,3.0,2
2,Turbo Charged Prelude to 2 Fast 2 Furious,0,0,Action,,Original Film,False,0.886,en,2003-06-01,6,6.6,93
3,Desire Under the Elms,0,0,"Drama, Romance",United States of America,"Don Hartman Productions, Paramount",False,1.837,en,1958-03-12,111,6.3,7
4,Gatão de Meia Idade,0,0,Comedy,Brazil,,False,0.6,pt,2006-03-17,,0.0,0
5,Night Mail,0,0,Documentary,United Kingdom,GPO (General Post Office) Film Unit,False,1.331,en,1936-01-13,25,6.5,10
6,That Certain Woman,0,0,"Drama, Romance",United States of America,"First National Pictures, Warner Bros. Pictures",False,2.303,en,1937-09-18,93,6.8,6
7,The Tattered Dress,0,0,Drama,United States of America,Universal International Pictures,False,1.407,en,1957-03-14,93,5.3,5
8,Red-Headed Woman,0,0,"Comedy, Romance",United States of America,Metro-Goldwyn-Mayer,False,2.837,en,1932-06-25,79,6.9,17
9,Takin' It All Off,0,0,Comedy,,,False,0.62,en,1987-10-03,91,5.0,1
10,Ling and Tao,0,0,,,,False,0.6,fr,2004-03-04,,7.3,2
11,Little Chenier,1800000,0,Drama,United States of America,Dore Productions (II),False,0.6,en,2008-02-29,120,10.0,1
12,La loca historia de los tres mosqueteros,0,515221,Comedy,Spain,Bermúdez de Castro P.C.,False,0.6,es,1983-10-31,,6.4,5
13,"Nefertiti, Queen of the Nile",0,0,"Drama, History",Italy,Max Film,False,1.251,it,1961-09-20,97,4.0,2
14,For A Yellow Jersey,0,0,,France,,False,1.341,fr,1965-01-01,26,0.0,0
15,Lady for one day,0,0,Comedy,"Belarus, Russia",Belarusfilm,False,0.6,ru,2002-06-06,150,1.0,1
16,Wizards on Deck with Hannah Montana,0,0,Family,United States of America,Disney Channel,False,4.685,en,2009-07-17,68,6.5,85
17,The Roommate,0,0,"Romance, Comedy",Russia,Profit,False,0.6,en,2008-06-06,91,0.0,0
18,WordWorld: Pirate Sheep,0,0,,,,False,0.6,en,2010-06-08,60,0.0,0
