,title,budget,revenue,genres,production_countries,production_companies,adult,popularity,original_language,release_date,runtime,vote_average,vote_count
0,Casper,0,0,,,,False,0.6,de,1963-12-21,60,0.0,0
1,The Man Who Lived at the Ritz,0,0,"TV Movie, Drama, War",United States of America,,False,0.6,en,1989-06-23,,0.0,0
2,The Hunger,0,0,Drama,Belgium,Ciné Cri De Coeur,False,1.4,en,2013-11-29,16,8.0,1
3,Bad Hunter,0,0,"Comedy, Drama","Belgium, Iraq, United Arab Emirates","A Private View, Dubai Film Market",False,0.6,ku,2013-11-29,14,8.0,1
4,La proie,0,0,"Drama, Crime",,,False,0.6,en,2012-09-11,16,0.0,0
5,Sonnet 81,0,0,Drama,,,False,1.096,en,2013-01-01,22,0.0,0
6,Chansons de Charlotte,0,0,"Music, Comedy, Drama",,,False,0.6,en,2013-11-30,25,0.0,0
7,The Way of All Flesh,0,0,Drama,Belgium,Bekke Films,False,1.4,nl,2013-10-12,26,0.0,0
8,Nature: Great Zebra Exodus,0,0,Documentary,,PBS International,False,0.6,en,2013-05-15,53,5.0,2
9,Rue Royale,0,0,Drama,Belgium,,False,0.635,fr,2014-03-12,25,0.0,0
10,Claudine à l'école,0,0,"Drama, Comedy",France,Les Films Regent,False,0.84,fr,1937-12-15,109,6.3,2
11,The Masters of Suspense,0,0,Comedy,Canada,Item 7,False,0.74,fr,2014-12-19,101,6.7,3
12,Innenansichten - Deutschland 1937,0,0,Documentary,,,False,1.4,de,2012-08-14,,4.0,1
13,"François Pirette : Tu parles, Charles",0,0,Comedy,Belgium,,False,0.6,fr,2014-12-09,,0.0,0
14,Pizza Boy,0,0,Comedy,Guam,Expressions Studio,False,1.347,en,2013-09-06,25,0.0,0
15,Ride a White Horse,0,0,Documentary,Australia,Bob Evans Promotions,False,0.6,en,1968-01-01,94,0.0,0
16,Home Sweet Home,0,0,"Adventure, Animation, Family, Fantasy",France,Supinfocom,False,1.722,fr,2013-09-11,10,7.3,11
17,Plat Show,0,0,,,,False,0.921,da,1996-06-10,,0.0,0
18,Das Mädchen aus der Südsee,0,0,Comedy,Germany,,False,0.6,de,1950-09-28,,0.0,0
19,Der bunte Traum,0,0,Comedy,Germany,,False,1.091,de,1952-02-29,,0.0,0
20,Secretly Still and Quiet,0,0,"Music, Comedy",Germany,Bavaria Film,False,0.6,de,1953-09-23,88,0.0,0
21,Das Glück liegt auf der Straße,0,0,Comedy,Germany,,False,0.6,de,1957-07-31,,0.0,0
22,Rapeman 3,0,0,"Comedy, Crime",Japan,Pink Pineapple,False,0.912,ja,1994-06-03,75,7.0,1
23,Ingeborg,0,0,Comedy,Germany,,False,1.4,de,1960-10-05,,0.0,0
24,Duran & Mollans Allsångsshow Rymdraket,0,0,,Sweden,,False,0.6,sv,2014-11-27,,0.0,0
25,Volker Pispers - ... bis neulich 2014,0,0,Comedy,,,False,0.6,de,2014-09-12,159,0.0,0
26,I Serve the Fatherland!,0,0,Action,Russia,NTV-Kino,False,0.6,ru,2011-02-27,91,0.0,0
27,Luminita,0,0,,"Portugal, Romania",,False,0.634,en,2013-07-10,20,0.0,0
28,Saturday Night in Mansfield Ohio,0,0,,,,False,1.136,en,2015-01-01,2,0.0,0
29,Love Forecast,0,0,"Comedy, Romance",South Korea,CJ Entertainment,False,4.621,ko,2015-01-15,118,6.8,22
30,Time Gap,0,0,,,,False,0.847,en,2014-01-01,11,0.0,0
31,Passing Through,0,0,,,,False,0.84,en,2013-01-01,8,0.0,0
32,Moya Sestra,0,0,,,,False,0.6,en,2014-01-01,2,0.0,0
33,Rettungsgriffe,0,0,,,,False,0.6,en,2014-11-12,8,0.0,0
34,Thomas & Friends: Best Of Thomas,0,0,"Animation, Family",,Anchor Bay Home Entertainment,False,0.723,en,2001-01-01,43,8.5,1
35,Spin Off,0,0,Documentary,Slovenia,Luksuz DZMP,False,0.848,sl,2014-08-09,2,0.0,0
36,Pacquiao vs. Hussein,0,0,Action,,,False,0.874,en,2000-10-14,41,10.0,1
37,Cost-Benefit-Love,0,0,,,,False,0.6,en,2014-01-01,10,0.0,0
38,Livepan,0,0,,,,False,0.6,en,2013-01-01,2,0.0,0
39,Still Life,0,0,Documentary,Croatia,,False,0.6,hr,1974-01-01,20,0.0,0
40,Personal Cuts,0,0,Documentary,Croatia,Radio Televizija Zagreb,False,0.6,hr,1982-01-01,4,0.0,0
41,Prvi Program,0,0,,,,False,0.84,en,1978-01-01,12,0.0,0
42,Chanoyu,0,0,,,,False,0.6,en,1983-01-01,11,0.0,0
43,Obywatel poeta,0,0,Documentary,Poland,,False,1.341,pl,2000-12-25,,0.0,0
44,Rege,0,0,"Thriller, Crime, Drama",India,,False,0.878,en,2014-08-15,,8.0,1
45,The Incredible Adventures Of Professor Branestawm,0,0,"Family, Fantasy",,,False,1.919,en,2014-12-24,60,4.8,8
46,Miss Taurus,0,0,Drama,Australia,,False,0.626,en,1994-01-01,17,0.0,0
47,Pekka Puupää,0,0,Comedy,Finland,Suomen Filmiteollisuus,False,0.659,fi,1953-04-29,71,4.5,2
48,Traumstraßen der Lombardei,0,0,Documentary,Germany,Tourenfahrer,False,0.6,de,2014-01-01,,6.5,1
49,La sorcière blanche,0,0,"Adventure, Documentary",,Seven Doc,False,0.806,fr,2007-12-31,80,0.0,0
50,Ice Up,0,0,"Adventure, Documentary",,Seven Doc,False,0.6,fr,2005-12-07,,0.0,0
51,Sweet Friday,0,0,Animation,Japan,,False,0.6,ja,1975-01-01,4,0.0,0
52,Pride and Honor,0,0,"Action, Drama",Philippines,Blank Pages Productions,False,1.581,tl,2014-12-17,,10.0,1
53,Awaken,0,0,"Romance, Thriller",Philippines,,False,0.924,en,2014-12-17,,0.0,0
54,Works of Calder,0,0,Documentary,United States of America,,False,0.6,en,1950-01-01,20,0.0,0
55,M: Mother's Maiden Name,0,0,,,,False,0.84,en,2014-12-17,,0.0,0
56,Ang Soltera,0,0,,,,False,0.6,en,2014-12-17,,0.0,0
57,Siyanawa,0,0,,Philippines,Dunkin' Domats Productions,False,0.6,en,2014-12-17,,0.0,0
58,Shifter,0,0,,,,False,0.6,en,2014-12-17,,0.0,0
59,Waiting for Good News,0,0,Drama,Japan,,False,0.6,ja,2009-02-28,121,0.0,0
60,An Maogmang Lugar,0,0,,,,False,0.6,en,2014-12-17,,4.0,1
61,Gymsnatch,0,0,,,,False,0.6,en,2014-12-17,,0.0,0
62,Bloody Snake Under the Sun,0,0,,Japan,,False,0.6,ja,2007-10-22,124,0.0,0
63,Isip-Bata,0,0,,Philippines,Alibata Productions,False,0.6,en,2014-12-17,,0.0,0
