,title,budget,revenue,genres,production_countries,production_companies,adult,popularity,original_language,release_date,runtime,vote_average,vote_count
0,Miss D,0,0,Drama,,,False,0.6,en,2012-01-01,18,0.0,0
1,Past Tense,0,0,"Drama, Science Fiction",United States of America,Blue Frost Films,False,0.6,en,2015-02-10,12,0.0,0
2,Da Kink in My Lair,0,0,Comedy,,,False,0.6,en,2012-09-29,18,0.0,0
3,Jumpcut,0,0,Romance,Netherlands,,False,0.6,xx,2012-09-01,8,0.0,0
4,My Day with Tarna,0,0,Documentary,Germany,,False,0.6,de,2013-08-29,40,0.0,0
5,Los aventureros,0,0,,,,False,0.841,es,1954-12-08,90,0.0,0
6,The Maid Story,0,0,Comedy,Japan,"Tokyo Eiga Co., Ltd.",False,0.6,ja,1963-06-16,110,0.0,0
7,Late Afternoon of the Living Dead,25000,0,,,,False,0.6,en,,108,0.0,0
8,Fury: Redux,4000,0,,,,False,0.6,en,,,0.0,0
9,Jaane kyun de yaaron,40000000,0,Drama,,,False,0.84,en,2018-02-16,211,0.0,0
10,Wish I Were a Shark,0,0,Comedy,Croatia,Hrvatska Radiotelevizija,False,1.4,hr,1999-11-04,75,0.0,0
11,Merry Wishmas,0,0,Romance,,TV One,False,0.84,en,2018-12-02,,0.0,0
12,Sandman,3000,0,"Thriller, Drama, Action",Australia,,False,0.909,en,2018-05-12,13,10.0,1
13,Santastein,0,0,"Horror, Comedy",,,False,0.694,en,2018-12-04,20,10.0,1
14,All in the Family,0,0,,,,True,0.6,en,1972-01-01,55,0.0,0
15,Allegra La Ballerina,200,0,,,,False,1.139,en,2017-02-12,5,10.0,1
16,Climate Warriors,0,0,Documentary,,,False,0.725,en,2018-12-06,86,5.0,2
17,La Bonita,0,0,Documentary,Argentina,,False,0.6,fr,,,0.0,0
18,Could You Eat Just a Little Bit of Shit,0,0,Documentary,United States of America,University of Iowa,False,0.6,en,1975-01-01,7,0.0,0
19,5R13ND,0,0,"Science Fiction, Drama",Sweden,Kalix folkhögskola,False,0.6,sv,,10,0.0,0
20,The Seduction of Mary,0,0,,,,True,0.6,en,,85,0.0,0
21,Le mannequin de Belleville,0,0,,,,False,1.121,fr,1962-01-01,16,7.0,1
22,Pretty.Dirty 4,0,0,,,,True,0.6,en,2013-01-21,126,0.0,0
23,Reversed Seven,10000,100000,Drama,Iran,,False,1.349,fa,2014-12-05,89,0.0,0
24,My Treasure,0,0,,,,False,0.6,es,2017-06-23,23,0.0,0
25,Secret Garden,0,0,,,,True,0.6,en,2009-10-16,114,0.0,0
26,Eric & Shaye,10500,0,Documentary,United States of America,,False,0.856,en,2016-10-18,105,0.0,0
27,Avenged Sevenfold - Decade Of A7X,0,0,Music,,,False,1.345,en,2011-05-07,197,0.0,0
28,Sisters,0,0,,,,False,0.6,ru,2016-06-09,25,0.0,0
29,Явление радиоактивности,0,0,Documentary,Russia,,False,0.6,ru,1977-01-01,20,0.0,0
30,Baby Obsession,0,0,"TV Movie, Thriller",,,False,1.279,en,2018-10-01,,4.5,1
31,Fearless Match,0,0,,,,False,0.6,zh,,91,0.0,0
32,3AM,0,0,"Horror, Thriller",Malaysia,,False,0.714,ms,2018-12-06,80,0.0,0
33,The Brother Load 8,0,0,,United States of America,Jules Jordan Video,True,0.6,en,2016-03-09,155,0.0,0
34,Washer,0,0,Drama,Russia,Vita Aktiva,False,0.6,ru,2018-09-29,15,0.0,0
35,Sfumato,0,0,,,,False,0.6,en,2016-05-11,71,0.0,0
36,Cuckold Sessions 22,0,0,,United States of America,Blacks on Blondes,True,0.6,en,2016-02-22,165,0.0,0
37,The Law and the Lab,0,0,Crime,United States of America,RKO Radio Pictures,False,0.6,en,1956-07-20,9,0.0,0
38,Skinhead Farewell,0,0,Documentary,United Kingdom,BBC,False,0.6,en,1996-03-23,50,0.0,0
39,Infiltration: Fake business with health,0,0,Documentary,Czech Republic,Česká televize,False,0.6,cs,2018-05-21,,8.0,1
40,"Screen Test, Jack Smith",0,0,,,,False,1.4,en,,4,0.0,0
41,"Screen Test, Rufus Collins",0,0,,,,False,1.4,en,1964-01-01,4,0.0,0
42,"Eminem, Where Have You Been?",0,0,Comedy,United States of America,MTV Networks,False,0.6,en,2009-05-01,6,0.0,0
43,Utopía 7,0,0,,,,False,0.6,es,1995-11-10,115,0.0,0
44,Colori,0,0,,,,False,0.6,it,,,0.0,0
45,My Loneliness Is Killing Me,0,0,Drama,United Kingdom,"Arpeggio Pictures, Factotum Films",False,0.84,en,2018-06-27,17,0.0,0
46,Cum Glazed 4,0,0,,United States of America,Vouyer Media,True,0.666,en,2005-12-12,138,0.0,0
47,Es gilt das gesprochene Wort,0,0,Drama,"France, Germany",,False,13.866,de,2019-08-01,122,0.0,0
48,Chickens Blood,4000,0,"Comedy, Horror",,,False,0.84,en,2019-01-05,90,0.0,0
49,Princesses Are Not to Be Sniffed At,0,0,,Czech Republic,,False,0.6,cs,1965-01-01,14,7.0,1
50,Inclusief,0,0,Documentary,,,False,0.6,nl,2018-11-29,,0.0,0
51,Refugee,0,0,,Czech Republic,SauVage,True,0.6,en,,100,0.0,0
