,title,budget,revenue,genres,production_countries,production_companies,adult,popularity,original_language,release_date,runtime,vote_average,vote_count
0,Accept: Metal Blast From the Past,0,0,Music,,,False,0.6,en,2002-01-01,,0.0,0
1,How to Play Baseball,0,0,"Comedy, Animation",United States of America,Walt Disney Productions,False,1.823,en,1942-09-04,8,6.7,15
2,How to Play Football,0,0,Animation,United States of America,Walt Disney Productions,False,2.102,en,1944-09-15,7,6.5,12
3,How to Sleep,0,0,Animation,,Walt Disney Pictures,False,1.358,en,1953-12-25,7,6.4,11
4,How to Swim,0,0,Animation,United States of America,"Walt Disney Pictures, RKO Radio Pictures",False,1.274,en,1942-10-23,8,6.4,12
5,Backstage Secrets: On the Road with the Rock Band Rush,0,0,"Music, Documentary",,,False,0.843,en,2008-01-01,250,0.0,0
6,Inferior Decorator,0,0,Animation,United States of America,"Walt Disney Productions, RKO Radio Pictures",False,2.132,en,1948-08-27,6,5.4,16
7,Let's Stick Together,0,0,Animation,United States of America,Walt Disney Productions,False,1.57,en,1952-04-25,7,6.2,9
8,Pra Sempre Cazuza,0,0,Music,,,False,0.6,en,2008-01-01,63,9.0,2
9,Lion Around,0,0,Animation,United States of America,"Walt Disney Productions, RKO Radio Pictures",False,2.058,en,1950-01-20,7,5.5,9
10,Chico Buarque - Uma Palavra,0,0,"Music, Documentary",,,False,0.6,en,2005-01-01,129,0.0,0
11,Lion Down,0,0,"Comedy, Family, Animation",United States of America,Walt Disney Pictures,False,2.017,en,1951-01-05,7,5.8,11
12,Creedence Clearwater Revival – I Put A Spell On You,0,0,Music,,,False,0.6,en,1970-01-01,81,0.0,0
13,Lucky Number,0,0,Animation,United States of America,Walt Disney Productions,False,2.323,en,1951-07-20,7,5.9,6
14,Magician Mickey,0,0,Animation,United States of America,"Walt Disney Productions, United Artists",False,2.775,en,1937-02-06,8,6.5,15
15,Man's Best Friend,0,0,Animation,,Walt Disney Pictures,False,2.502,en,1952-04-04,6,5.5,7
16,Dio: Sacred Heart,0,0,Music,,,False,0.6,en,2004-01-01,58,0.0,0
17,Dio: Time Machine (Video Collection),0,0,Music,,,False,0.6,en,1990-01-01,,0.0,0
18,Feedback,0,0,"Science Fiction, Thriller",United States of America,,False,0.69,en,2002-01-15,88,3.5,2
19,The Spider and the Fly,13125,0,Animation,United States of America,"Columbia Pictures, Walt Disney Productions",False,1.657,en,1931-10-15,7,5.5,10
20,The Trial of Donald Duck,0,0,Animation,United States of America,"Walt Disney Productions, RKO Radio Pictures",False,1.562,en,1948-07-30,7,4.8,12
21,The Village Smithy,0,0,Animation,United States of America,"Walt Disney Productions, RKO Radio Pictures",False,1.261,en,1942-01-16,7,5.5,10
22,Naseeb,0,3220000,Drama,,,False,0.6,hi,1981-03-17,197,7.5,2
23,The Whalers,0,0,Animation,United States of America,"Walt Disney Productions, RKO Radio Pictures",False,1.935,en,1938-08-19,8,5.8,12
24,The Worm Turns,0,0,Animation,United States of America,"Walt Disney Productions, United Artists",False,1.678,en,1937-01-02,8,5.4,11
25,They're Off,0,0,Animation,United States of America,"Walt Disney Productions, RKO Radio Pictures",False,1.817,en,1948-01-23,7,6.1,9
26,Three Blind Mouseketeers,0,0,"Animation, Family",United States of America,"Walt Disney Productions, United Artists",False,2.023,en,1936-09-26,9,6.7,16
27,Corisco & Dadá,0,0,"Drama, Adventure",Brazil,,False,0.6,pt,1996-09-02,112,4.0,1
28,The New Girlfriend,0,0,"Drama, Thriller",Australia,Adelphi Films,False,0.6,en,1999-09-15,83,5.2,5
29,"Black God, White Devil",0,0,"Adventure, Crime, Drama, Western",Brazil,"Copacabana Filmes, Luiz Augusto Mendes Produções Cinematográficas",False,3.458,pt,1964-03-13,120,7.2,52
30,Hans Staden,0,0,Drama,Brazil,,False,0.665,pt,1999-07-31,92,8.0,2
31,Morte e Vida Severina,0,0,Drama,Brazil,,False,0.6,pt,1981-01-27,60,7.0,1
32,The Bandit,0,0,"Drama, Adventure",Brazil,Companhia Cinematográfica Vera Cruz,False,1.062,pt,1953-01-20,105,8.5,4
33,The Lost Angel,0,0,"Action, Thriller",,,False,1.006,en,2005-04-26,,4.0,1
34,O Quatrilho,0,0,"Drama, Romance",Brazil,LC Barreto,False,1.241,pt,1995-10-20,92,6.5,16
35,L'Evangile selon Judas - National Geographic,0,0,,,,False,0.6,fr,,,0.0,0
36,Revenge of the Electric Car,0,0,Documentary,,,False,1.931,en,2011-10-21,90,6.7,12
37,Sex Of Golden Plums Part 1,0,0,,,,True,0.6,zh,2008-01-01,107,0.0,0
38,Sex Of Golden Plums Part 2,0,0,,,,True,0.6,en,,,0.0,0
39,Naked Party,0,0,,Hong Kong,Fitto Movie Co. Ltd.,False,0.6,cn,2000-01-01,90,9.0,1
40,Erotic Comic Girl,0,0,Comedy,Japan,Junk Film,False,0.6,ja,2006-08-24,60,0.0,0
41,For Whom the Bulls Toil,0,0,Animation,,Walt Disney Pictures,False,1.721,en,1953-05-09,6,5.9,9
42,Foul Hunting,0,0,"Animation, Comedy",United States of America,"Walt Disney Productions, RKO Radio Pictures",False,1.079,en,1947-10-31,6,5.8,8
43,Three Orphan Kittens,25771,0,Animation,United States of America,"Walt Disney Productions, United Artists",False,2.132,en,1935-10-26,9,6.9,29
44,The Fish That Saved Pittsburgh,0,8,Comedy,United States of America,"United Artists, Lorimar Productions",False,0.864,en,1979-11-06,102,6.5,5
45,Bikini Royale,0,0,"Action, Thriller",,,False,1.698,en,2008-07-01,75,4.7,3
46,Holiday Fire,0,0,,,,False,0.6,en,2008-11-04,,0.0,0
47,Bikini Squad,0,0,Comedy,United States of America,Bi Squad Productions,False,0.947,en,1993-01-01,88,1.5,2
48,Tankograd,0,0,Documentary,,,False,0.6,en,2009-11-12,57,5.0,1
49,Maternal Half-Brothers,0,0,Drama,Serbia,Beograd Film,False,0.626,sr,1988-09-10,105,0.0,0
50,Truce,0,0,Drama,Russia,"Studio SLON, Mosfilm",False,2.042,ru,2010-06-09,95,4.5,6
51,Saguni,0,0,Drama,India,"Dream Warrior Pictures, Studio Green, Vendhar Movies",False,1.522,ta,2012-06-22,150,4.8,7
52,Akmal: Live & Uncensored,0,0,,,,False,1.379,en,2008-03-03,,0.0,0
53,Strassman Live Vol. 3: The Get Chuck'd Tour,0,0,,,,False,0.6,en,2009-07-08,,0.0,0
54,Evils of the Night,0,0,"Horror, Science Fiction",United States of America,Mars Productions,False,1.968,en,1985-10-10,84,3.4,18
55,Les sacrifiés,0,0,Drama,France,,False,0.6,fr,1983-03-23,,0.0,0
56,Deburau,0,0,Drama,France,,False,0.6,fr,1951-06-29,,0.0,0
57,La salle de bain,0,0,"Comedy, Drama",France,,False,0.6,fr,1989-03-08,,0.0,0
58,Le sexe faible,0,0,Comedy,France,,False,0.6,fr,1933-01-01,90,0.0,0
59,Le cap de l'espérance,0,0,"Crime, Drama","France, Italy",,False,0.6,fr,1951-11-14,,0.0,0
60,The Big Brother,0,0,Crime,France,,False,0.656,fr,1982-09-08,,6.0,1
61,Train d'enfer,0,0,"Crime, Drama",France,,False,1.15,fr,1985-01-09,,4.3,2
62,Golgotha,0,0,History,France,Ichtys Film,False,0.6,fr,1935-01-01,95,7.3,3
63,Sentimental Education,0,0,,"Netherlands, France, United Kingdom",,False,0.6,fr,1998-01-01,,0.0,0
64,Je règle mon pas sur le pas de mon père,0,0,Comedy,France,"M6 Films, PolyGram Audiovisuel",False,0.76,fr,1999-04-14,88,6.2,5
65,The Mascot,0,0,"Fantasy, Animation",France,Gelma-Films,False,1.703,fr,1933-01-01,26,7.3,14
66,Bloodlust Zombies,75000,0,"Comedy, Horror",United States of America,,False,2.855,en,2011-07-05,80,2.8,7
67,Westernhagen: LIVE,0,0,Music,Germany,DoRo Fiction Film,False,1.96,de,1989-01-01,,7.6,4
68,Armageddon,0,0,Thriller,"France, Italy",Adel Productions,False,2.027,fr,1977-03-16,,5.8,6
69,Guns for San Sebastian,0,0,"Action, Western","France, Italy, Mexico","Filmes Cinematografica, Compagnie Internationale de Productions Cinématographiques (CIPRA), Producciones Enríquez S.A., Metro-Goldwyn-Mayer",False,2.486,en,1968-03-20,111,7.5,28
70,Think Like a Man,12000000,96070507,"Comedy, Romance",United States of America,Rainforest Entertainment,False,6.475,en,2012-04-16,122,6.9,452
71,Thru the Mirror,0,0,Animation,United States of America,"Walt Disney Productions, United Artists",False,2.499,en,1936-05-30,9,6.9,28
72,The Skank Robbers,0,0,"Action, Comedy",,,False,0.804,en,,,0.0,0
73,Forbidden House,0,0,Comedy,France,"Les films du Worso, Rhône-Alpes Cinéma",False,0.782,fr,2011-01-19,80,4.5,5
74,Going Back,0,0,,Canada,,False,0.997,en,2001-01-01,113,3.8,4
75,L'Infiltré,0,0,"TV Movie, Drama",,,False,0.6,fr,2011-06-21,,5.0,2
76,Eaters,0,0,Horror,Italy,Extreme Video Snc,False,1.213,it,2011-04-09,94,4.3,22
77,ZZ Top: Greatest Hits,0,0,"Music, Documentary",United States of America,,False,0.84,de,1992-01-01,50,6.6,4
78,Glee: The Concert Movie,9000000,18663238,"Documentary, Music, Family",United States of America,"Ryan Murphy Productions, 20th Century Fox, 20th Century Fox Television",False,5.775,en,2011-08-11,84,7.3,143
79,Raaj,0,0,Drama,India,,False,0.742,te,2011-03-18,156,5.7,3
80,Golkonda High School,0,0,,India,,False,0.6,te,2011-01-14,130,0.0,0
81,Ranga the Donga,0,0,,,,False,0.896,te,2010-12-30,,3.0,1
82,"Blood, Boobs and Beast",12000,0,"Documentary, Horror",,,False,1.775,en,2009-02-24,75,5.8,10
83,2 Dudes and a Dream,120000,0,Comedy,,,False,0.631,en,2009-02-03,89,0.0,0
84,Glavnoe Uspet,0,0,"Romance, Drama",,,False,0.6,en,2007-06-06,90,0.0,0
85,"Shine, Shine, My Star",0,0,"Comedy, Drama, Romance","Russia, Soviet Union",Mosfilm,False,1.251,en,1969-06-06,94,6.6,7
86,Powell Peralta: Ban This,0,0,,United States of America,,False,0.6,en,1989-01-01,77,6.2,3
87,Bending All The Rules,0,0,"Comedy, Romance",United States of America,"Minaret Films LLC, Red Lizard Films",False,1.8,en,2002-09-27,87,4.0,20
88,Gruz Bez Markirovki,0,0,"Adventure, Action","Russia, Soviet Union",Dovzhenko Film Studios,False,0.87,ru,1984-06-06,92,1.0,1
89,The Stepmother,0,0,Drama,"Russia, Soviet Union",Mosfilm,False,0.84,ru,1973-06-06,85,7.0,2
90,Powell Peralta: Propaganda,0,0,,United States of America,,False,0.6,en,1990-01-01,60,5.3,2
91,Powell Peralta: Public Domain,0,0,,United States of America,,False,0.6,en,1988-01-01,60,5.3,2
92,Chiller Theatre,0,0,"Horror, Documentary",,,False,0.6,en,,90,0.0,0
93,The Dark Power,0,0,"Comedy, Horror, Fantasy",,,False,1.805,en,1985-06-01,78,4.0,6
94,Jocks,0,0,Comedy,United States of America,Mount Olympus Productions,False,1.976,en,1986-11-14,91,4.0,6
95,Tiger Trouble,0,0,"Animation, Comedy",United States of America,"Walt Disney Productions, RKO Radio Pictures",False,1.67,en,1945-01-06,7,6.2,15
96,Tomorrow We Diet,0,0,Animation,United States of America,Walt Disney Productions,False,2.415,en,1951-06-29,7,6.1,12
97,A Warm December,0,0,"Drama, Romance",United States of America,First Artists,False,1.526,en,1973-05-23,99,6.4,9
98,Toy Tinkers,0,0,Animation,United States of America,"Walt Disney Productions, RKO Radio Pictures",False,2.07,en,1949-12-16,7,6.4,18
99,Trailer Horn,0,0,Animation,United States of America,"Walt Disney Productions, RKO Radio Pictures",False,2.824,en,1950-04-28,6,6.0,12
100,Trick or Treat,0,0,"Comedy, Animation, Fantasy",United States of America,Walt Disney Productions,False,1.528,en,1952-10-10,8,6.5,25
101,"The Shakers: Hands to Work, Hearts to God",0,0,Documentary,United States of America,Florentine Films,False,0.946,en,1985-08-07,57,7.0,2
102,Right America:  Feeling Wronged,0,0,Documentary,,,False,0.6,en,2009-02-15,45,8.0,1
103,Trombone Trouble,0,0,Animation,United States of America,"Walt Disney Productions, RKO Radio Pictures",False,1.997,en,1944-02-18,7,5.5,9
104,Tugboat Mickey,0,0,"Animation, Family, Comedy",United States of America,"Walt Disney Productions, RKO Radio Pictures",False,1.527,en,1940-04-26,7,5.9,24
105,Two Weeks Vacation,0,0,Animation,,Walt Disney Pictures,False,1.87,en,1952-10-31,6,6.6,11
106,Celtic Thunder: Heritage,0,0,Music,,,False,0.668,en,2011-02-22,60,0.0,0
107,Two Gun Goofy,0,0,Animation,,Walt Disney Pictures,False,1.991,en,1952-05-16,7,6.5,11
108,The Congress,0,0,"Documentary, History","Canada, United States of America",Florentine Films,False,1.1,en,1989-03-19,89,0.0,0
109,Uncle Donald's Ants,0,0,"Animation, Family",United States of America,Walt Disney Pictures,False,1.625,en,1952-07-18,6,6.2,9
110,Up a Tree,0,0,"Animation, Comedy, Family",United States of America,Walt Disney Productions,False,1.783,en,1955-09-23,7,6.3,8
111,Petticoat Planet,0,0,"Fantasy, Comedy, Science Fiction",Romania,TorchLight Entertainment,False,0.669,en,1996-11-26,78,1.0,1
112,Wet Paint,0,0,"Family, Animation",United States of America,"Walt Disney Productions, RKO Radio Pictures",False,2.071,en,1946-08-09,7,5.3,12
113,Popeye the Sailor Meets Sindbad the Sailor,0,0,"Comedy, Animation",United States of America,"Paramount, Fleischer Studios",False,1.983,en,1936-11-27,16,6.2,24
114,"The Beautiful, the Bloody, and the Bare",0,0,,,,False,0.6,en,1964-01-01,62,1.0,1
115,Future Force,0,0,"Action, Crime, Science Fiction",United States of America,"Action International Pictures, Winters Hollywood Entertainment Holdings Corporation",False,3.171,en,1989-02-08,84,3.9,13
116,Hard Bounty,0,0,Action,,,False,1.752,en,1995-06-01,88,4.5,2
117,Hollywood High Part II,0,0,Comedy,,,False,0.6,en,1981-07-01,86,1.5,1
118,Three Blind Mice,0,0,"Crime, Drama, Mystery, Thriller",United States of America,,False,0.882,en,2001-09-30,100,2.0,1
119,The Insatiable Ironbabe,0,0,Action,,,False,0.6,en,2008-11-18,90,2.0,1
120,Universal Squadrons,3000000,0,"Action, Thriller",United States of America,dreamFly Productions,False,1.633,en,2011-11-30,90,3.8,4
121,Hooterama 3-D,0,0,,,,True,0.6,en,2009-11-02,180,6.0,1
122,Případ Platfus,0,0,"Comedy, Drama","Czech Republic, Slovakia",,False,0.84,cs,1985-01-01,102,0.0,0
123,Doom Asylum,90000,0,"Horror, Comedy",United States of America,,False,2.828,en,1987-01-02,77,5.5,14
124,Living Doll,0,0,Horror,United Kingdom,Spectacular Film Productions,False,0.936,en,1990-02-01,92,6.0,2
125,Justice Is Done,0,0,Drama,France,Silver Films,False,0.871,fr,1950-09-20,105,5.0,1
126,KARAK,0,0,Horror,Malaysia,,False,1.4,ms,2011-05-26,96,6.3,2
127,Dobus - Welkom in het Circus,0,0,Family,Belgium,,False,0.6,nl,,,10.0,1
128,The Queen and the Cardinal,0,0,Drama,France,,False,0.841,fr,1935-11-22,115,0.0,0
129,Le maître de forges,0,0,"Comedy, Drama",France,,False,1.091,fr,1948-03-17,,0.0,0
130,Thérèse Raquin,0,0,"Thriller, Drama","France, Italy","Paris Films Productions, Lux Film",False,2.359,fr,1953-11-06,102,6.2,15
131,Macabre,0,0,"Horror, Drama",Italy,A.M.A. Film,False,3.505,en,1980-04-17,89,5.8,32
132,The Landlords,0,0,Comedy,France,"Cofimage 12, Canal+",False,0.627,fr,2002-08-07,90,0.0,0
133,The Warrior's Brother,0,0,"Drama, Adventure, History",France,"Les Films Alain Sarde, Canal+, Bac Films",False,1.835,fr,2002-03-13,115,7.8,5
134,"Butcher, Baker, Nightmare Maker",0,0,"Thriller, Horror",United States of America,"Royal American Pictures, S2D Associates",False,4.0,en,1982-02-24,96,6.9,33
135,The Day the Ponies Come Back,0,0,Drama,"France, United States of America",,False,0.991,fr,2001-03-21,104,4.0,1
136,S&Man,0,0,Horror,,,False,2.652,en,2006-03-10,84,4.7,18
137,Dobus - Vlindertjes vangen,0,0,,Belgium,,False,0.6,nl,2011-05-19,,0.0,0
138,The Spell,0,0,Horror,United States of America,"Stonehenge Productions, Charles Fries Productions",False,2.655,en,1977-02-20,86,5.2,11
139,Blue Tornado,0,0,"Action, Science Fiction, Thriller",Italy,Clemi Cinematografica,False,0.904,en,1991-09-18,96,0.0,0
140,Dobus - De papegaai,0,0,Family,Belgium,,False,0.844,nl,2011-04-01,,0.0,0
141,Snowtown,0,8452,"Crime, Drama, Horror, Thriller",Australia,"Screen Australia, South Australian Film Corporation, Warp Films Australia, Carver Films",False,6.004,en,2011-05-16,120,6.3,149
142,The Password Is Courage,0,0,"Comedy, Drama, War",United Kingdom,Andrew L. Stone Productions,False,1.045,en,1962-06-01,116,7.0,10
143,The Grotesque,0,0,Comedy,United Kingdom,"Xingu Films, J&M Entertainment",False,0.631,en,1995-09-09,,7.0,3
144,Intervention,0,0,Drama,,,False,0.6,pt,2007-01-01,93,0.0,0
145,Heartbeat,0,0,Comedy,France,Les Films Marcel Pagnol,False,2.995,fr,1938-04-15,160,6.6,9
