,title,budget,revenue,genres,production_countries,production_companies,adult,popularity,original_language,release_date,runtime,vote_average,vote_count
0,A MusiCares Person of the Year Tribute Honoring James Taylor,0,0,Music,United States of America,Rhino Films,False,0.6,en,2006-10-03,94,0.0,0
1,Hemåt i natten,0,0,Drama,"Finland, Sweden","Jörn Donner Productions, Svenska Filminstitutet",False,0.6,sv,1977-01-29,92,0.0,0
2,Gorgonas,0,0,"Animation, Horror",Argentina,,False,0.6,es,2004-01-01,14,8.0,2
3,Der schönste Tag meines Lebens,0,0,"Drama, Music",Austria,,False,0.675,de,1957-09-27,,7.0,1
4,Taking Tiger Mountain,0,0,"Drama, Science Fiction","United Kingdom, United States of America",The Players Chess Club,False,0.6,cy,1982-09-01,81,4.0,2
5,Daughters of Wisdom,200000,0,Documentary,,BTG Productions,False,0.824,en,2007-06-03,68,7.0,1
6,Wenn die Conny mit dem Peter,0,0,"Comedy, Music",Germany,Melodie Film,False,0.6,de,1958-12-17,106,0.0,0
7,Showdown,0,0,Western,United States of America,Universal Pictures,False,1.927,en,1963-05-03,78,6.0,6
8,The Daughter,0,0,"Horror, Thriller",Thailand,Phranakorn Film,False,0.625,en,2004-01-17,87,5.0,1
9,My First Kiss,0,0,Romance,Thailand,Phranakorn Film,False,0.6,th,2005-01-17,64,5.0,1
10,The Secret Adversary,0,0,"Action, Adventure, Comedy, Mystery, TV Movie",United Kingdom,"ITV, London Weekend Television (LWT)",False,0.946,en,1983-10-09,120,0.0,0
11,Deader Country,300000,0,Horror,,,False,0.674,en,2009-10-01,85,1.0,1
12,After the Rain,0,0,Thriller,,,False,0.6,en,2000-01-01,87,0.0,0
13,Once Upon a Time I Loved You,0,0,Drama,Thailand,Phranakorn Film,False,0.673,en,2003-01-17,83,6.0,1
14,Miss Queen Thailand,0,0,Comedy,Thailand,Phranakorn Film,False,0.6,en,2003-01-17,95,6.0,1
15,Heldenfrühling,0,0,"Drama, War",,,False,0.6,de,1991-06-01,,0.0,0
16,The Hundred Million Bath Dowry,0,0,"Comedy, Music",Thailand,Five Star Production,False,0.6,th,2004-07-29,111,5.0,1
17,Love Amorously,0,0,Comedy,Thailand,Sahamongkolfilm,False,1.235,th,2004-01-17,104,6.3,2
18,Hod na hiaw 966,0,0,Comedy,Thailand,Avant Films S.A.,False,0.993,en,2009-01-21,94,5.5,2
19,Dark Devil,0,0,Horror,Thailand,Phranakorn Film,False,1.125,en,2005-01-17,78,6.0,1
20,Secret Room No. 7,0,0,"Horror, Thriller",Thailand,Phranakorn Film,False,1.4,en,2005-01-17,101,6.0,1
21,Jun-Ka-Por: The Crying Tree,0,0,Horror,Thailand,Phranakorn Film,False,0.6,th,2003-01-17,85,5.0,1
22,Nak,0,0,Animation,Thailand,Sahamongkolfilm,False,0.873,th,2008-04-03,95,7.0,1
23,Black Death,0,0,Horror,Thailand,Phranakorn Film,False,0.673,en,2004-01-17,83,4.5,1
24,Indiana Joai: Elephant Cemetary,0,0,"Adventure, Action",Thailand,RS Productions,False,0.6,th,2003-12-17,80,7.0,1
25,The Removalists,0,0,Drama,Australia,Margaret Fink Productions,False,0.7,en,1975-10-15,93,3.0,1
26,Formalin Man,0,0,"Comedy, Music",Thailand,Sahamongkolfilm,False,0.879,en,2004-09-29,98,6.0,1
27,Ivan Tsarevich & the Grey Wolf 2,0,18315000,"Animation, Adventure, Family",Russia,Melnitsa Animation Studio,False,2.715,ru,2013-12-26,85,5.8,15
28,Brüderchen und Schwesterchen,0,0,Family,Germany,,False,0.6,de,1953-12-24,,0.0,0
29,Keluarga 99,0,0,Comedy,,,False,0.881,en,1987-01-01,90,0.0,0
30,Uang Lady of the Forest and City,0,0,"Romance, Drama, Adventure",Thailand,Sahamongkolfilm,False,0.872,en,2004-01-17,75,5.0,1
31,Thong Pull Khok Po Rasadontemkan,0,0,Drama,Thailand,,False,0.6,en,1977-01-17,95,6.0,1
32,The Image Revolution,50000,0,Documentary,United States of America,"Respect Films, Sequart",False,1.003,en,2013-11-21,81,6.3,4
33,Bowery Boy,0,0,Crime,United States of America,Republic Pictures,False,0.627,en,1940-12-28,53,0.0,0
34,Bubble Bath,0,0,Animation,Hungary,Pannonia Filmstudio,False,0.62,hu,1980-04-06,79,7.0,1
35,Secondaire V,0,0,,,,False,0.6,en,2013-10-12,92,0.0,0
36,Just Around the Corner,0,0,,United States of America,General Electric,False,0.643,en,1933-01-17,18,6.0,1
37,Pták Ohnivák,0,0,"Family, Fantasy","Czech Republic, Germany",,False,0.6,cs,1997-02-26,,0.0,0
38,The Prince Beyond the Seven Seas,0,0,"Romance, Family, Adventure, Fantasy",Germany,DEFA,False,0.6,de,1982-11-27,87,7.0,1
39,Der Struwwelpeter,0,0,"Fantasy, Family",Germany,Fritz Genschow Films,False,0.6,de,1955-01-23,79,5.3,3
40,In Search of the Magical Bird,0,0,"Adventure, Fantasy, Family",Germany,DEFA,False,0.627,de,1964-03-04,66,0.0,0
41,Robert Burns: The Man and His Legend,0,0,Documentary,United Kingdom,Eagle Rock Entertainment,False,0.95,en,2005-05-16,50,7.0,1
42,Zwerg Nase,0,0,"Family, Fantasy",Germany,Schongerfilm GmbH,False,0.6,de,1953-01-22,,0.0,0
43,Bujang Senang,0,0,Comedy,,,False,0.6,en,2006-03-13,97,0.0,0
44,Bujang Terlajak,0,0,Comedy,,,False,0.6,en,2012-01-19,90,0.0,0
45,Hotel!,0,0,,,,False,0.985,en,2001-02-17,75,4.0,2
46,Blessed Stranger: After Flight 111,0,0,"Drama, TV Movie",Canada,"Echo Bridge Entertainment, Alliance Atlantis Communications",False,1.039,nl,2000-10-17,92,4.5,2
47,Taxi Tonight 2,0,0,Horror,Thailand,Sahamongkol Film,False,0.6,en,2010-01-17,88,6.0,1
48,Taxi Tonight,0,0,Horror,Thailand,Sahamongkolfilm,False,0.622,en,2004-01-17,91,5.5,1
49,The Tin Mine,2000000,0,Drama,Thailand,"GMM Tai Hub (GTH), Dedicate Ltd.",False,1.152,th,2005-05-26,105,7.0,2
50,Crystal Hunt,0,0,Action,Hong Kong,"Cheung Yau Production Co., Ltd.",False,0.736,cn,1991-01-01,89,6.0,2
51,Shanghai Affairs,0,0,"Action, Drama, Romance",,,False,0.712,en,1998-07-03,90,4.3,2
52,The Elephant Boy,0,0,Drama,Thailand,Sahamongkol Film International,False,0.6,th,2003-03-21,104,7.8,2
53,Rockin' on Heaven's Door,0,0,,South Korea,"Hong Film, 9ers Entertainment, Soo Film",False,1.4,ko,2013-05-30,99,8.3,5
54,Seraphita's Diary,0,0,,,,False,0.6,en,1982-05-18,90,0.0,0
55,The Elephant Boy 2,0,0,"Comedy, Drama",Thailand,Mangpong Public Co. Ltd.,False,0.968,th,2004-06-17,74,5.5,1
56,City of Darkness,0,0,Action,Hong Kong,,False,0.6,cn,1999-01-01,92,6.0,2
57,August Fools,0,0,Comedy,"Czech Republic, Finland","Kinosto Oy, Nordisk Film",False,0.907,fi,2013-10-04,107,6.5,2
58,Donald Cammell: The Ultimate Performance,0,0,,,,False,0.841,en,1998-10-14,,0.0,0
59,Reunion,0,0,,,,False,0.6,cn,,84,0.0,0
60,2499 Kotr Antapal,0,0,Action,Thailand,Sahamongkolfilm,False,1.167,th,2012-01-17,90,6.0,1
61,The Colour of Words,0,0,Documentary,France,,False,0.804,fr,1984-06-12,63,0.0,0
62,Gone in a Heartbeat,0,0,"Drama, Thriller",United States of America,"World International Network (WIN), Carla Singer Productions",False,1.028,en,1996-12-03,86,5.3,3
63,2030,0,0,"Science Fiction, Drama, Mystery, Romance",Vietnam,,False,0.84,vi,2014-02-06,98,6.0,2
64,Get Ca$h,0,0,,,,False,0.6,en,,,0.0,0
65,Consequence,0,0,Drama,United Kingdom,,False,0.6,en,2012-01-01,93,0.0,0
66,Treffer,0,0,"Action, Drama",,,False,0.6,de,1984-04-03,,0.0,0
67,I'm the One You Want,0,0,,Norway,Motlys,False,0.6,no,2014-06-13,53,7.5,2
68,That Sounds Good,0,0,"Comedy, Drama, Romance",Thailand,M-39,False,0.6,th,2010-06-24,89,5.5,1
69,Salab Khu Ku Lok,0,0,Romance,Thailand,,True,0.63,en,2013-01-17,66,4.0,1
70,Ayumi Hamasaki Arena Tour 2009 A: Next Level 3D,0,0,,Japan,Avex Entertainment,False,0.6,en,2010-08-20,80,10.0,1
71,Sith Wat Wing Na Tang,0,0,Comedy,Thailand,Beofilm,False,0.6,en,2011-01-17,96,5.0,1
72,Shimiko Blackberry,0,0,Comedy,Thailand,Beofilm,False,0.825,en,2012-01-17,80,3.0,1
73,Sex Phone & The Lonely Wave,0,0,Romance,Thailand,Yoo Productions,False,1.4,th,2003-06-05,113,5.3,3
74,Nanacha Wily Child,0,0,Comedy,Thailand,Sahamongkol Film,False,0.622,en,2005-03-16,88,6.0,1
75,A Wonderful Christmas,400000,0,"Comedy, Family",United States of America,"Babylegs Entertainment Inc., Panamax Films",False,0.6,en,2006-12-24,79,0.0,0
76,Berlin Babylon,0,0,Documentary,Germany,"S.U.M.O. Film, Philip-Gröning-Filmproduktion",False,0.6,de,2001-09-27,88,8.0,3
77,Beautiful Wonderful Perfect,0,0,Drama,Thailand,Sahamongkol Film International,False,1.29,th,2005-01-06,100,7.0,1
78,Ban Phi Pob 2008,0,0,Comedy,Thailand,Sahamongkol Film,False,0.6,en,2008-01-17,81,5.5,2
79,Drag Ghost,0,0,Comedy,Thailand,Phranakorn Film,False,0.874,en,2011-01-18,76,5.0,1
80,Duk Dum Dui,0,0,Comedy,Thailand,Phranakorn Film,False,1.199,en,2003-10-09,102,5.5,2
81,The Macabre Case of Prompiram,0,0,"Thriller, Drama, Crime",Thailand,Sahamongkolfilm,False,0.766,th,2003-06-18,116,5.6,4
82,Mequinenza Gold Rush,0,0,,,,False,0.6,de,2012-11-30,,0.0,0
83,Big Breaks,0,0,Comedy,United States of America,,False,0.6,en,2008-12-31,37,0.0,0
84,The Last Days of Edgar Harding,125,0,,,,False,0.6,en,2011-06-01,180,0.0,0
85,Sickos,0,0,"Comedy, Drama",Netherlands,Bos Bros. Film-TV Productions,False,0.635,nl,2014-02-12,,7.3,7
86,Portraits from Varangerfjord,0,0,Documentary,Norway,,False,0.808,en,2013-01-01,13,0.0,0
87,Yoik,0,0,"Documentary, Documentary",Sweden,Kautokeinofilm AS,False,0.6,en,2014-12-05,60,0.0,0
88,"Light Fly, Fly High",0,0,Documentary,Norway,,False,0.6,en,2013-01-01,80,8.0,1
89,Les tournesols,0,0,,France,,False,0.6,xx,1982-01-01,3,6.0,1
90,Impromptu,0,0,,France,,False,0.6,en,1989-01-01,8,6.0,1
91,Santra and the Talking Trees,0,0,Documentary,Finland,,False,0.67,en,2013-01-01,27,0.0,0
92,Berlin Horse,0,0,Documentary,United Kingdom,Malcolm le Grice,False,1.54,en,1970-01-01,7,7.4,8
93,Threshold,0,0,,United Kingdom,"Malcolm le Grice, Arts Council of Great Britain",False,0.623,en,1972-01-01,13,7.0,1
94,Shakedown - Return Of The Sontarans,0,0,"Science Fiction, Action, Thriller",United Kingdom,,False,0.6,en,1994-12-01,55,0.0,0
95,Kenau,0,0,"Adventure, Action, History","Netherlands, Belgium, Hungary","Fu Works, Mollywood, I'm Filming Productions",False,2.359,nl,2014-03-06,110,6.6,14
96,Spring,0,0,,,,False,0.6,ru,1987-01-01,9,0.0,0
97,Hasee Toh Phasee,0,0,"Comedy, Romance",India,"Phantom Films, Dharma Productions",False,4.511,hi,2014-02-07,141,6.6,42
98,Xiongmao Monogatari TaoTao,0,0,Animation,Japan,,False,1.09,en,1981-12-27,,0.0,0
99,A Kiss at Midnight,0,0,"Romance, Family",,,False,0.6,nl,2008-12-26,,7.0,2
100,Kiki of Montparnasse,0,0,,France,,False,0.82,en,2012-07-21,14,9.0,1
101,Malini 22 Palayamkottai,0,0,"Drama, Thriller",India,Wide Angle Creations,False,1.027,ta,2014-01-24,,5.3,2
102,Pannaiyarum Padminiyum,0,0,"Comedy, Family",India,Magicbox Films,False,1.83,ta,2014-02-07,147,7.2,8
103,The Conclave and Election of Pope Pius XII,0,0,Documentary,Holy See,,False,1.283,it,1939-12-31,7,6.0,3
104,Faust - Vom Himmel durch die Welt zur Hölle,0,0,,,,False,0.84,de,1988-10-26,,9.0,1
105,Inga Enna Solluthu,0,0,Comedy,India,,False,0.628,ta,2014-01-30,,3.0,1
106,Hiding in the Spotlight,0,0,Documentary,,,False,0.6,it,2011-01-20,,0.0,0
107,The Lizards,0,0,Comedy,France,,False,0.6,fr,2013-02-02,14,0.0,0
