,title,budget,revenue,genres,production_countries,production_companies,adult,popularity,original_language,release_date,runtime,vote_average,vote_count
0,For You,0,0,Drama,Poland,"Państwowa Wyższa Szkoła Filmowa, Telewizyjna i Teatralna w Łodzi",False,1.4,pl,2018-09-18,18,0.0,0
1,Reservoir Cocks: Part 2,0,0,,Czech Republic,"AVI Production, Staxus",True,0.6,cs,2011-12-01,95,0.0,0
2,Second Honeymoon,0,0,,,,False,0.6,en,,76,0.0,0
3,1410,0,0,"Comedy, History, Drama",Poland,Gigant Films,False,1.4,pl,2018-09-18,27,0.0,0
4,Square One: A Documentary,0,0,Documentary,,Bleeding Spirit Films,False,0.6,en,2018-09-17,43,0.0,0
5,Elizabeth,0,0,Drama,Poland,,False,1.4,pl,2018-09-18,24,0.0,0
6,My First Sex Teacher 28,0,0,,United States of America,Naughty America,True,0.6,en,2012-06-29,141,0.0,0
7,Busted And Abused,0,0,,Czech Republic,"AVI Production, Staxus",True,0.6,cs,2011-02-01,100,0.0,0
8,Kaos,0,0,"Drama, Crime, Mystery",,,False,1.4,tr,2018-09-26,,0.0,0
9,Abbott and Costello Meet the Creature,0,0,Comedy,United States of America,,False,1.341,en,1954-02-21,16,0.0,0
10,Some Like It Big,0,0,,,Bel Ami,True,0.6,en,2008-04-17,112,0.0,0
11,Haunted Transylvania,0,0,Horror,United States of America,WOWNow Entertainment,False,0.6,en,2016-10-31,81,0.0,0
12,Better Off Zed,0,0,"Horror, Comedy",United States of America,,False,1.4,en,2018-09-04,88,7.0,1
13,Weevil,0,0,Horror,Australia,,False,1.4,en,2018-08-11,87,0.0,0
14,Pitching Tents,0,0,,,Falcon Studios,True,0.6,en,2017-04-05,98,0.0,0
15,Lets Go 1 2 3!,0,0,,,,True,0.6,en,,,0.0,0
16,Who Wants To Be An Amerikan,0,0,"Comedy, Drama",,,False,0.6,en,2007-07-01,10,0.0,0
17,Love Thy Neighbor,0,0,"Comedy, Romance",United States of America,20th Century Fox Television,False,1.123,en,1984-05-23,100,6.0,1
18,A Virgin's Shroud,0,0,Horror,Indonesia,Rapi Films,False,0.844,id,2010-02-25,74,0.0,0
19,"Yes featuring Jon Anderson, Trevor Rabin, Rick Wakeman: Live At The Apollo",0,0,Music,,,False,0.894,en,2018-09-07,119,0.0,0
20,Taken & Tortured,0,0,,Czech Republic,"AVI Production, Staxus",True,0.6,cs,2012-01-01,105,0.0,0
21,Caché Me if You Can,0,0,,,,False,1.09,en,,165,0.0,0
22,Pepper,0,0,Drama,South Korea,,False,1.4,ko,2018-04-05,15,0.0,0
23,"Big Cocks, Tight Asses",0,0,,Czech Republic,Bareback Monster Cocks,True,0.6,cs,2013-02-14,116,0.0,0
24,69,0,0,"Crime, Drama",Thailand,,False,0.844,th,2011-01-01,15,0.0,0
25,Chainsaw,0,0,,,Titan Media,True,0.6,en,2008-04-26,180,0.0,0
26,Madeleine and the Two Apaches,0,0,,France,Bathysphère Productions,False,0.6,fr,2014-06-13,30,0.0,0
27,Limbo: la película,0,0,"Mystery, Thriller, TV Movie","Argentina, Spain","Cruz del Sur Cine, Aquí y Allí Films, RTVE",False,0.6,es,2018-07-24,64,7.0,1
28,Big Tools,0,0,,Czech Republic,Bareback Monster Cocks,True,0.6,cs,2013-05-01,108,0.0,0
29,Glaube und Schönheit,0,0,Documentary,Germany,DFV,False,0.6,de,1939-10-10,16,0.0,0
